POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;3.67972;4.64673;4.64673;3.06084;3.0568;;;-0.386803;-0.812287;-0.386803
8;1;3.67972;4.2957;4.47122;2.86001;2.8546;;;-0.246392;-1.32971;0.140411
9;1;3.67972;2.98353;3.97532;3.04197;3.03301;;;0.278477;-0.744909;0.524869
10;1;3.67972;3.46936;3.84883;3.53588;3.53256;;;0.0841448;0.176704;-0.194332
11;1;3.67972;2.89001;3.65707;4.2777;4.27;;;0.315887;0.840066;0.231742
12;1;3.67972;4.965;3.87506;3.38133;3.37794;;;-0.51411;-0.239565;-0.829997
13;1;3.67972;2.61448;3.69497;4.63603;4.62683;;;0.426098;0.655242;0.940208
14;1;3.67972;4.24575;3.76382;2.89137;2.89028;;;-0.226412;-0.475465;-0.65251
15;1;3.67972;3.01291;3.68039;3.85743;3.85371;;;0.266726;0.0846586;0.493138
16;1;3.67972;4.6408;3.77643;2.88257;2.87839;;;-0.384432;-0.722648;-0.651157
17;1;3.67972;3.34224;3.73696;3.5575;3.55635;;;0.134994;-0.43916;0.519426
18;1;3.67972;3.09942;3.68383;3.91613;3.91318;;;0.232123;0.487458;0.0971284
19;1;3.67972;2.89848;3.62342;4.43505;4.42463;;;0.312496;1.1437;0.0803736
20;1;3.67972;5.30018;3.74319;3.47384;3.47309;;;-0.64818;-0.217478;-0.960676
21;1;3.67972;2.63443;3.66927;4.77941;4.76956;;;0.418116;0.660567;1.0663
22;1;3.67972;4.75896;3.73737;2.5709;2.56914;;;-0.431693;-0.906555;-0.849809
23;1;3.67972;2.51435;3.66543;3.95071;3.94886;;;0.466152;0.0723643;0.897845
24;1;3.67972;4.6954;3.72265;2.63591;2.62861;;;-0.406268;-0.780799;-0.87242
25;1;3.67972;3.63602;3.71809;3.33317;3.33036;;;0.017482;-0.744087;0.42375
26;1;3.67972;3.26305;3.69534;3.92891;3.92507;;;0.166668;0.350004;0.149186
27;1;3.67972;2.80733;3.65305;4.4214;4.41273;;;0.34896;1.08282;0.182292
28;1;3.67972;5.20522;3.72361;3.43727;3.42552;;;-0.610199;-0.198598;-0.959159
29;1;3.67972;2.74829;3.6812;4.68745;4.6863;;;0.372575;0.58381;0.982774
30;1;3.67972;4.61095;3.71994;2.71117;2.69997;;;-0.37249;-0.78223;-0.745066
31;1;3.67972;2.48316;3.67047;4.03579;4.03212;;;0.478626;0.222886;0.851117
32;1;3.67972;4.58048;3.70547;2.8475;2.8427;;;-0.360303;-0.533751;-0.83893
33;1;3.67972;3.49019;3.6975;3.62758;3.61582;;;0.075814;-0.374542;0.436117
34;1;3.67972;2.98962;3.67222;4.04558;4.04401;;;0.276044;0.579692;0.20023
35;1;3.67972;2.71975;3.63937;4.59776;4.59114;;;0.383992;1.38608;0.107948
36;1;3.67972;6.00592;3.71826;3.19305;3.18763;;;-0.930476;-0.567925;-1.31447
37;1;3.67972;2.89605;3.69173;4.54383;4.54357;;;0.313469;0.0903596;1.24395
38;1;3.67972;3.69697;3.6919;3.35522;3.35415;;;-0.0068964;-0.0144824;-0.320365
39;1;3.67972;2.81082;3.6652;4.22824;4.22242;;;0.347562;0.715399;0.354459
40;1;3.67972;4.2906;3.68359;3.6566;3.65151;;;-0.244349;0.202266;-0.591911
41;1;3.67972;2.81795;3.65886;4.67788;4.6744;;;0.34471;0.926157;0.589059
42;1;3.67972;4.16824;3.67301;3.02237;3.02112;;;-0.195406;-0.410352;-0.540116
43;1;3.67972;3.08337;3.65707;3.84645;3.84181;;;0.238543;0.090589;0.433949
44;1;3.67972;3.82152;3.6614;3.44102;3.43741;;;-0.0567172;-0.0285172;-0.29526
45;1;3.67972;2.88005;3.64137;4.21972;4.21053;;;0.31987;0.643211;0.376588
46;1;3.67972;2.89513;3.62271;3.862;3.85371;;;0.31384;0.659063;-0.0060308
47;1;3.67972;2.95164;3.60634;4.49092;4.4841;;;0.291235;1.27066;-0.0226048
48;1;3.67972;5.35074;3.64788;3.5897;3.58014;;;-0.668407;-0.132998;-0.959642
49;1;3.67972;2.79571;3.62806;4.7809;4.76956;;;0.353606;0.609574;1.02201
50;1;3.67972;4.52658;3.64848;2.78413;2.78323;;;-0.33874;-0.711355;-0.692346
51;1;3.67972;2.98521;3.63374;3.7516;3.74666;;;0.277807;-0.12796;0.616548
52;1;3.67972;4.21239;3.64632;2.93305;2.92596;;;-0.213066;-0.575398;-0.490873
53;1;3.67972;3.06116;3.63387;3.71327;3.71098;;;0.247424;-0.0558079;0.46049
54;1;3.67972;2.80879;3.61668;3.9897;3.98454;;;0.348372;0.731581;0.100948
55;1;3.67972;2.74739;3.59894;4.65963;4.65061;;;0.372934;1.51474;0.0245624
56;1;3.67972;6.29463;3.65285;3.148;3.14006;;;-1.04596;-0.681776;-1.4189
57;1;3.67972;2.77668;3.63567;4.62186;4.61493;;;0.361219;0.0767836;1.40718
58;1;3.67972;4.01542;3.64298;3.10366;3.09248;;;-0.134279;-0.281986;-0.495498
59;1;3.67972;3.64309;3.64298;3.55546;3.54446;;;0.0146528;-0.251215;0.148932
60;1;3.67972;3.82731;3.64639;3.3194;3.31847;;;-0.0590324;-0.375183;-0.0736852
61;1;3.67972;2.48263;3.62523;4.12971;4.12727;;;0.478836;0.630373;0.537869
62;1;3.67972;2.90136;3.61231;3.69904;3.68719;;;0.311348;0.65383;-0.167489
63;1;3.67972;2.89844;3.59978;4.52223;4.51978;;;0.312515;1.31011;0.0011672
64;1;3.67972;5.66451;3.63538;3.40706;3.40173;;;-0.793912;-0.357105;-1.10643
