PS100;PS80;PS60;PS40;PS20
0.25;0.001;0.613;0.087;0.049;
0.069;0.095;0.737;0;0.099;
0.098;0.32;0.582;0;0;
0.126;0.394;0.48;0;0;
0.229;0.771;0;0;0;
0.355;0.001;0.57;0.039;0.035;
0.15;0.478;0.372;0;0;
0.201;0.579;0.22;0;0;
0.215;0.414;0.371;0;0;
0.224;0.018;0.678;0;0.08;
0.105;0.421;0.474;0;0;
0.165;0.566;0.269;0;0;
0.186;0.676;0.138;0;0;
0.269;0.001;0.69;0.04;0;
0.12;0.48;0.4;0;0;
0.172;0.622;0.206;0;0;
0.197;0.566;0.237;0;0;
0.272;0.001;0.659;0.052;0.016;
0.113;0.423;0.464;0;0;
0.166;0.662;0.172;0;0;
0.203;0.622;0.175;0;0;
0.293;0.001;0.631;0.049;0.026;
0.112;0.481;0.407;0;0;
0.177;0.648;0.175;0;0;
0.21;0.585;0.205;0;0;
0.268;0.005;0.666;0;0.061;
0.113;0.485;0.402;0;0;
0.159;0.632;0.209;0;0;
0.184;0.7;0.116;0;0;
0.301;0.001;0.628;0.049;0.021;
0.116;0.459;0.425;0;0;
0.181;0.675;0.144;0;0;
0.219;0.58;0.201;0;0;
0.272;0.001;0.661;0.029;0.037;
0.109;0.472;0.419;0;0;
0.171;0.631;0.198;0;0;
0.222;0.587;0.191;0;0;
0.288;0.001;0.639;0.008;0.064;
0.113;0.46;0.427;0;0;
0.18;0.625;0.195;0;0;
0.222;0.569;0.209;0;0;
0.256;0.001;0.662;0.081;0;
0.106;0.449;0.445;0;0;
0.163;0.666;0.171;0;0;
0.231;0.577;0.192;0;0;
0.284;0.001;0.636;0.01;0.069;
0.116;0.488;0.396;0;0;
0.164;0.683;0.153;0;0;
0.218;0.728;0.054;0;0;
0.352;0.001;0.593;0.054;0;
0.121;0.552;0.327;0;0;
0.196;0.698;0.106;0;0;
0.226;0.6;0.174;0;0;
0.295;0.017;0.688;0;0;
0.131;0.692;0.177;0;0;
0.247;0.442;0.311;0;0;
0.2;0.652;0.148;0;0;
0.281;0.126;0.593;0;0;
0.132;0.759;0.109;0;0;
0.262;0.406;0.332;0;0;
0.151;0.713;0.136;0;0;
0.297;0.212;0.491;0;0;
0.134;0.763;0.103;0;0;
0.232;0.463;0.305;0;0;
0.19;0.64;0.17;0;0;
0.296;0.095;0.609;0;0;
0.114;0.708;0.178;0;0;
0.226;0.538;0.236;0;0;
0.197;0.693;0.11;0;0;
0.293;0.19;0.517;0;0;
0.114;0.859;0.027;0;0;
0.264;0.399;0.337;0;0;
0.18;0.589;0.231;0;0;
0.264;0.127;0.609;0;0;
0.112;0.658;0.23;0;0;
0.206;0.534;0.26;0;0;
0.174;0.754;0.072;0;0;
0.317;0.078;0.605;0;0;
0.117;0.753;0.13;0;0;
0.259;0.467;0.274;0;0;
0.178;0.614;0.208;0;0;
0.271;0.167;0.562;0;0;
0.152;0.656;0.192;0;0;
0.218;0.428;0.354;0;0;
0.162;0.708;0.13;0;0;
0.281;0.105;0.614;0;0;
0.136;0.699;0.165;0;0;
0.252;0.393;0.355;0;0;
0.183;0.569;0.248;0;0;
0.243;0.136;0.621;0;0;
0.12;0.683;0.197;0;0;
0.229;0.427;0.344;0;0;
0.19;0.64;0.17;0;0;
0.268;0.13;0.602;0;0;
0.119;0.724;0.157;0;0;
0.242;0.444;0.314;0;0;
0.179;0.63;0.191;0;0;
0.261;0.131;0.608;0;0;
0.113;0.716;0.171;0;0;
0.235;0.448;0.317;0;0;
0.201;0.596;0.203;0;0;
0.284;0.001;0.715;0;0;
0.114;0.574;0.312;0;0;
0.195;0.575;0.23;0;0;
0.197;0.66;0.143;0;0;
0.296;0.001;0.694;0.009;0;
0.119;0.598;0.283;0;0;
0.215;0.525;0.26;0;0;
0.172;0.643;0.185;0;0;
0.282;0.057;0.661;0;0;
0.133;0.589;0.278;0;0;
0.211;0.499;0.29;0;0;
0.168;0.684;0.148;0;0;
0.288;0.072;0.64;0;0;
0.122;0.655;0.223;0;0;
0.222;0.48;0.298;0;0;
0.187;0.595;0.218;0;0;
0.284;0.036;0.68;0;0;
0.116;0.612;0.272;0;0;
0.188;0.568;0.244;0;0;
