POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;51.9789;60.9301;60.9301;46.2502;46.2368;;;-3.58047;-7.51898;-3.58047
8;1;51.9789;53.0819;57.006;47.3345;47.3218;;;-0.44119;-8.44548;3.13928
9;1;51.9789;40.0433;51.3518;51.6134;51.6061;;;4.77425;1.58045;5.21544
10;1;51.9789;41.1165;48.7929;54.1566;54.1516;;;4.34496;9.12441;-0.429297
11;1;51.9789;44.1281;47.86;61.7829;61.7743;;;3.14033;15.7191;-1.20463
12;1;51.9789;74.3186;52.2697;50.2603;50.2568;;;-8.93588;-3.04626;-12.0762
13;1;51.9789;52.504;52.3032;57.5325;57.5318;;;-0.21002;-3.4873;8.72586
14;1;51.9789;45.178;51.4126;56.5415;56.5302;;;2.72038;5.7128;2.9304
15;1;51.9789;47.2869;50.9541;57.9742;57.963;;;1.8768;9.65408;-0.843583
16;1;51.9789;61.7515;52.0339;53.5017;53.4979;;;-3.90905;1.44508;-5.78584
17;1;51.9789;50.8595;51.9271;58.0495;58.0464;;;0.44777;2.38539;4.35682
18;1;51.9789;46.8437;51.5035;54.8177;54.8054;;;2.05409;4.31358;1.60632
19;1;51.9789;47.104;51.1651;57.3584;57.3509;;;1.94998;8.40854;-0.104104
20;1;51.9789;60.4172;51.8259;53.037;53.0249;;;-3.37532;1.32037;-5.3253
21;1;51.9789;51.5822;51.8097;56.9285;56.9197;;;0.158676;1.65359;3.534
22;1;51.9789;43.5584;51.294;57.2094;57.1979;;;3.36822;7.07325;3.20954
23;1;51.9789;47.8967;51.0941;58.2966;58.2829;;;1.6329;10.5024;-1.73531
24;1;51.9789;62.6723;51.7374;54.0046;53.9986;;;-4.27734;1.51994;-5.91025
25;1;51.9789;49.8357;51.6373;59.1479;59.1453;;;0.857304;3.32028;5.13464
26;1;51.9789;49.6508;51.538;52.6116;52.6076;;;0.93125;1.95563;0.073946
27;1;51.9789;48.1545;51.3768;55.4509;55.4453;;;1.52978;5.16816;0.598529
28;1;51.9789;57.1049;51.6372;52.3367;52.3294;;;-2.05038;0.86236;-3.58016
29;1;51.9789;49.1652;51.5297;56.6924;56.6832;;;1.12547;3.22584;3.17585
30;1;51.9789;42.4739;51.1524;56.9367;56.9336;;;3.802;7.98421;2.67653
31;1;51.9789;47.7432;51.016;58.872;58.8671;;;1.69428;11.5422;-2.10772
32;1;51.9789;65.2274;51.5626;53.3478;53.3448;;;-5.2994;0.413473;-6.99368
33;1;51.9789;49.2932;51.4786;59.4107;59.4096;;;1.0743;2.6695;6.37369
34;1;51.9789;50.1303;51.4304;52.0878;52.079;;;0.739464;1.55287;-0.334834
35;1;51.9789;47.6563;51.3003;55.5588;55.5565;;;1.72903;5.18383;0.989564
36;1;51.9789;56.6305;51.4779;52.4567;52.4546;;;-1.86062;1.27654;-3.58964
37;1;51.9789;49.6679;51.4196;56.5951;56.5859;;;0.924396;3.21777;2.78501
38;1;51.9789;42.2054;51.1316;57.3095;57.3092;;;3.90939;8.20971;2.98499
39;1;51.9789;47.0815;51.0089;59.4136;59.4096;;;1.95895;12.3235;-1.95044
40;1;51.9789;66.1039;51.4529;53.3035;53.3031;;;-5.64998;0.458539;-7.60893
41;1;51.9789;51.9599;51.4673;58.0996;58.0882;;;0.00760483;0.474509;5.65759
42;1;51.9789;46.7569;51.3365;55.3134;55.3062;;;2.08879;4.38647;2.08119
43;1;51.9789;45.7339;51.1851;58.2734;58.269;;;2.49802;9.63231;0.409229
44;1;51.9789;62.5177;51.4833;52.3684;52.3572;;;-4.21551;0.779734;-6.71354
45;1;51.9789;51.4448;51.4823;57.316;57.3092;;;0.213638;1.22837;4.42915
46;1;51.9789;44.2082;51.3005;56.7385;56.725;;;3.10827;6.52737;2.89463
47;1;51.9789;47.3083;51.2031;58.3872;58.3803;;;1.86823;10.4507;-1.24004
48;1;51.9789;62.8247;51.4798;53.6201;53.6091;;;-4.3383;1.34024;-6.20653
