POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;9.48469;9.93304;9.93304;9.19775;9.18116;;;-0.179341;-0.376616;-0.179341
8;1;9.48469;11.7946;10.8638;7.80905;7.80399;;;-0.923977;-2.31697;-0.744636
9;1;9.48469;7.41222;9.7133;9.41809;9.41069;;;0.82899;-0.576088;1.75297
10;1;9.48469;10.1357;9.81891;8.23903;8.23755;;;-0.260418;-0.546878;-1.08941
11;1;9.48469;8.70294;9.59571;9.69855;9.69123;;;0.3127;0.109793;0.573118
12;1;9.48469;11.8425;9.97017;7.77282;7.75298;;;-0.943105;-1.87073;-1.25581
13;1;9.48469;7.24426;9.58076;9.99095;9.97177;;;0.896174;0.0112373;1.83928
14;1;9.48469;11.1631;9.77854;7.51437;7.49795;;;-0.671345;-1.40982;-1.56752
15;1;9.48469;6.98195;9.46781;10.348;10.3288;;;1.0011;0.692478;1.67244
16;1;9.48469;13.6448;9.88551;6.51361;6.50333;;;-1.66404;-2.802;-2.66513
17;1;9.48469;7.39691;9.65927;9.68291;9.66573;;;0.835114;-1.04826;2.49915
18;1;9.48469;10.1151;9.69726;8.24612;8.23755;;;-0.252161;-0.529538;-1.08727
19;1;9.48469;8.89912;9.63586;9.58208;9.56371;;;0.234231;-0.0376527;0.486392
20;1;9.48469;11.2001;9.74759;8.11497;8.11003;;;-0.686147;-1.47856;-0.920378
21;1;9.48469;7.71762;9.61226;9.8232;9.81875;;;0.706828;0.00577815;1.39297
22;1;9.48469;10.763;9.68418;7.95976;7.95701;;;-0.511314;-1.07376;-1.21814
23;1;9.48469;8.1962;9.59665;9.74688;9.74224;;;0.515396;0.0085742;1.02671
24;1;9.48469;11.9665;9.72831;7.38952;7.37044;;;-0.992717;-2.07613;-1.50811
25;1;9.48469;7.14082;9.59212;9.90136;9.89526;;;0.937548;-0.10728;1.93027
26;1;9.48469;11.0316;9.6641;7.55714;7.54896;;;-0.618754;-1.29938;-1.5563
27;1;9.48469;7.18142;9.54587;10.2782;10.2778;;;0.921308;0.635363;1.54006
28;1;9.48469;13.617;9.73093;6.55407;6.52883;;;-1.65292;-2.83578;-2.57423
29;1;9.48469;7.4463;9.63159;9.60641;9.58922;;;0.815356;-1.12353;2.46828
30;1;9.48469;10.3307;9.66073;8.12787;8.11003;;;-0.33842;-0.710681;-1.15378
31;1;9.48469;8.63072;9.61952;9.65897;9.64022;;;0.341589;0.00665648;0.680009
32;1;9.48469;12.4204;9.72725;7.27092;7.26842;;;-1.17427;-2.45932;-1.51586
33;1;9.48469;7.15451;9.63196;9.69096;9.66573;;;0.932072;-0.501966;2.10634
34;1;9.48469;10.6297;9.6676;7.81983;7.80399;;;-0.457992;-0.961782;-1.39006
35;1;9.48469;7.89469;9.60646;9.9985;9.99727;;;0.636001;0.37382;1.09399
36;1;9.48469;12.7302;9.71058;7.1454;7.14091;;;-1.29819;-2.35239;-1.9342
37;1;9.48469;6.71594;9.61398;10.2025;10.2013;;;1.1075;-0.0266332;2.4057
38;1;9.48469;11.5761;9.6753;7.03867;7.01339;;;-0.836574;-1.75681;-1.94408
39;1;9.48469;6.39018;9.57575;10.545;10.5328;;;1.23781;0.842588;2.07438
40;1;9.48469;14.1649;9.71073;6.09413;6.06977;;;-1.87209;-3.08881;-3.1099
