PS100;PS80;PS60;PS40;PS20
0.153846;0.285714;0.56044;0;0;
0.120879;0.0989011;0.78022;0;0;
0.021978;0.747253;0.230769;0;0;
0.153846;0.846154;0;0;0;
0.703297;0.296703;0;0;0;
0;0;0.989011;0.010989;0;
0.483516;0.516484;0;0;0;
0.043956;0.0769231;0.846154;0;0.032967;
0.241758;0.758242;0;0;0;
0;0;0.967033;0.021978;0.010989;
0.318681;0.681319;0;0;0;
0.186813;0.0879121;0.725275;0;0;
0.186813;0.813187;0;0;0;
0.21978;0.010989;0.769231;0;0;
0.0659341;0.934066;0;0;0;
0.263736;0.736264;0;0;0;
0.483516;0.516484;0;0;0;
0;0.296703;0.692308;0;0.010989;
0.626374;0.373626;0;0;0;
0;0;0.681319;0.241758;0.0769231;
0;0.758242;0.241758;0;0;
0;0;0.758242;0.230769;0.010989;
0;0.483516;0.516484;0;0;
0.186813;0.813187;0;0;0;
0.461538;0.538462;0;0;0;
0;0.131868;0.835165;0;0.032967;
0.32967;0.67033;0;0;0;
0.0989011;0.186813;0.714286;0;0;
0.274725;0.725275;0;0;0;
0;0.010989;0.956044;0;0.032967;
0.32967;0.67033;0;0;0;
0.0769231;0.340659;0.582418;0;0;
0.56044;0.43956;0;0;0;
0;0;0.758242;0.21978;0.021978;
0.131868;0.868132;0;0;0;
0.0769231;0.813187;0.10989;0;0;
0.769231;0.230769;0;0;0;
0;0;0.626374;0.318681;0.0549451;
0.0879121;0.912088;0;0;0;
0.131868;0.769231;0.0989011;0;0;
0.648352;0.351648;0;0;0;
0;0;0.725275;0.252747;0.021978;
0.0769231;0.923077;0;0;0;
0.186813;0.725275;0.0879121;0;0;
0.582418;0.417582;0;0;0;
0;0;0.901099;0.0769231;0.021978;
0.263736;0.736264;0;0;0;
0.164835;0.241758;0.593407;0;0;
0.142857;0.857143;0;0;0;
0.010989;0.252747;0.725275;0;0.010989;
0.274725;0.725275;0;0;0;
0.120879;0.175824;0.703297;0;0;
0.142857;0.857143;0;0;0;
0.043956;0.186813;0.747253;0;0.021978;
0.21978;0.78022;0;0;0;
0.197802;0.197802;0.604396;0;0;
0.0879121;0.868132;0.043956;0;0;
0.0769231;0.230769;0.681319;0;0.010989;
0.0769231;0.923077;0;0;0;
0.175824;0.538462;0.285714;0;0;
0.307692;0.692308;0;0;0;
0;0.0549451;0.934066;0;0.010989;
0.241758;0.758242;0;0;0;
0.153846;0.351648;0.494505;0;0;
0.307692;0.692308;0;0;0;
0;0.164835;0.791209;0;0.043956;
0.318681;0.681319;0;0;0;
0.131868;0.0769231;0.791209;0;0;
0.10989;0.89011;0;0;0;
0.0879121;0.186813;0.681319;0;0.043956;
0.131868;0.868132;0;0;0;
0.197802;0.43956;0.362637;0;0;
0.241758;0.758242;0;0;0;
0.010989;0.296703;0.692308;0;0;
0.417582;0.582418;0;0;0;
0.175824;0.010989;0.725275;0.0549451;0.032967;
0.032967;0.923077;0.043956;0;0;
0.241758;0.010989;0.703297;0.021978;0.021978;
0.0769231;0.648352;0.274725;0;0;
0.307692;0.692308;0;0;0;
0.340659;0.659341;0;0;0;
0.0769231;0.241758;0.637363;0;0.043956;
0.362637;0.637363;0;0;0;
0.0989011;0.153846;0.747253;0;0;
0.131868;0.868132;0;0;0;
0.043956;0.285714;0.615385;0;0.0549451;
0.263736;0.736264;0;0;0;
0.208791;0.032967;0.758242;0;0;
0.0769231;0.714286;0.208791;0;0;
0.186813;0.0989011;0.681319;0;0.032967;
0.120879;0.516484;0.362637;0;0;
0.0879121;0.879121;0.032967;0;0;
0.505495;0.494505;0;0;0;
0;0;0.703297;0.285714;0.010989;
0;0.868132;0.131868;0;0;
0.164835;0.835165;0;0;0;
0.373626;0.626374;0;0;0;
0;0;0.89011;0.0879121;0.021978;
0;0.945055;0.0549451;0;0;
0.186813;0.736264;0.0769231;0;0;
0.483516;0.516484;0;0;0;
0;0;0.538462;0.461538;0;
0.010989;0.351648;0.637363;0;0;
0.428571;0.571429;0;0;0;
0.175824;0.571429;0.252747;0;0;
0;0.010989;0.956044;0;0.032967;
0;0.802198;0.197802;0;0;
0.164835;0.835165;0;0;0;
0.681319;0.318681;0;0;0;
0;0;0;0.879121;0.120879;
0.208791;0.010989;0.516484;0.043956;0.21978;
0.263736;0.736264;0;0;0;
0.263736;0.56044;0.175824;0;0;
0;0;0.571429;0.417582;0.010989;
0.032967;0.395604;0.571429;0;0;
0.274725;0.725275;0;0;0;
0.582418;0.417582;0;0;0;
0;0;0.428571;0.56044;0.010989;
0.032967;0.549451;0.417582;0;0;
0.417582;0.582418;0;0;0;
