PS100;PS80;PS60;PS40;PS20
0.043;0.001;0.712;0.244;0;
0.035;0.003;0.734;0;0.228;
0.01;0.218;0.772;0;0;
0.015;0.292;0.693;0;0;
0.245;0.755;0;0;0;
0.167;0.001;0.708;0.124;0;
0.112;0.888;0;0;0;
0.08;0.19;0.73;0;0;
0.026;0.813;0.161;0;0;
0.126;0.001;0.807;0.066;0;
0.019;0.879;0.102;0;0;
0.074;0.403;0.523;0;0;
0.034;0.966;0;0;0;
0.172;0.136;0.692;0;0;
0.27;0.73;0;0;0;
0.07;0.001;0.846;0.083;0;
0.021;0.718;0.261;0;0;
0.113;0.001;0.79;0.096;0;
0.012;0.962;0.026;0;0;
0.067;0.412;0.521;0;0;
0.151;0.849;0;0;0;
0.168;0.038;0.794;0;0;
0.312;0.688;0;0;0;
0.07;0.001;0.821;0.108;0;
0.007;0.711;0.282;0;0;
0.113;0.001;0.775;0.111;0;
0.012;0.8;0.188;0;0;
0.064;0.387;0.549;0;0;
0.042;0.958;0;0;0;
0.174;0.001;0.762;0.063;0;
0.022;0.929;0.049;0;0;
0.062;0.454;0.484;0;0;
0.035;0.95;0.015;0;0;
0.148;0.001;0.774;0.077;0;
0.009;0.958;0.033;0;0;
0.069;0.389;0.542;0;0;
0.032;0.842;0.126;0;0;
0.135;0.026;0.839;0;0;
0.02;0.953;0.027;0;0;
0.075;0.374;0.551;0;0;
0.032;0.936;0.032;0;0;
0.185;0.001;0.77;0.044;0;
0.024;0.961;0.015;0;0;
0.074;0.381;0.545;0;0;
0.035;0.822;0.143;0;0;
0.126;0.001;0.837;0.036;0;
0.018;0.815;0.167;0;0;
0.05;0.475;0.475;0;0;
0.023;0.943;0.034;0;0;
0.175;0.001;0.778;0.046;0;
0.018;0.906;0.076;0;0;
0.078;0.433;0.489;0;0;
0.034;0.9;0.066;0;0;
0.151;0.001;0.835;0.013;0;
0.023;0.958;0.019;0;0;
0.072;0.351;0.577;0;0;
0.026;0.886;0.088;0;0;
0.158;0.001;0.791;0.05;0;
0.019;0.875;0.106;0;0;
0.071;0.436;0.493;0;0;
0.027;0.919;0.054;0;0;
0.168;0.001;0.81;0.021;0;
0.022;0.978;0;0;0;
0.081;0.329;0.59;0;0;
0.035;0.871;0.094;0;0;
0.153;0.001;0.834;0.012;0;
0.082;0.918;0;0;0;
0.081;0.146;0.773;0;0;
0.031;0.707;0.262;0;0;
0.118;0.001;0.855;0.026;0;
0.017;0.872;0.111;0;0;
0.073;0.327;0.6;0;0;
0.034;0.9;0.066;0;0;
0.144;0.054;0.802;0;0;
0.06;0.94;0;0;0;
0.077;0.224;0.699;0;0;
0.026;0.865;0.109;0;0;
0.145;0.001;0.808;0.046;0;
0.016;0.856;0.128;0;0;
0.05;0.421;0.529;0;0;
0.021;0.954;0.025;0;0;
0.144;0.059;0.797;0;0;
0.185;0.815;0;0;0;
0.067;0.062;0.871;0;0;
0.024;0.827;0.149;0;0;
0.108;0.001;0.833;0.058;0;
0.013;0.963;0.024;0;0;
0.079;0.34;0.581;0;0;
0.034;0.957;0.009;0;0;
0.168;0.144;0.688;0;0;
0.217;0.783;0;0;0;
0.061;0.029;0.91;0;0;
0.014;0.852;0.134;0;0;
0.138;0.001;0.807;0.054;0;
0.097;0.903;0;0;0;
0.067;0.256;0.677;0;0;
0.052;0.948;0;0;0;
0.165;0.033;0.802;0;0;
0.257;0.743;0;0;0;
0.058;0.001;0.903;0.038;0;
0.01;0.815;0.175;0;0;
0.119;0.001;0.828;0.052;0;
0.041;0.959;0;0;0;
0.078;0.279;0.643;0;0;
0.025;0.96;0.015;0;0;
0.165;0.051;0.784;0;0;
0.155;0.845;0;0;0;
0.07;0.113;0.817;0;0;
0.024;0.824;0.152;0;0;
0.141;0.001;0.806;0.052;0;
0.019;0.945;0.036;0;0;
0.074;0.338;0.588;0;0;
0.036;0.901;0.063;0;0;
0.146;0.057;0.797;0;0;
0.143;0.857;0;0;0;
0.082;0.112;0.806;0;0;
0.026;0.84;0.134;0;0;
0.124;0.001;0.858;0.017;0;
0.102;0.898;0;0;0;
0.077;0.119;0.804;0;0;
