POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;31.0011;39.5433;39.5433;25.5341;25.5292;;;-3.41688;-7.17546;-3.41688
8;1;31.0011;28.6951;34.1192;28.7183;28.7138;;;0.922384;-5.23845;4.33927
9;1;31.0011;22.1626;30.1337;30.4969;30.4936;;;3.53539;2.18587;2.61301
10;1;31.0011;23.2276;28.4072;32.4407;32.4393;;;3.10938;6.52971;-0.426007
11;1;31.0011;23.3;27.3857;39.3501;39.3495;;;3.08043;12.9986;-0.0289568
12;1;31.0011;45.8869;30.4693;31.3923;31.3923;;;-5.95432;0.494531;-9.03475
13;1;31.0011;23.9415;29.5367;41.9681;41.9669;;;2.82383;6.42458;8.77815
14;1;31.0011;45.0677;31.4781;19.1746;19.1687;;;-5.62667;-11.816;-8.4505
15;1;31.0011;30.6432;31.3853;25.0408;25.0406;;;0.143134;-11.5154;5.7698
16;1;31.0011;29.0075;31.1475;20.6184;20.617;;;0.797439;-9.8408;0.654305
17;1;31.0011;25.266;30.6129;24.0333;24.0285;;;2.29404;-5.02332;1.4966
18;1;31.0011;25.6695;30.2009;32.1193;32.1165;;;2.13264;4.47855;-0.161393
19;1;31.0011;22.6034;29.6165;38.7215;38.7213;;;3.35907;11.5326;1.22643
20;1;31.0011;43.2426;30.5898;31.34;31.34;;;-4.89662;1.24969;-8.25569
21;1;31.0011;23.1479;30.0937;42.1734;42.1676;;;3.14129;7.84639;8.03791
22;1;31.0011;44.1847;30.9743;19.4222;19.4217;;;-5.27346;-11.0743;-8.41475
23;1;31.0011;31.2601;30.9912;25.0345;25.0318;;;-0.103603;-11.2918;5.16986
24;1;31.0011;28.2978;30.8415;21.5429;21.5419;;;1.08131;-9.02108;1.18491
25;1;31.0011;26.6529;30.6211;23.6815;23.6795;;;1.73926;-5.36864;0.657946
26;1;31.0011;24.4908;30.3146;33.4284;33.4252;;;2.60412;5.46866;0.864864
27;1;31.0011;22.5298;29.9439;39.2872;39.2797;;;3.3885;12.5845;0.784372
28;1;31.0011;44.5804;30.6092;31.5063;31.5057;;;-5.43172;1.17789;-8.82021
29;1;31.0011;23.1722;30.2858;42.6211;42.6126;;;3.13154;7.75412;8.56326
30;1;31.0011;44.3092;30.8701;19.3523;19.3519;;;-5.32326;-11.1788;-8.4548
31;1;31.0011;30.0844;30.8387;25.7322;25.7298;;;0.366677;-10.4088;5.68994
32;1;31.0011;27.2285;30.6998;22.64;22.6325;;;1.50902;-7.23988;1.14234
33;1;31.0011;28.0301;30.601;24.1536;24.1506;;;1.18839;-4.74426;-0.320629
34;1;31.0011;25.8549;30.4315;33.1062;33.1024;;;2.05845;4.32275;0.87006
35;1;31.0011;22.8431;30.1698;38.4865;38.4857;;;3.26318;11.1754;1.20472
36;1;31.0011;43.9808;30.6302;30.6063;30.5983;;;-5.1919;0.272434;-8.45507
37;1;31.0011;24.1103;30.4198;40.8755;40.8676;;;2.7563;6.06067;7.9482
38;1;31.0011;41.9618;30.7805;21.2299;21.2278;;;-4.3843;-9.20703;-7.1406
39;1;31.0011;30.2688;30.765;26.647;26.6459;;;0.292923;-8.59189;4.67722
40;1;31.0011;27.7777;30.6772;24.1792;24.1768;;;1.28935;-5.88426;0.996424
41;1;31.0011;25.8439;30.5391;27.1281;27.1258;;;2.06288;-1.55221;0.773537
42;1;31.0011;22.4445;30.3142;34.4144;34.4111;;;3.42262;7.1875;1.35974
43;1;31.0011;24.0187;30.1441;39.2347;39.2273;;;2.79294;13.0527;-0.629682
44;1;31.0011;46.5539;30.5759;31.307;31.3051;;;-6.22113;-0.0117048;-9.01407
45;1;31.0011;24.337;30.4159;41.4755;41.4696;;;2.66563;5.58613;8.88676
46;1;31.0011;42.7853;30.7252;20.7935;20.7915;;;-4.71369;-9.89876;-7.37933
47;1;31.0011;31.0128;30.7322;25.8085;25.8084;;;-0.00469338;-9.90861;4.709
48;1;31.0011;27.8704;30.664;23.1008;23.0949;;;1.25226;-7.27887;1.25695
49;1;31.0011;27.3217;30.5863;24.8248;24.8224;;;1.47177;-4.18816;0.219506
50;1;31.0011;24.2379;30.442;33.8577;33.8527;;;2.70525;5.68103;1.23349
51;1;31.0011;23.8466;30.2955;38.5558;38.5555;;;2.86181;11.6908;0.156558
52;1;31.0011;44.8442;30.6117;30.9705;30.9648;;;-5.53723;0.0626436;-8.39904
53;1;31.0011;25.219;30.497;40.3015;40.3005;;;2.31282;4.91956;7.85005
54;1;31.0011;40.6488;30.7085;22.5137;22.5103;;;-3.85907;-8.10405;-6.17189
55;1;31.0011;29.177;30.6772;27.9235;27.9198;;;0.729621;-6.57185;4.58869
56;1;31.0011;28.6795;30.6373;25.1854;25.1802;;;0.92864;-4.62171;0.19902
57;1;31.0011;25.4954;30.5365;28.9744;28.9668;;;2.20228;0.00307377;1.27364
58;1;31.0011;22.9443;30.3905;33.9551;33.9487;;;3.22269;6.76765;1.02042
59;1;31.0011;23.2388;30.2555;39.5139;39.5065;;;3.1049;13.2879;-0.117794
60;1;31.0011;47.2567;30.5704;30.7805;30.7728;;;-6.50226;-0.366799;-9.60715
61;1;31.0011;23.9978;30.4509;41.6187;41.6179;;;2.80132;5.51598;9.30358
62;1;31.0011;44.1287;30.6951;19.7981;19.7969;;;-5.25105;-11.0272;-8.05238
63;1;31.0011;31.558;30.7103;24.8685;24.8661;;;-0.222769;-11.495;5.02829
64;1;31.0011;29.6218;30.6915;20.6116;20.6083;;;0.551723;-10.3364;0.774492
65;1;31.0011;24.7254;30.5904;24.1294;24.1244;;;2.51027;-5.06485;1.95855
66;1;31.0011;25.7425;30.5096;31.8563;31.8547;;;2.10345;4.41724;-0.406822
67;1;31.0011;22.3943;30.3765;38.8232;38.8172;;;3.44271;11.6469;1.33926
68;1;31.0011;44.3697;30.6022;30.6493;30.642;;;-5.34747;0.417248;-8.79018
69;1;31.0011;24.0842;30.4988;41.1926;41.1904;;;2.76676;6.22744;8.11423
70;1;31.0011;42.4692;30.6858;20.8947;20.8875;;;-4.58726;-9.63324;-7.35401
71;1;31.0011;31.2034;30.6938;25.8256;25.8171;;;-0.0809326;-9.8032;4.50632
72;1;31.0011;27.9427;30.6521;23.2362;23.2345;;;1.22335;-7.23416;1.30428
73;1;31.0011;26.348;30.5878;25.5215;25.5204;;;1.86124;-3.32556;0.637892
74;1;31.0011;23.2758;30.4803;34.084;34.0796;;;3.0901;6.4892;1.22885
75;1;31.0011;24.3116;30.3909;38.6814;38.6776;;;2.67579;12.1084;-0.414304
76;1;31.0011;44.6391;30.5945;31.7053;31.6977;;;-5.45521;0.652429;-8.131
77;1;31.0011;24.5768;30.5097;41.2202;41.2166;;;2.56971;6.04881;8.02491
78;1;31.0011;42.8707;30.6814;20.8348;20.8264;;;-4.74785;-9.97049;-7.31756
79;1;31.0011;31.6097;30.6941;25.3889;25.3808;;;-0.243441;-10.4817;4.50441
80;1;31.0011;28.3261;30.6621;22.4748;22.4667;;;1.07;-8.23471;1.31344
81;1;31.0011;28.8522;30.638;23.0716;23.0687;;;0.859533;-6.42969;-0.210466
82;1;31.0011;27.8666;30.6015;32.1476;32.1427;;;1.25378;2.63294;0.39425
83;1;31.0011;22.5815;30.4973;37.7688;37.7615;;;3.36783;9.7054;2.11405
84;1;31.0011;41.1884;30.6344;30.8187;30.8165;;;-4.07495;1.148;-7.44278
85;1;31.0011;24.6649;30.5588;40.2792;40.2743;;;2.53448;6.47042;6.60943
