PS100;PS80;PS60;PS40;PS20
0;0;0;0.879121;0.120879;
0;0.032967;0.626374;0.340659;0;
0;0;0;0.758242;0.241758;
0.0549451;0.186813;0.0879121;0.67033;0;
0;0;0;0.461538;0.538462;
0.032967;0.10989;0.384615;0.472527;0;
0;0;0;0.395604;0.604396;
0.021978;0.252747;0.725275;0;0;
0;0;0;0;1;
0.0879121;0.78022;0.131868;0;0;
0;0;0;0;1;
0.307692;0.692308;0;0;0;
0;0;0;0;1;
0.274725;0.725275;0;0;0;
0;0;0;0;1;
0.296703;0.703297;0;0;0;
0;0;0;0;1;
0.175824;0.725275;0.0989011;0;0;
0;0;0;0;1;
0.208791;0.604396;0.186813;0;0;
0;0;0;0;1;
0.153846;0.428571;0.417582;0;0;
0;0;0;0;1;
0.131868;0.307692;0.56044;0;0;
0;0;0;0;1;
0.010989;0.230769;0.758242;0;0;
0;0;0;0;1;
0.021978;0.175824;0.703297;0.0989011;0;
0;0;0;0;1;
0;0.153846;0.648352;0.197802;0;
0;0;0;0;1;
0;0.362637;0.274725;0.362637;0;
0;0;0;0;1;
0;0.021978;0.78022;0.197802;0;
0;0;0;0;1;
0;0.318681;0.362637;0.318681;0;
0;0;0;0;1;
0;0;0.791209;0.208791;0;
0;0;0;0;1;
0;0.296703;0.318681;0.384615;0;
0;0;0;0;1;
0;0;0.714286;0.285714;0;
0;0;0;0;1;
0;0.285714;0.32967;0.384615;0;
0;0;0;0;1;
0;0;0.769231;0.230769;0;
0;0;0;0;1;
0;0.241758;0.428571;0.32967;0;
0;0;0;0;1;
0;0;0.714286;0.285714;0;
0;0;0;0;1;
0;0.0989011;0.582418;0.318681;0;
0;0;0;0;1;
0;0;0.582418;0.417582;0;
0;0;0;0;1;
0;0;0.615385;0.384615;0;
0;0;0;0;1;
0;0;0.538462;0.461538;0;
0;0;0;0;1;
0;0;0.626374;0.373626;0;
0;0;0;0;1;
0;0;0.593407;0.406593;0;
0;0;0;0;1;
0;0;0.637363;0.362637;0;
0;0;0;0;1;
0;0;0.538462;0.461538;0;
0;0;0;0;1;
0;0;0.626374;0.373626;0;
0;0;0;0;1;
0;0;0.527473;0.472527;0;
0;0;0;0;1;
0;0;0.637363;0.362637;0;
0;0;0;0;1;
0;0;0.637363;0.362637;0;
0;0;0;0;1;
0;0.164835;0.406593;0.428571;0;
0;0;0;0;1;
0;0;0.604396;0.395604;0;
0;0;0;0;1;
0;0.230769;0.351648;0.417582;0;
0;0;0;0;1;
0;0;0.769231;0.230769;0;
0;0;0;0;1;
0;0.318681;0.307692;0.373626;0;
0;0;0;0;1;
0;0;0.681319;0.318681;0;
0;0;0;0;1;
0;0.32967;0.186813;0.483516;0;
0;0;0;0;1;
0;0.0879121;0.538462;0.373626;0;
0;0;0;0;1;
0.0659341;0.307692;0.21978;0.406593;0;
0;0;0;0;1;
0;0.263736;0.505495;0.230769;0;
0;0;0;0;1;
0.131868;0.296703;0.241758;0.32967;0;
0;0;0;0;1;
0;0.340659;0.505495;0.153846;0;
0;0;0;0;1;
0.120879;0.318681;0.274725;0.285714;0;
0;0;0;0;1;
0;0.373626;0.428571;0.197802;0;
0;0;0;0;1;
0.208791;0.241758;0.131868;0.417582;0;
0;0;0;0;1;
0;0.450549;0.318681;0.230769;0;
0;0;0;0;1;
0.10989;0.406593;0.0769231;0.406593;0;
0;0;0;0;1;
0;0.296703;0.549451;0.153846;0;
0;0;0;0;1;
0.131868;0.373626;0.120879;0.373626;0;
0;0;0;0;1;
0;0.285714;0.472527;0.241758;0;
0;0;0;0;1;
0.032967;0.263736;0.472527;0.230769;0;
0;0;0;0;1;
0;0.208791;0.604396;0.186813;0;
0;0;0;0;1;
0;0.494505;0.0989011;0.406593;0;
