POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;3.076;5.13798;5.13798;1.67385;1.6802;;;-1.73206;-0.866032;-0.866032
8;1;3.076;2.02247;3.58022;3.7924;3.80476;;;0.884966;-0.423549;1.30852
9;1;3.076;5.01126;4.05724;0.893993;1.26362;;;-1.62562;-1.23636;-1.25529
10;1;3.076;0.873435;3.26129;4.1502;4.15191;;;1.85015;-0.31128;1.73789
11;1;3.076;5.7674;3.76251;0.00949268;1.26362;;;-2.26077;-1.44167;-2.05546
12;1;3.076;0.989202;3.30029;4.18374;4.19357;;;1.75291;-0.565212;2.00684
13;1;3.076;5.31809;3.58855;0.109713;1.26362;;;-1.88335;-1.50689;-1.81813
14;1;3.076;0.771772;3.23645;4.07766;4.08248;;;1.93555;-0.539113;1.90945
15;1;3.076;5.33765;3.46992;0.0311914;1.26362;;;-1.89978;-1.489;-1.91767
16;1;3.076;0.938404;3.21677;3.99045;3.99916;;;1.79558;-0.591214;1.84768
17;1;3.076;5.12214;3.38998;0.195618;1.26362;;;-1.71876;-1.45059;-1.75717
18;1;3.076;0.774521;3.17203;4.04979;4.05471;;;1.93324;-0.483973;1.826
19;1;3.076;5.21922;3.3295;0.168014;1.26362;;;-1.80031;-1.38413;-1.86677
20;1;3.076;0.961772;3.16038;4.0297;4.04082;;;1.77595;-0.496151;1.78813
21;1;3.076;4.97755;3.28152;0.398817;1.26362;;;-1.5973;-1.2948;-1.68663
22;1;3.076;0.7801;3.12519;4.14106;4.15191;;;1.92856;-0.330525;1.76293
23;1;3.076;5.37037;3.25725;0.221028;1.26362;;;-1.92727;-1.29416;-1.92791
24;1;3.076;0.989465;3.13127;4.16432;4.16579;;;1.75269;-0.417814;1.83998
25;1;3.076;5.29366;3.24508;0.273831;1.26362;;;-1.86284;-1.34923;-1.80776
26;1;3.076;0.800769;3.12286;4.20534;4.20745;;;1.91119;-0.393635;1.88702
27;1;3.076;5.57079;3.23943;0.0303118;1.26362;;;-2.09562;-1.44145;-2.00341
28;1;3.076;0.998973;3.13759;4.09474;4.09636;;;1.7447;-0.569095;1.92016
29;1;3.076;5.44228;3.23779;0.0254847;1.26362;;;-1.98767;-1.56293;-1.86619
30;1;3.076;0.861089;3.13876;4.01304;4.01305;;;1.86053;-0.632669;1.9241
31;1;3.076;5.54882;3.23517;-0.168447;1.26362;;;-2.07717;-1.67125;-1.96885
32;1;3.076;1.02791;3.15027;3.83603;3.84642;;;1.7204;-0.811054;1.89878
33;1;3.076;5.53224;3.23849;-0.265494;1.26362;;;-2.06324;-1.84267;-1.89182
34;1;3.076;0.868115;3.15384;3.76631;3.77699;;;1.85462;-0.915363;1.95893
35;1;3.076;5.54892;3.23643;-0.44826;1.26362;;;-2.07725;-1.95399;-1.96594
36;1;3.076;1.00499;3.16204;3.56893;3.58258;;;1.73965;-1.08416;1.90845
37;1;3.076;5.43194;3.23527;-0.480028;1.26362;;;-1.97899;-2.07366;-1.85932
38;1;3.076;0.835319;3.16027;3.5155;3.52704;;;1.88217;-1.13257;1.93058
39;1;3.076;5.21222;3.22245;-0.450286;1.26362;;;-1.79442;-2.02978;-1.8383
40;1;3.076;1.02297;3.15776;3.33949;3.34652;;;1.72455;-1.16751;1.75949
41;1;3.076;5.12088;3.21385;-0.344299;1.26362;;;-1.7177;-2.02636;-1.72112
42;1;3.076;0.80193;3.14685;3.45486;3.45761;;;1.91022;-1.07125;1.81396
43;1;3.076;5.3207;3.2056;-0.476752;1.26362;;;-1.88555;-2.01402;-1.89788
44;1;3.076;1.01089;3.14785;3.40903;3.41595;;;1.73469;-1.14668;1.81012
45;1;3.076;5.29031;3.20278;-0.443753;1.26362;;;-1.86002;-2.07669;-1.79736
46;1;3.076;0.86624;3.14437;3.43196;3.44372;;;1.8562;-1.14859;1.85811
47;1;3.076;5.2801;3.19646;-0.499471;1.26362;;;-1.85144;-2.07431;-1.85382
48;1;3.076;1.02962;3.14487;3.31895;3.33263;;;1.71896;-1.21483;1.7852
49;1;3.076;5.00519;3.18813;-0.310156;1.26362;;;-1.62052;-2.02509;-1.66974
50;1;3.076;0.826356;3.13445;3.39093;3.40206;;;1.8897;-1.08024;1.75511
51;1;3.076;5.29729;3.18252;-0.459565;1.26362;;;-1.86588;-2.01318;-1.87779
52;1;3.076;0.988835;3.13483;3.41504;3.41595;;;1.75322;-1.13657;1.80955
53;1;3.076;5.27755;3.18042;-0.43423;1.26362;;;-1.8493;-2.06122;-1.80126
54;1;3.076;0.842798;3.13172;3.45801;3.47149;;;1.87589;-1.12327;1.86259
55;1;3.076;5.19083;3.17374;-0.423301;1.26362;;;-1.77645;-2.0115;-1.82617
56;1;3.076;1.02538;3.13077;3.34715;3.36041;;;1.72252;-1.15024;1.74949
57;1;3.076;4.99401;3.16731;-0.239747;1.26362;;;-1.61113;-1.95581;-1.66682
58;1;3.076;0.78754;3.12154;3.48191;3.48538;;;1.92231;-0.994652;1.76672
59;1;3.076;5.128;3.1594;-0.275164;1.26362;;;-1.72368;-1.85649;-1.82299
60;1;3.076;1.00079;3.11943;3.49249;3.49927;;;1.74318;-0.984902;1.73343
61;1;3.076;5.12577;3.1559;-0.174335;1.26362;;;-1.72181;-1.84581;-1.73249
62;1;3.076;0.822632;3.11424;3.62339;3.62424;;;1.89283;-0.899391;1.80732
63;1;3.076;5.24336;3.15159;-0.243607;1.26362;;;-1.82058;-1.80968;-1.8567
64;1;3.076;1.0214;3.11486;3.57373;3.58258;;;1.72586;-0.94675;1.77322
65;1;3.076;5.14998;3.14936;-0.143986;1.26362;;;-1.74214;-1.81782;-1.734
66;1;3.076;0.802303;3.11024;3.67536;3.67978;;;1.90991;-0.862869;1.82602
67;1;3.076;5.07119;3.14239;-0.0985532;1.26362;;;-1.67596;-1.70085;-1.79293
68;1;3.076;0.995517;3.10776;3.62786;3.63813;;;1.74761;-0.827047;1.71178
