PS100;PS80;PS60;PS40;PS20
0;0;0;0.21978;0.78022;
0.120879;0.0769231;0.637363;0.164835;0;
0;0;0;0;1;
0.153846;0.208791;0.483516;0.153846;0;
0;0;0;0;1;
0;0.340659;0.626374;0.032967;0;
0;0;0;0;1;
0.0989011;0.186813;0.538462;0.175824;0;
0;0;0;0;1;
0;0.241758;0.604396;0.153846;0;
0;0;0;0;1;
0.142857;0.10989;0.56044;0.186813;0;
0;0;0;0;1;
0;0.351648;0.483516;0.164835;0;
0;0;0;0;1;
0.0769231;0.208791;0.604396;0.10989;0;
0;0;0;0;1;
0.0549451;0.241758;0.604396;0.0989011;0;
0;0;0;0;1;
0.0989011;0.230769;0.527473;0.142857;0;
0;0;0;0;1;
0;0.274725;0.582418;0.142857;0;
0;0;0;0;1;
0;0.373626;0.307692;0.318681;0;
0;0;0;0;1;
0;0;0.901099;0.0989011;0;
0;0;0;0;1;
0;0.384615;0.241758;0.373626;0;
0;0;0;0;1;
0;0;0.769231;0.230769;0;
0;0;0;0;1;
0;0.318681;0.274725;0.406593;0;
0;0;0;0;1;
0;0.043956;0.703297;0.252747;0;
0;0;0;0;1;
0.0659341;0.252747;0.296703;0.384615;0;
0;0;0;0;1;
0;0;0.835165;0.164835;0;
0;0;0;0;1;
0;0.307692;0.263736;0.428571;0;
0;0;0;0;1;
0;0;0.659341;0.340659;0;
0;0;0;0;1;
0.032967;0.263736;0.21978;0.483516;0;
0;0;0;0;1;
0;0.164835;0.494505;0.340659;0;
0;0;0;0;1;
0.0769231;0.274725;0.208791;0.43956;0;
0;0;0;0;1;
0;0.197802;0.494505;0.307692;0;
0;0;0;0;1;
0.0659341;0.340659;0.131868;0.461538;0;
0;0;0;0;1;
0;0.175824;0.615385;0.208791;0;
0;0;0;0;1;
0.0879121;0.307692;0.21978;0.384615;0;
0;0;0;0;1;
0;0.186813;0.615385;0.197802;0;
0;0;0;0;1;
0.0769231;0.32967;0.153846;0.43956;0;
0;0;0;0;1;
0;0.043956;0.824176;0.131868;0;
0;0;0;0;1;
0.0989011;0.263736;0.274725;0.362637;0;
0;0;0;0;1;
0;0;0.923077;0.0769231;0;
0;0;0;0;1;
0.0659341;0.230769;0.362637;0.340659;0;
0;0;0;0;1;
0;0;0.857143;0.142857;0;
0;0;0;0;1;
0.032967;0.153846;0.615385;0.197802;0;
0;0;0;0;1;
0;0.032967;0.868132;0.0989011;0;
0;0;0;0;1;
0.0659341;0.318681;0.241758;0.373626;0;
0;0;0;0;1;
0;0.0879121;0.802198;0.10989;0;
0;0;0;0;1;
0.0769231;0.263736;0.362637;0.296703;0;
0;0;0;0;1;
0;0.0989011;0.835165;0.0659341;0;
0;0;0;0;1;
0.0989011;0.241758;0.373626;0.285714;0;
0;0;0;0;1;
0.010989;0.142857;0.626374;0.21978;0;
0;0;0;0;1;
0.032967;0.406593;0.142857;0.417582;0;
0;0;0;0;1;
0;0.0989011;0.824176;0.0769231;0;
0;0;0;0;1;
0.10989;0.230769;0.417582;0.241758;0;
0;0;0;0;1;
0;0.120879;0.824176;0.0549451;0;
0;0;0;0;1;
0;0.395604;0.230769;0.373626;0;
0;0;0;0;1;
0;0;0.824176;0.175824;0;
0;0;0;0;1;
0.0549451;0.252747;0.252747;0.43956;0;
0;0;0;0;1;
0;0.120879;0.494505;0.384615;0;
0;0;0;0;1;
0;0.274725;0.274725;0.450549;0;
0;0;0;0;1;
0;0.0549451;0.692308;0.252747;0;
0;0;0;0;1;
0.10989;0.197802;0.274725;0.417582;0;
0;0;0;0;1;
0;0.043956;0.857143;0.0989011;0;
0;0;0;0;1;
0.021978;0.120879;0.78022;0.0769231;0;
0;0;0;0;1;
0.0549451;0.153846;0.549451;0.241758;0;
0;0;0;0;1;
0.010989;0.296703;0.351648;0.340659;0;
0;0;0;0;1;
0;0.032967;0.681319;0.285714;0;
0;0;0;0;1;
0;0.186813;0.450549;0.362637;0;
