POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;0.764;1.02979;1.02979;0.583263;0.587172;;;-0.223264;-0.111632;-0.111632
8;1;0.764;1.03357;1.03168;0.580696;0.587172;;;-0.226435;-0.224849;-0.0015855
9;1;0.764;0.859721;0.974359;0.587278;0.600517;;;-0.0804056;-0.265052;0.0730145
10;1;0.764;0.936268;0.964836;0.422009;0.427034;;;-0.144705;-0.337404;-0.0321497
11;1;0.764;0.508038;0.873476;0.673002;0.680586;;;0.215008;-0.2299;0.179857
12;1;0.764;1.20576;0.928857;0.126197;0.240207;;;-0.37108;-0.41544;-0.293044
13;1;0.764;0.15202;0.817881;0.950246;0.960827;;;0.514063;-0.158409;0.442572
14;1;0.764;1.24678;0.871493;0.0202684;0.240207;;;-0.405536;-0.361177;-0.4598
15;1;0.764;0.151847;0.791532;1.02186;1.02755;;;0.514209;-0.104073;0.459872
16;1;0.764;1.5446;0.866839;-0.127986;0.240207;;;-0.655705;-0.431925;-0.584957
17;1;0.764;0.154508;0.802082;1.07438;1.08093;;;0.511973;-0.175938;0.583839
18;1;0.764;1.34852;0.847618;-0.065398;0.240207;;;-0.490996;-0.421436;-0.501485
19;1;0.764;0.15173;0.794088;1.00441;1.01421;;;0.514307;-0.164283;0.502651
20;1;0.764;1.49883;0.844427;-0.157123;0.240207;;;-0.61726;-0.472913;-0.565783
21;1;0.764;0.151439;0.798228;1.01626;1.02755;;;0.514551;-0.215637;0.565905
22;1;0.764;1.30979;0.830201;-0.0800494;0.240207;;;-0.458463;-0.444869;-0.486507
23;1;0.764;0.149251;0.790145;0.966392;0.974171;;;0.516389;-0.186674;0.487426
24;1;0.764;1.46537;0.827657;-0.1578;0.240207;;;-0.58915;-0.481249;-0.55277
25;1;0.764;0.149515;0.791966;0.995176;1.00086;;;0.516167;-0.223165;0.552659
26;1;0.764;1.27363;0.816049;-0.0637981;0.240207;;;-0.42809;-0.43721;-0.472129
27;1;0.764;0.152925;0.784472;0.956366;0.960827;;;0.513303;-0.180559;0.470697
28;1;0.764;1.40776;0.812803;-0.110971;0.240207;;;-0.540763;-0.45094;-0.527033
29;1;0.764;0.149016;0.783943;1.00163;1.01421;;;0.516587;-0.192647;0.528675
30;1;0.764;1.31871;0.806225;-0.0641423;0.240207;;;-0.465956;-0.425625;-0.491271
31;1;0.764;0.151555;0.780038;0.987816;1.00086;;;0.514454;-0.168398;0.490205
