POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;0.528;0.892262;0.892262;0.280302;0.292255;;;-0.30598;-0.15299;-0.15299
8;1;0.528;0.383679;0.63797;0.626138;0.633218;;;0.12123;-0.0923752;0.213605
9;1;0.528;0.635192;0.637044;0.302119;0.304432;;;-0.0900413;-0.137396;-0.105635
10;1;0.528;0.284879;0.549003;0.600947;0.608864;;;0.204222;-0.035285;0.147131
11;1;0.528;0.712443;0.581691;0.265183;0.2679;;;-0.154932;-0.112751;-0.179577
12;1;0.528;0.336828;0.54088;0.622712;0.633218;;;0.160584;-0.0324589;0.157758
13;1;0.528;0.784748;0.575719;0.24066;0.243545;;;-0.215668;-0.140293;-0.188126
14;1;0.528;0.205479;0.529439;0.714855;0.718459;;;0.270918;-0.0048342;0.243293
15;1;0.528;0.977837;0.579261;0.0818178;0.219191;;;-0.377863;-0.193766;-0.32439
16;1;0.528;0.189837;0.540318;0.753117;0.754991;;;0.284057;-0.0517373;0.33096
17;1;0.528;0.8522;0.568671;0.113778;0.219191;;;-0.272328;-0.187901;-0.278192
18;1;0.528;0.119493;0.53124;0.754047;0.754991;;;0.343146;-0.0163283;0.307737
19;1;0.528;0.950557;0.563495;0.05276;0.219191;;;-0.354948;-0.193802;-0.349047
20;1;0.528;0.192528;0.536997;0.739793;0.742814;;;0.281796;-0.052904;0.318372
21;1;0.528;0.886631;0.560306;0.0903286;0.219191;;;-0.30125;-0.203529;-0.291523
22;1;0.528;0.115641;0.532515;0.7555;0.767168;;;0.346382;-0.0303383;0.323816
23;1;0.528;1.04256;0.562517;-0.0254271;0.219191;;;-0.432227;-0.246452;-0.389304
24;1;0.528;0.19931;0.542339;0.721171;0.730636;;;0.2761;-0.108402;0.354163
25;1;0.528;1.02233;0.567602;-0.0545962;0.219191;;;-0.415237;-0.316021;-0.345668
26;1;0.528;0.154795;0.546961;0.673377;0.681927;;;0.313492;-0.159274;0.364365
27;1;0.528;1.08378;0.572524;-0.165951;0.219191;;;-0.466855;-0.392702;-0.390174
28;1;0.528;0.206155;0.555871;0.58758;0.596686;;;0.27035;-0.257527;0.368602
29;1;0.528;1.11383;0.58013;-0.263064;0.219191;;;-0.492094;-0.503574;-0.381222
30;1;0.528;0.168631;0.562984;0.514844;0.523623;;;0.30187;-0.352639;0.396982
31;1;0.528;0.914711;0.577053;-0.238538;0.219191;;;-0.324837;-0.515058;-0.313354
32;1;0.528;0.205815;0.562775;0.394447;0.40185;;;0.270635;-0.37974;0.297736
33;1;0.528;0.623378;0.565019;-0.0519148;0.219191;;;-0.0801175;-0.419799;-0.175376
34;1;0.528;0.153047;0.550306;0.403228;0.414027;;;0.314961;-0.262319;0.197539
35;1;0.528;0.694616;0.555282;-0.0050977;0.219191;;;-0.139957;-0.332297;-0.227459
36;1;0.528;0.202927;0.543537;0.486731;0.487091;;;0.273061;-0.195767;0.206509
37;1;0.528;0.915323;0.55553;-0.0676769;0.219191;;;-0.325351;-0.358442;-0.299206
38;1;0.528;0.174038;0.543609;0.572928;0.584509;;;0.297328;-0.209778;0.31134
39;1;0.528;1.16209;0.56235;-0.261623;0.219191;;;-0.532636;-0.476096;-0.414982
40;1;0.528;0.213372;0.552086;0.532169;0.5358;;;0.264288;-0.343952;0.398462
41;1;0.528;1.01507;0.565314;-0.279302;0.219191;;;-0.409136;-0.54852;-0.336712
42;1;0.528;0.165997;0.554222;0.43021;0.438382;;;0.304083;-0.396479;0.356609
43;1;0.528;0.787612;0.56053;-0.197057;0.219191;;;-0.218074;-0.505516;-0.261078
44;1;0.528;0.21208;0.55136;0.346346;0.353141;;;0.265373;-0.37283;0.241723
45;1;0.528;0.457356;0.54895;0.0705217;0.219191;;;0.059341;-0.343159;-0.103016
