PS100;PS80;PS60;PS40;PS20
0;0;0;0;1;
0.0545455;0.354545;0.590909;0;0;
0;0;0;0;1;
0.0318182;0.281818;0.686364;0;0;
0;0;0;0;1;
0.0181818;0.0909091;0.859091;0.0318182;0;
0;0;0;0;1;
0.0454545;0.0545455;0.709091;0.190909;0;
0;0;0;0;1;
0.0636364;0.140909;0.295455;0.5;0;
0;0;0;0;1;
0.05;0.0454545;0.568182;0.336364;0;
0;0;0;0;1;
0.0272727;0.0909091;0.645455;0.236364;0;
0;0;0;0;1;
0.0318182;0.05;0.863636;0.0545455;0;
0;0;0;0;1;
0.0136364;0.0636364;0.818182;0.104545;0;
0;0;0;0;1;
0.0227273;0.0363636;0.786364;0.154545;0;
0;0;0;0;1;
0.0318182;0.145455;0.372727;0.45;0;
0;0;0;0;1;
0.0363636;0.05;0.590909;0.322727;0;
0;0;0;0;1;
0.0636364;0.177273;0.331818;0.427273;0;
0;0;0;0;1;
0.0363636;0.0318182;0.859091;0.0727273;0;
0;0;0;0;1;
0.0727273;0.159091;0.545455;0.222727;0;
0;0;0;0;1;
0.0363636;0.0136364;0.940909;0.00909091;0;
0;0;0;0;1;
0.113636;0.190909;0.268182;0.427273;0;
0;0;0;0;1;
0.0318182;0.0181818;0.831818;0.118182;0;
0;0;0;0;1;
0.00454545;0.0318182;0.931818;0.0318182;0;
0;0;0;0;1;
0.0363636;0.0318182;0.877273;0.0545455;0;
0;0;0;0;1;
0.0272727;0.131818;0.568182;0.272727;0;
0;0;0;0;1;
0.0318182;0.05;0.663636;0.254545;0;
0;0;0;0;1;
0.0454545;0.109091;0.468182;0.377273;0;
0;0;0;0;1;
0.0363636;0.05;0.668182;0.245455;0;
0;0;0;0;1;
0.0318182;0.127273;0.5;0.340909;0;
0;0;0;0;1;
0.0272727;0.0272727;0.718182;0.227273;0;
0;0;0;0;1;
0.0272727;0.0636364;0.590909;0.318182;0;
0;0;0;0;1;
0.0272727;0.0545455;0.595455;0.322727;0;
0;0;0;0;1;
0.0136364;0.113636;0.454545;0.418182;0;
0;0;0;0;1;
0.00909091;0.0454545;0.686364;0.259091;0;
0;0;0;0;1;
0.0409091;0.127273;0.422727;0.409091;0;
0;0;0;0;1;
0.0409091;0.0454545;0.681818;0.231818;0;
0;0;0;0;1;
0.0318182;0.104545;0.6;0.263636;0;
0;0;0;0;1;
0.0318182;0.0409091;0.763636;0.163636;0;
0;0;0;0;1;
0.05;0.109091;0.504545;0.336364;0;
0;0;0;0;1;
0.0363636;0.0454545;0.686364;0.231818;0;
0;0;0;0;1;
0.0409091;0.159091;0.422727;0.377273;0;
0;0;0;0;1;
0.0318182;0.0681818;0.672727;0.227273;0;
0;0;0;0;1;
0.0181818;0.154545;0.545455;0.281818;0;
0;0;0;0;1;
0.0181818;0.0636364;0.790909;0.127273;0;
0;0;0;0;1;
0.0136364;0.131818;0.618182;0.236364;0;
0;0;0;0;1;
0.00909091;0.05;0.768182;0.172727;0;
0;0;0;0;1;
0.0681818;0.227273;0.131818;0.572727;0;
0;0;0;0;1;
0.0636364;0.05;0.513636;0.372727;0;
0;0;0;0;1;
0.0318182;0.15;0.459091;0.359091;0;
0;0;0;0;1;
0.0409091;0.0727273;0.686364;0.2;0;
0;0;0;0;1;
0.0227273;0.181818;0.45;0.345455;0;
0;0;0;0;1;
0.00454545;0.0227273;0.772727;0.2;0;
0;0;0;0;1;
0.0227273;0.154545;0.377273;0.445455;0;
0;0;0;0;1;
0.0318182;0.1;0.418182;0.45;0;
0;0;0;0;1;
0.0181818;0.122727;0.363636;0.495455;0;
0;0;0;0;1;
0.00909091;0.0454545;0.618182;0.327273;0;
0;0;0;0;1;
0;0.25;0.2;0.55;0;
0;0;0;0;1;
0.00454545;0.15;0.386364;0.459091;0;
0;0;0;0;1;
0;0.254545;0.204545;0.540909;0;
0;0;0;0;1;
0.0454545;0.109091;0.468182;0.377273;0;
0;0;0;0;1;
0.0227273;0.163636;0.436364;0.377273;0;
0;0;0;0;1;
0.0227273;0.0909091;0.590909;0.295455;0;
0;0;0;0;1;
0.00909091;0.0772727;0.527273;0.386364;0;
0;0;0;0;1;
0.0227273;0.0818182;0.472727;0.422727;0;
