PS100;PS80;PS60;PS40;PS20
0;0;0;0;1;
0.104545;0.209091;0.486364;0.2;0;
0;0;0;0;1;
0.0454545;0.0136364;0.845455;0.0954545;0;
0;0;0;0;1;
0.0909091;0.254545;0.0272727;0.627273;0;
0;0;0;0;1;
0.0590909;0;0.527273;0.413636;0;
0;0;0;0;1;
0.0681818;0.15;0.313636;0.468182;0;
0;0;0;0;1;
0.0272727;0.0454545;0.75;0.177273;0;
0;0;0;0;1;
0.0363636;0.245455;0.336364;0.381818;0;
0;0;0;0;1;
0.0227273;0.00454545;0.859091;0.113636;0;
0;0;0;0;1;
0.113636;0.227273;0.0818182;0.577273;0;
0;0;0;0;1;
0.0227273;0.0227273;0.731818;0.222727;0;
0;0;0;0;1;
0.0181818;0.145455;0.540909;0.295455;0;
0;0;0;0;1;
0.0318182;0.0272727;0.759091;0.181818;0;
0;0;0;0;1;
0.0136364;0.118182;0.563636;0.304545;0;
0;0;0;0;1;
0.0363636;0.00454545;0.763636;0.195455;0;
0;0;0;0;1;
0.1;0.213636;0.0954545;0.590909;0;
0;0;0;0;1;
0.0818182;0.0272727;0.504545;0.386364;0;
0;0;0;0;1;
0.0409091;0.204545;0.340909;0.413636;0;
0;0;0;0;1;
0.0136364;0.0772727;0.722727;0.186364;0;
0;0;0;0;1;
0.0227273;0.240909;0.327273;0.409091;0;
0;0;0;0;1;
0.0727273;0.0318182;0.527273;0.368182;0;
0;0;0;0;1;
0.00454545;0.172727;0.409091;0.413636;0;
0;0;0;0;1;
0.00454545;0.0409091;0.695455;0.259091;0;
0;0;0;0;1;
0.145455;0.140909;0.05;0.663636;0;
0;0;0;0;1;
0.05;0.0136364;0.6;0.336364;0;
0;0;0;0;1;
0.122727;0.195455;0.0590909;0.622727;0;
0;0;0;0;1;
0.05;0.0272727;0.636364;0.286364;0;
0;0;0;0;1;
0.104545;0.2;0.177273;0.518182;0;
0;0;0;0;1;
0.0818182;0.0181818;0.609091;0.290909;0;
0;0;0;0;1;
0.104545;0.240909;0.0727273;0.581818;0;
0;0;0;0;1;
0.0590909;0.00909091;0.668182;0.263636;0;
0;0;0;0;1;
0.0681818;0.231818;0.254545;0.445455;0;
0;0;0;0;1;
0.0363636;0;0.859091;0.104545;0;
0;0;0;0;1;
0.2;0.131818;0.104545;0.563636;0;
0;0;0;0;1;
0.0181818;0.00454545;0.872727;0.104545;0;
0;0;0;0;1;
0.154545;0.104545;0.327273;0.413636;0;
0;0;0;0;1;
0.0318182;0.00909091;0.881818;0.0772727;0;
0;0;0;0;1;
0.131818;0.127273;0.313636;0.427273;0;
0;0;0;0;1;
0.0636364;0.0136364;0.672727;0.25;0;
0;0;0;0;1;
0.186364;0.104545;0.0954545;0.613636;0;
0;0;0;0;1;
0.0727273;0.0136364;0.595455;0.318182;0;
0;0;0;0;1;
0.15;0.131818;0.122727;0.595455;0;
0;0;0;0;1;
0.0590909;0.0136364;0.640909;0.286364;0;
0;0;0;0;1;
0.118182;0.209091;0.0727273;0.6;0;
0;0;0;0;1;
0.0454545;0.0136364;0.677273;0.263636;0;
0;0;0;0;1;
0.05;0.309091;0.0636364;0.577273;0;
0;0;0;0;1;
0.05;0.0181818;0.636364;0.295455;0;
0;0;0;0;1;
0.0727273;0.236364;0.140909;0.55;0;
0;0;0;0;1;
0.0318182;0.00909091;0.736364;0.222727;0;
0;0;0;0;1;
0.0136364;0.186364;0.459091;0.340909;0;
0;0;0;0;1;
0.00909091;0;0.868182;0.122727;0;
0;0;0;0;1;
0.0863636;0.2;0.190909;0.522727;0;
0;0;0;0;1;
0.0272727;0;0.777273;0.195455;0;
0;0;0;0;1;
0.0863636;0.177273;0.295455;0.440909;0;
0;0;0;0;1;
0.0409091;0.0136364;0.768182;0.177273;0;
0;0;0;0;1;
0.122727;0.195455;0.109091;0.572727;0;
0;0;0;0;1;
0.05;0.00454545;0.668182;0.277273;0;
0;0;0;0;1;
0.113636;0.159091;0.240909;0.486364;0;
0;0;0;0;1;
0.0545455;0;0.790909;0.154545;0;
0;0;0;0;1;
0.00454545;0;0.95;0.0454545;0;
0;0;0;0;1;
0.0181818;0;0.886364;0.0954545;0;
