POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;16.324;28.5713;28.5713;7.99581;8.00959;;;-10.2878;-5.14388;-5.14388
8;1;16.324;7.17988;17.8756;22.542;22.5522;;;7.68106;-1.30335;8.98441
9;1;16.324;26.8583;20.8698;4.01682;6.68626;;;-8.84879;-5.72774;-8.26492
10;1;16.324;3.51406;16.5309;23.7314;23.7362;;;10.7604;-0.347568;9.80457
11;1;16.324;27.5253;18.7298;2.97934;6.68626;;;-9.40913;-5.05213;-10.0847
12;1;16.324;4.20054;16.3082;24.2204;24.2238;;;10.1837;0.0397194;9.79642
13;1;16.324;29.3066;18.1651;2.44371;6.68626;;;-10.9054;-5.41297;-10.5445
14;1;16.324;3.52413;16.335;25.0676;25.0735;;;10.7519;-0.0370222;10.8286
15;1;16.324;30.0845;17.8627;1.55392;6.68626;;;-11.5588;-5.81642;-11.1553
16;1;16.324;4.18042;16.4945;24.5446;24.5581;;;10.2006;-0.716113;10.8797
17;1;16.324;27.9929;17.5398;2.57272;6.68626;;;-9.80189;-5.61706;-10.0012
18;1;16.324;3.55309;16.3743;24.2921;24.2934;;;10.7276;-0.253276;10.2647
19;1;16.324;28.407;17.2999;2.49048;6.68626;;;-10.1497;-5.32815;-10.4387
20;1;16.324;4.1733;16.3622;24.3332;24.3352;;;10.2066;-0.224854;10.1782
21;1;16.324;28.8253;17.1931;2.49495;6.68626;;;-10.5011;-5.47541;-10.3538
22;1;16.324;3.48859;16.3366;24.8272;24.8367;;;10.7817;-0.0845376;10.6414
23;1;16.324;27.7932;17.0105;3.04952;6.68626;;;-9.63414;-4.90161;-10.2079
24;1;16.324;4.11708;16.2942;24.5402;24.5442;;;10.2538;0.225297;9.94398
25;1;16.324;29.2224;16.9746;2.6515;6.68626;;;-10.8346;-5.19202;-10.5442
26;1;16.324;3.50751;16.3013;25.2645;25.2685;;;10.7659;0.190908;10.8002
27;1;16.324;29.9278;16.9502;1.88139;6.68626;;;-11.4272;-5.52269;-11.0965
28;1;16.324;4.16167;16.3689;24.7853;24.7949;;;10.2164;-0.414516;10.8218
29;1;16.324;29.0375;16.9197;2.1561;6.68626;;;-10.6794;-5.75421;-10.4479
30;1;16.324;3.527;16.3616;24.6114;24.6138;;;10.7495;-0.379464;10.7144
31;1;16.324;28.3445;16.841;2.39589;6.68626;;;-10.0972;-5.42805;-10.4233
32;1;16.324;4.17058;16.3536;24.2089;24.2098;;;10.2089;-0.323616;10.153
33;1;16.324;27.9839;16.7844;2.96722;6.68626;;;-9.79431;-5.22077;-10.0016
34;1;16.324;3.53305;16.3111;24.6982;24.7113;;;10.7444;0.151431;10.2694
35;1;16.324;29.8013;16.7763;1.93867;6.68626;;;-11.3209;-5.50903;-11.0327
36;1;16.324;4.17507;16.3563;24.7367;24.7392;;;10.2051;-0.406482;10.763
37;1;16.324;29.4775;16.7795;1.87059;6.68626;;;-11.0489;-5.93095;-10.627
38;1;16.324;3.4775;16.3638;24.6531;24.6556;;;10.7911;-0.535424;10.92
39;1;16.324;29.0716;16.7489;1.72467;6.68626;;;-10.708;-5.88942;-10.7495
40;1;16.324;4.13762;16.378;24.0753;24.0845;;;10.2366;-0.771138;10.4723
41;1;16.324;27.132;16.6853;3.08517;6.68626;;;-9.07869;-5.31048;-9.65763
42;1;16.324;3.53213;16.3199;24.2513;24.2516;;;10.7452;0.0621029;9.91193
43;1;16.324;28.706;16.6547;2.59374;6.68626;;;-10.4009;-5.13835;-10.573
44;1;16.324;4.15797;16.3258;24.659;24.6695;;;10.2195;-0.0286129;10.3102
45;1;16.324;28.3558;16.6343;3.00406;6.68626;;;-10.1067;-5.08195;-10.1631
46;1;16.324;3.5573;16.3073;24.9767;24.9899;;;10.724;0.280062;10.4153
47;1;16.324;28.2564;16.5988;3.12801;6.68626;;;-10.0232;-4.73155;-10.3736
48;1;16.324;4.13831;16.3021;24.8903;24.8924;;;10.236;0.386437;10.1296
49;1;16.324;27.4618;16.5616;4.01874;6.68626;;;-9.35576;-4.29144;-9.79587
50;1;16.324;3.54015;16.2657;25.4035;25.4078;;;10.7384;1.07777;10.0471
51;1;16.324;29.2553;16.5543;3.23925;6.68626;;;-10.8623;-4.35339;-10.8004
52;1;16.324;4.18086;16.2853;25.6591;25.6725;;;10.2002;0.746728;10.5313
53;1;16.324;29.1822;16.5598;3.22704;6.68626;;;-10.8009;-4.65371;-10.5006
54;1;16.324;3.50049;16.2877;25.7907;25.7978;;;10.7717;0.73216;10.7863
55;1;16.324;29.1358;16.5499;2.95829;6.68626;;;-10.7619;-4.64878;-10.7668
56;1;16.324;4.12885;16.3015;25.3489;25.3521;;;10.2439;0.473185;10.5029
57;1;16.324;28.9667;16.5498;3.07816;6.68626;;;-10.6199;-4.83677;-10.4319
58;1;16.324;3.52421;16.2993;25.501;25.5053;;;10.7518;0.539144;10.6859
59;1;16.324;29.0568;16.54;2.82895;6.68626;;;-10.6955;-4.80862;-10.7237
60;1;16.324;4.19949;16.3115;25.1078;25.1153;;;10.1846;0.283674;10.4401
61;1;16.324;30.4944;16.5694;1.87952;6.68626;;;-11.9031;-5.66789;-11.0439
62;1;16.324;3.60273;16.3378;25.2581;25.2685;;;10.6859;-0.324954;11.2945
63;1;16.324;29.4224;16.5674;1.74919;6.68626;;;-11.0027;-5.82629;-10.8443
64;1;16.324;4.1958;16.3541;24.2462;24.2516;;;10.1877;-0.732447;10.5952
65;1;16.324;28.3803;16.5579;2.2994;6.68626;;;-10.1273;-5.79611;-10.1575
66;1;16.324;3.43132;16.3391;24.3586;24.3631;;;10.8299;-0.381179;10.4786
67;1;16.324;29.1562;16.5492;1.802;6.68626;;;-10.779;-5.7707;-10.8045
68;1;16.324;4.14374;16.3492;24.2254;24.2377;;;10.2314;-0.654991;10.5052
69;1;16.324;27.1777;16.521;3.1728;6.68626;;;-9.11708;-5.21353;-9.67425
70;1;16.324;3.45375;16.3169;24.4208;24.4327;;;10.811;0.191974;9.96405
71;1;16.324;27.9744;16.4962;3.18822;6.68626;;;-9.78631;-4.70118;-10.2987
72;1;16.324;4.09754;16.3083;24.83;24.8367;;;10.2702;0.43393;10.0283
73;1;16.324;28.1769;16.4855;3.56287;6.68626;;;-9.95641;-4.54428;-10.1133
74;1;16.324;3.49377;16.2944;25.4825;25.4914;;;10.7774;0.844421;10.3669
75;1;16.324;28.148;16.4662;3.73943;6.68626;;;-9.93213;-4.12164;-10.3548
76;1;16.324;4.16476;16.2905;25.4367;25.4496;;;10.2138;0.985239;10.0729
77;1;16.324;27.9259;16.4544;4.31307;6.68626;;;-9.74559;-3.88755;-9.97968
78;1;16.324;3.47859;16.2741;26.0441;26.0486;;;10.7901;1.50752;10.2679
79;1;16.324;27.7641;16.4315;4.65715;6.68626;;;-9.60972;-3.29734;-10.1999
80;1;16.324;4.12964;16.2653;26.1237;26.1321;;;10.2433;1.82429;9.92649
81;1;16.324;28.1487;16.4237;4.98589;6.68626;;;-9.93272;-3.14207;-10.088
82;1;16.324;3.44705;16.253;26.9046;26.9122;;;10.8166;2.26625;10.3747
83;1;16.324;28.8597;16.4167;4.65763;6.68626;;;-10.53;-2.99876;-10.6733
84;1;16.324;4.1305;16.2592;26.8818;26.8844;;;10.2425;2.12251;10.3863
85;1;16.324;28.7861;16.4178;4.85103;6.68626;;;-10.4681;-3.11156;-10.3553
86;1;16.324;3.50292;16.2563;27.1648;27.1769;;;10.7697;2.27329;10.6189
87;1;16.324;28.1442;16.4031;5.17471;6.68626;;;-9.92895;-2.69119;-10.3493
88;1;16.324;4.0485;16.2524;26.9446;26.954;;;10.3114;2.46452;10.1202
89;1;16.324;28.6033;16.4012;5.28287;6.68626;;;-10.3146;-2.6928;-10.313
90;1;16.324;3.4596;16.2472;27.5363;27.539;;;10.8061;2.71025;10.5604
91;1;16.324;29.1046;16.3984;4.94042;6.68626;;;-10.7357;-2.65758;-10.7709
92;1;16.324;4.15641;16.2561;27.3082;27.3162;;;10.2208;2.4528;10.4782
93;1;16.324;29.0478;16.4031;5.01426;6.68626;;;-10.688;-2.89118;-10.4544
94;1;16.324;3.48826;16.2564;27.5051;27.5112;;;10.782;2.49983;10.735
95;1;16.324;28.3171;16.3919;5.27749;6.68626;;;-10.0742;-2.53728;-10.4281
96;1;16.324;4.06306;16.2549;27.1613;27.1629;;;10.2992;2.61231;10.1867
97;1;16.324;29.7554;16.4032;4.65335;6.68626;;;-11.2824;-3.02889;-10.7908
98;1;16.324;3.44246;16.2624;27.6958;27.7062;;;10.8205;2.38136;11.0514
99;1;16.324;28.6988;16.3961;4.88024;6.68626;;;-10.3948;-2.81606;-10.6077
100;1;16.324;4.05974;16.2649;27.0451;27.0515;;;10.302;2.33493;10.3484
101;1;16.324;28.3085;16.3916;5.35851;6.68626;;;-10.0669;-2.69854;-10.1845
102;1;16.324;3.42804;16.2566;27.4282;27.4415;;;10.8326;2.71776;10.4498
103;1;16.324;28.9633;16.3876;5.03075;6.68626;;;-10.617;-2.59073;-10.7248
104;1;16.324;4.07593;16.262;27.3704;27.3719;;;10.2884;2.55346;10.4527
105;1;16.324;28.3612;16.3842;5.54795;6.68626;;;-10.1113;-2.50218;-10.1998
106;1;16.324;3.40644;16.2544;27.6614;27.6644;;;10.8508;2.92319;10.481
107;1;16.324;28.8153;16.3788;5.32774;6.68626;;;-10.4927;-2.32315;-10.6717
108;1;16.324;4.09719;16.2584;27.5614;27.5669;;;10.2705;2.81211;10.3816
109;1;16.324;29.4395;16.3863;5.08229;6.68626;;;-11.017;-2.69641;-10.6438
110;1;16.324;3.43865;16.2618;27.8982;27.9012;;;10.8237;2.71544;10.9204
111;1;16.324;29.2248;16.3853;4.85508;6.68626;;;-10.8366;-2.70288;-10.8302
