POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;4.468;11.2305;11.2305;-0.13049;2.34755;;;-5.68049;-2.84024;-2.84024
8;1;4.468;1.52069;6.37559;6.47217;6.4771;;;2.47574;-1.60237;4.07811
9;1;4.468;10.5013;7.75083;-2.47491;2.34755;;;-5.06799;-4.13637;-3.77187
10;1;4.468;1.45033;6.17571;4.91764;4.91918;;;2.53484;-2.86895;3.80142
11;1;4.468;7.77553;6.49567;-1.91749;2.34755;;;-2.77832;-4.25811;-2.65658
12;1;4.468;1.53362;5.66866;3.59443;3.59602;;;2.46488;-3.02567;2.6216
13;1;4.468;3.31821;5.33289;0.991743;2.34755;;;0.965822;-2.54276;-0.749529
14;1;4.468;0.644088;4.74679;4.04259;4.04419;;;3.21209;-0.936719;1.12313
15;1;4.468;3.47901;4.60592;2.59775;2.60364;;;0.830755;-0.521341;-1.19067
16;1;4.468;1.06023;4.25135;5.84856;5.8582;;;2.86252;0.90992;1.01588
17;1;4.468;5.66443;4.37981;3.13309;3.13718;;;-1.005;0.407421;-1.93376
18;1;4.468;1.92377;4.17514;7.108;7.11734;;;2.13715;1.476;1.57108
19;1;4.468;6.61329;4.36269;3.41663;3.42529;;;-1.80204;0.574978;-1.9696
20;1;4.468;2.58019;4.23537;7.22771;7.23472;;;1.58576;1.36786;1.6939
21;1;4.468;6.76174;4.4038;3.48324;3.48931;;;-1.92674;0.404489;-1.75625
22;1;4.468;2.29875;4.27223;7.31095;7.32008;;;1.82217;1.31557;1.87445
23;1;4.468;6.21393;4.38645;3.68526;3.69205;;;-1.46658;0.582283;-1.64437
24;1;4.468;2.71167;4.2934;6.97788;6.97862;;;1.47532;1.31994;1.47095
25;1;4.468;6.07611;4.38723;3.95677;3.95882;;;-1.35081;0.644538;-1.41306
26;1;4.468;2.96499;4.31612;6.80999;6.81856;;;1.26253;1.2758;1.30667
27;1;4.468;12.61;4.71107;-0.424017;2.34755;;;-6.83927;-2.14383;-4.0509
28;1;4.468;1.41172;4.56109;7.82207;7.83227;;;2.56727;-0.860197;4.70327
29;1;4.468;10.1589;4.80448;-1.54567;2.34755;;;-4.78039;-3.25039;-3.67383
30;1;4.468;0.647423;4.63127;6.2058;6.21033;;;3.20928;-1.64575;3.99484
31;1;4.468;7.92556;4.76304;-1.13353;2.34755;;;-2.90435;-3.09793;-3.05682
32;1;4.468;0.735853;4.60815;5.36011;5.36735;;;3.135;-1.53042;3.01968
33;1;4.468;6.30373;4.67095;0.121779;2.34755;;;-1.54201;-2.30143;-2.33851
34;1;4.468;0.659568;4.52768;5.52731;5.52741;;;3.19908;-0.701888;2.37055
35;1;4.468;6.00055;4.57847;1.12444;2.34755;;;-1.28734;-1.34556;-2.24321
36;1;4.468;0.805597;4.45271;6.25655;6.26369;;;3.07642;0.192651;2.18188
37;1;4.468;6.95631;4.53347;1.43039;2.34755;;;-2.09018;-0.852439;-2.5833
38;1;4.468;0.757989;4.41549;7.18346;7.19203;;;3.11641;0.705765;2.60329
39;1;4.468;7.49763;4.50889;1.55541;2.34755;;;-2.54489;-0.56668;-2.83065
40;1;4.468;0.864631;4.4017;7.62406;7.62953;;;3.02683;0.946735;2.78586
41;1;4.468;7.85733;4.50043;1.59658;2.34755;;;-2.84703;-0.476781;-2.93693
42;1;4.468;0.781107;4.39712;7.92182;7.92831;;;3.09699;1.07171;2.97201
43;1;4.468;7.99235;4.49429;1.59466;2.34755;;;-2.96045;-0.408511;-3.02872
44;1;4.468;0.864021;4.39875;7.99042;7.99233;;;3.02734;1.10516;2.9939
45;1;4.468;7.56703;4.47999;1.95215;2.34755;;;-2.60318;-0.196432;-2.81526
46;1;4.468;0.643841;4.38409;8.17359;8.17374;;;3.21229;1.40971;2.90774
47;1;4.468;7.46646;4.45927;2.23262;2.34755;;;-2.5187;0.150363;-2.8655
48;1;4.468;0.694609;4.36963;8.44362;8.45117;;;3.16965;1.73519;2.84418
49;1;4.468;7.53819;4.44332;2.53063;2.53962;;;-2.57896;0.445705;-2.87431
50;1;4.468;0.91735;4.36319;8.61763;8.6219;;;2.98255;1.93698;2.78075
51;1;4.468;7.59843;4.43508;2.78501;2.78505;;;-2.62956;0.622199;-2.80605
52;1;4.468;1.32928;4.36756;8.53931;8.54721;;;2.63653;1.94046;2.63304
53;1;4.468;7.53923;4.43504;3.00176;3.00913;;;-2.57983;0.650546;-2.60818
54;1;4.468;1.59387;4.37585;8.36287;8.36581;;;2.41427;1.85768;2.49705
55;1;4.468;7.67346;4.44315;2.93883;2.94511;;;-2.69259;0.511384;-2.55343
56;1;4.468;1.55095;4.38531;8.30927;8.31245;;;2.45032;1.73655;2.57146
57;1;4.468;7.64459;4.44921;2.8193;2.82773;;;-2.66834;0.402376;-2.55933
58;1;4.468;1.33057;4.38924;8.338;8.34447;;;2.63544;1.7201;2.65189
59;1;4.468;7.58451;4.44953;2.75115;2.75303;;;-2.61787;0.411163;-2.62666
60;1;4.468;1.27322;4.39071;8.36055;8.36581;;;2.68362;1.75297;2.65074
61;1;4.468;7.55726;4.44828;2.77847;2.78505;;;-2.59498;0.455481;-2.6393
62;1;4.468;1.26844;4.3915;8.39667;8.39782;;;2.68763;1.7993;2.6413
