PS100;PS80;PS60;PS40;PS20
0;0;0;0.118;0.882;
0.022;0.423;0.555;0;0;
0;0;0;0;1;
0.035;0.521;0.444;0;0;
0;0;0;0;1;
0.041;0.469;0.49;0;0;
0;0;0;0;1;
0.004;0.63;0.366;0;0;
0;0;0;0;1;
0.084;0.369;0.547;0;0;
0;0;0;0;1;
0.121;0.434;0.445;0;0;
0;0;0;0;1;
0.119;0.306;0.549;0.026;0;
0;0;0;0;1;
0.051;0.454;0.495;0;0;
0;0;0;0;1;
0.119;0.281;0.593;0.007;0;
0;0;0;0;1;
0.1;0.472;0.428;0;0;
0;0;0;0;1;
0.096;0.46;0.444;0;0;
0;0;0;0;1;
0.028;0.717;0.255;0;0;
0;0;0;0;1;
0.112;0.491;0.397;0;0;
0;0;0;0;1;
0.008;0.838;0.154;0;0;
0;0;0;0;1;
0.013;0.683;0.304;0;0;
0;0;0;0;1;
0.014;0.809;0.177;0;0;
0;0;0;0;1;
0.109;0.434;0.457;0;0;
0;0;0;0;1;
0.059;0.643;0.298;0;0;
0;0;0;0;1;
0.093;0.391;0.516;0;0;
0;0;0;0;1;
0.033;0.491;0.476;0;0;
0;0;0;0;1;
0.081;0.341;0.435;0.143;0;
0;0;0;0;1;
0.009;0.464;0.527;0;0;
0;0;0;0;1;
0.117;0.372;0.34;0.171;0;
0;0;0;0;1;
0.037;0.446;0.517;0;0;
0;0;0;0;1;
0.157;0.367;0.144;0.332;0;
0;0;0;0;1;
0.056;0.29;0.654;0;0;
0;0;0;0;1;
0.083;0.347;0.428;0.142;0;
0;0;0;0;1;
0.021;0.411;0.568;0;0;
0;0;0;0;1;
0.084;0.363;0.404;0.149;0;
0;0;0;0;1;
0.019;0.452;0.529;0;0;
0;0;0;0;1;
0.095;0.35;0.41;0.145;0;
0;0;0;0;1;
0.008;0.518;0.474;0;0;
0;0;0;0;1;
0.09;0.359;0.481;0.07;0;
0;0;0;0;1;
0.005;0.571;0.424;0;0;
0;0;0;0;1;
0.048;0.429;0.523;0;0;
0;0;0;0;1;
0.022;0.479;0.499;0;0;
0;0;0;0;1;
0.036;0.325;0.639;0;0;
0;0;0;0;1;
0.058;0.366;0.576;0;0;
0;0;0;0;1;
0.073;0.354;0.433;0.14;0;
0;0;0;0;1;
0.096;0.268;0.636;0;0;
0;0;0;0;1;
0.065;0.339;0.491;0.105;0;
0;0;0;0;1;
0.042;0.36;0.598;0;0;
0;0;0;0;1;
0.108;0.349;0.425;0.118;0;
0;0;0;0;1;
0.003;0.553;0.444;0;0;
0;0;0;0;1;
0.125;0.313;0.495;0.067;0;
0;0;0;0;1;
0.022;0.587;0.391;0;0;
0;0;0;0;1;
0.132;0.303;0.559;0.006;0;
0;0;0;0;1;
0.088;0.544;0.368;0;0;
0;0;0;0;1;
0.132;0.406;0.462;0;0;
0;0;0;0;1;
0.048;0.69;0.262;0;0;
0;0;0;0;1;
0.083;0.531;0.386;0;0;
0;0;0;0;1;
0.078;0.648;0.274;0;0;
0;0;0;0;1;
0.125;0.475;0.4;0;0;
0;0;0;0;1;
0.013;0.764;0.223;0;0;
0;0;0;0;1;
0.132;0.387;0.481;0;0;
0;0;0;0;1;
0.096;0.56;0.344;0;0;
0;0;0;0;1;
0.146;0.35;0.474;0.03;0;
0;0;0;0;1;
0.053;0.545;0.402;0;0;
0;0;0;0;1;
0.065;0.395;0.54;0;0;
0;0;0;0;1;
0.004;0.636;0.36;0;0;
