POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;23.802;26.8729;26.8729;21.7138;21.7159;;;-2.57957;-1.28979;-1.28979
8;1;23.802;32.224;29.5484;18.0751;18.0838;;;-7.07444;-4.82701;-2.24743
9;1;23.802;24.3709;27.8226;22.1254;22.1379;;;-0.47784;-5.06593;3.2983
10;1;23.802;26.8222;27.5725;16.9213;16.9328;;;-2.53694;-6.3344;-1.02955
11;1;23.802;24.8315;27.0243;18.036;18.0454;;;-0.864746;-6.76677;0.836098
12;1;23.802;31.6931;27.8024;12.1016;12.2775;;;-6.62855;-10.081;-2.8819
13;1;23.802;16.4973;26.1874;22.0024;22.01;;;6.13591;-7.01309;6.38223
14;1;23.802;25.6834;26.1244;12.4416;12.4438;;;-1.58035;-7.80327;-3.85813
15;1;23.802;16.4737;25.0521;21.7721;21.7798;;;6.15574;-4.7254;3.86804
16;1;23.802;32.6014;25.807;10.0151;12.2775;;;-7.39149;-8.42114;-6.77361
17;1;23.802;15.9925;24.9148;24.3871;24.3888;;;6.56;-5.14114;6.97575
18;1;23.802;25.7931;24.988;14.0269;14.0296;;;-1.67252;-5.9774;-4.11626
19;1;23.802;19.074;24.5331;21.8759;21.8822;;;3.97156;-3.99162;2.82204
20;1;23.802;32.3388;25.0906;12.0196;12.2775;;;-7.17091;-7.57708;-5.57124
21;1;23.802;15.9964;24.4843;25.1182;25.1306;;;6.55669;-4.29873;6.8638
22;1;23.802;26.8629;24.633;14.1435;14.1447;;;-2.57116;-5.58431;-4.56392
23;1;23.802;19.4235;24.3266;22.4806;22.4832;;;3.67792;-3.74535;3.12454
24;1;23.802;32.981;24.8074;11.976;12.2775;;;-7.71037;-7.60054;-5.69414
25;1;23.802;16.3987;24.3648;25.0909;25.0922;;;6.21878;-4.49115;6.96457
26;1;23.802;27.218;24.5075;13.8786;13.889;;;-2.8694;-5.92585;-4.54409
27;1;23.802;19.6032;24.2739;22.166;22.1763;;;3.527;-4.16235;3.1982
28;1;23.802;34.4269;24.7354;10.6512;12.2775;;;-8.9249;-8.6248;-6.22595
29;1;23.802;17.0192;24.3999;24.252;24.2609;;;5.69756;-5.77602;7.31123
