PS100;PS80;PS60;PS40;PS20
0;0.339583;0.660417;0;0;
0.03125;0.09375;0.595833;0.279167;0;
0.0208333;0.397917;0.58125;0;0;
0.0104167;0.0104167;0.483333;0.495833;0;
0.0104167;0.0291667;0.88125;0.0791667;0;
0;0;0;1;0;
0.0395833;0.354167;0.60625;0;0;
0;0;0;1;0;
0.0458333;0.279167;0.675;0;0;
0;0;0;1;0;
0.0125;0.629167;0.358333;0;0;
0;0;0;1;0;
0.0166667;0.477083;0.50625;0;0;
0;0;0;1;0;
0.0229167;0.74375;0.233333;0;0;
0.0166667;0.00625;0.0729167;0.904167;0;
0.0166667;0.49375;0.489583;0;0;
0;0;0;1;0;
0.0229167;0.814583;0.1625;0;0;
0.0104167;0.0104167;0.104167;0.875;0;
0.00833333;0.491667;0.5;0;0;
0;0;0;1;0;
0.0145833;0.766667;0.21875;0;0;
0;0;0.0291667;0.970833;0;
0.0208333;0.454167;0.525;0;0;
0;0;0;1;0;
0.03125;0.645833;0.322917;0;0;
0;0;0;1;0;
0.0229167;0.36875;0.608333;0;0;
0;0;0;1;0;
0.0208333;0.49375;0.485417;0;0;
0;0;0;1;0;
0.0166667;0.125;0.858333;0;0;
0;0;0;1;0;
0.0333333;0.15625;0.810417;0;0;
0;0;0;1;0;
0.0375;0.110417;0.439583;0.4125;0;
0;0;0;1;0;
0.0333333;0.102083;0.45;0.414583;0;
0;0;0;1;0;
0.0208333;0.108333;0.2375;0.633333;0;
0;0;0;1;0;
0.0291667;0.1;0.45;0.420833;0;
0;0;0;1;0;
0.025;0.108333;0.408333;0.458333;0;
0;0;0;1;0;
0.0625;0.116667;0.55;0.270833;0;
0;0;0;1;0;
0.0291667;0.1;0.545833;0.325;0;
0;0;0;1;0;
0.0229167;0.10625;0.697917;0.172917;0;
0;0;0;1;0;
0.0416667;0.139583;0.3125;0.50625;0;
0;0;0;1;0;
0.01875;0.104167;0.56875;0.308333;0;
0;0;0;1;0;
0.04375;0.135417;0.252083;0.56875;0;
0;0;0;1;0;
0.0229167;0.102083;0.589583;0.285417;0;
0;0;0;1;0;
0.01875;0.1;0.53125;0.35;0;
0;0;0;1;0;
0.04375;0.145833;0.552083;0.258333;0;
0;0;0;1;0;
0.0708333;0.129167;0.254167;0.545833;0;
0;0;0;1;0;
0.01875;0.1125;0.56875;0.3;0;
0;0;0;1;0;
0.0541667;0.122917;0.308333;0.514583;0;
0;0;0;1;0;
0.0333333;0.125;0.5625;0.279167;0;
0;0;0;1;0;
0.05;0.13125;0.395833;0.422917;0;
0;0;0;1;0;
0.0604167;0.129167;0.5125;0.297917;0;
0;0;0;1;0;
0.0625;0.133333;0.2375;0.566667;0;
0;0;0;1;0;
0.0604167;0.102083;0.45;0.3875;0;
0;0;0;1;0;
0.04375;0.104167;0.414583;0.4375;0;
0;0;0;1;0;
0.0375;0.0916667;0.69375;0.177083;0;
0;0;0;1;0;
0.0229167;0.075;0.68125;0.220833;0;
0;0;0;1;0;
0.03125;0.110417;0.683333;0.175;0;
0;0;0;1;0;
0.04375;0.122917;0.352083;0.48125;0;
0;0;0;1;0;
0.0583333;0.120833;0.385417;0.435417;0;
0;0;0;1;0;
0.0479167;0.120833;0.297917;0.533333;0;
0;0;0;1;0;
0.0625;0.110417;0.49375;0.333333;0;
0;0;0;1;0;
0.06875;0.11875;0.397917;0.414583;0;
0;0;0;1;0;
0.0458333;0.122917;0.579167;0.252083;0;
0;0;0;1;0;
0.08125;0.1125;0.270833;0.535417;0;
0;0;0;1;0;
0.04375;0.125;0.470833;0.360417;0;
0;0;0;1;0;
0.05625;0.1125;0.347917;0.483333;0;
0;0;0;1;0;
0.03125;0.0895833;0.735417;0.14375;0;
0;0;0;1;0;
0.0395833;0.0833333;0.708333;0.16875;0;
0;0;0;1;0;
0.0541667;0.1;0.8;0.0458333;0;
0;0;0;1;0;
0.04375;0.120833;0.635417;0.2;0;
0;0;0;1;0;
0.0520833;0.110417;0.76875;0.06875;0;
0;0;0;1;0;
0.0395833;0.1125;0.61875;0.229167;0;
0;0;0;1;0;
0.0416667;0.135417;0.702083;0.120833;0;
0;0;0;1;0;
