PS100;PS80;PS60;PS40;PS20
0;0.734375;0.265625;0;0;
0.0364583;0.302083;0.40625;0.255208;0;
0.03125;0.713542;0.255208;0;0;
0.0260417;0.0260417;0.734375;0.213542;0;
0.0260417;0.177083;0.796875;0;0;
0;0;0.104167;0.895833;0;
0.015625;0.598958;0.385417;0;0;
0;0;0.197917;0.802083;0;
0.0260417;0.359375;0.614583;0;0;
0;0;0;1;0;
0.0260417;0.828125;0.145833;0;0;
0.015625;0.0104167;0.182292;0.791667;0;
0.015625;0.609375;0.375;0;0;
0;0;0.0416667;0.958333;0;
0.00520833;0.963542;0.03125;0;0;
0.00520833;0.0104167;0.5625;0.421875;0;
0.0104167;0.473958;0.515625;0;0;
0;0.00520833;0.286458;0.708333;0;
0.0208333;0.765625;0.213542;0;0;
0.015625;0.00520833;0.5;0.479167;0;
0.015625;0.34375;0.640625;0;0;
0;0;0.197917;0.802083;0;
0.03125;0.614583;0.354167;0;0;
0;0;0.03125;0.96875;0;
0.0260417;0.697917;0.276042;0;0;
0;0;0;1;0;
0.015625;0.786458;0.197917;0;0;
0.015625;0;0.182292;0.802083;0;
0.015625;0.369792;0.614583;0;0;
0;0;0;1;0;
0.0208333;0.885417;0.09375;0;0;
0.0104167;0.015625;0.25;0.723958;0;
0.0260417;0.494792;0.479167;0;0;
0;0;0;1;0;
0.0208333;0.880208;0.0989583;0;0;
0;0;0.229167;0.770833;0;
0.0260417;0.40625;0.567708;0;0;
0;0;0;1;0;
0.109375;0.59375;0.296875;0;0;
0;0;0;1;0;
0.046875;0.489583;0.463542;0;0;
0;0;0;1;0;
0.0260417;0.567708;0.40625;0;0;
0;0;0;1;0;
0.0364583;0.354167;0.609375;0;0;
0;0;0;1;0;
0.0208333;0.359375;0.619792;0;0;
0;0;0;1;0;
0.0364583;0.239583;0.567708;0.15625;0;
0;0;0;1;0;
0.0520833;0.265625;0.505208;0.177083;0;
0;0;0;1;0;
0.078125;0.307292;0.203125;0.411458;0;
0;0;0;1;0;
0.03125;0.229167;0.604167;0.135417;0;
0;0;0;1;0;
0.03125;0.130208;0.692708;0.145833;0;
0;0;0;1;0;
0.015625;0.130208;0.854167;0;0;
0;0;0;1;0;
0.03125;0.0833333;0.713542;0.171875;0;
0;0;0;1;0;
0.0208333;0.0677083;0.734375;0.177083;0;
0;0;0;1;0;
0.0208333;0.0677083;0.520833;0.390625;0;
0;0;0;1;0;
0.015625;0.0729167;0.708333;0.203125;0;
0;0;0;1;0;
0.0104167;0.119792;0.604167;0.265625;0;
0;0;0;1;0;
0.0208333;0.0885417;0.697917;0.192708;0;
0;0;0;1;0;
0;0.0416667;0.53125;0.427083;0;
0;0;0;1;0;
0;0.135417;0.416667;0.447917;0;
0;0;0;1;0;
0.0208333;0.0677083;0.53125;0.380208;0;
0;0;0;1;0;
0.046875;0.244792;0.40625;0.302083;0;
0;0;0;1;0;
0.03125;0.307292;0.276042;0.385417;0;
0;0;0;1;0;
0.03125;0.270833;0.515625;0.182292;0;
0;0;0;1;0;
0.0260417;0.276042;0.494792;0.203125;0;
0;0;0;1;0;
0.015625;0.197917;0.786458;0;0;
0;0;0;1;0;
0.0104167;0.119792;0.859375;0.0104167;0;
0;0;0;1;0;
0.0208333;0.364583;0.614583;0;0;
0;0;0;1;0;
0.0364583;0.0989583;0.864583;0;0;
0;0;0;1;0;
0.0260417;0.390625;0.583333;0;0;
0;0;0;1;0;
0.0364583;0.208333;0.588542;0.166667;0;
0;0;0;1;0;
0.0364583;0.213542;0.604167;0.145833;0;
0;0;0;1;0;
0.0104167;0.255208;0.359375;0.375;0;
0;0;0;1;0;
0.0364583;0.229167;0.401042;0.333333;0;
0;0;0;1;0;
0.0208333;0.145833;0.46875;0.364583;0;
0;0;0;1;0;
0.0208333;0.078125;0.713542;0.1875;0;
0;0;0;1;0;
0.0208333;0.171875;0.5;0.307292;0;
0;0;0;1;0;
0.0416667;0.1875;0.46875;0.302083;0;
0;0;0;1;0;
0.0260417;0.192708;0.416667;0.364583;0;
0;0;0;1;0;
0.03125;0.09375;0.760417;0.114583;0;
0;0;0;1;0;
0.0416667;0.0833333;0.651042;0.223958;0;
0;0;0;1;0;
0.0416667;0.130208;0.489583;0.338542;0;
0;0;0;1;0;
