POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;5.934;8.00677;8.00677;4.52452;4.52629;;;-1.74113;-0.870564;-0.870564
8;1;5.934;6.95028;7.47852;5.24293;5.24953;;;-0.853674;-1.2974;0.443727
9;1;5.934;7.11752;7.35819;4.25864;4.26626;;;-0.994158;-1.79448;-0.0702421
10;1;5.934;5.76199;6.95914;4.75357;4.75383;;;0.144491;-1.72223;0.569324
11;1;5.934;6.43009;6.85333;3.80218;3.80306;;;-0.416715;-1.93059;-0.280603
12;1;5.934;5.86464;6.68855;4.25893;4.26626;;;0.0582632;-1.90146;0.237489
13;1;5.934;5.62993;6.53732;4.21017;4.2175;;;0.255415;-1.77375;0.0985757
14;1;5.934;5.52192;6.41039;4.31275;4.31501;;;0.346146;-1.60068;0.0453655
15;1;5.934;5.7558;6.33766;4.28142;4.28251;;;0.149688;-1.52584;-0.0982288
16;1;5.934;6.32524;6.33642;4.06728;4.07123;;;-0.328641;-1.69016;-0.239164
17;1;5.934;5.23779;6.23654;4.88159;4.88385;;;0.58482;-1.39775;0.45673
18;1;5.934;6.80074;6.28356;3.65446;3.65679;;;-0.728065;-1.76178;-0.656442
19;1;5.934;4.53651;6.14917;5.48655;5.49331;;;1.1739;-1.17483;0.95098
20;1;5.934;8.57051;6.32212;2.37939;3.57553;;;-2.21467;-2.28217;-1.69428
21;1;5.934;4.37655;6.19242;5.81824;5.81836;;;1.30826;-1.62804;1.76146
22;1;5.934;7.79448;6.29255;2.38671;3.57553;;;-1.5628;-2.40944;-1.43553
23;1;5.934;4.38576;6.18038;5.35877;5.36329;;;1.30052;-1.75918;1.43166
24;1;5.934;8.7071;6.32076;1.63885;3.57553;;;-2.3294;-2.92388;-1.81496
25;1;5.934;4.37923;6.21857;5.23207;5.23327;;;1.30601;-2.27087;1.81771
26;1;5.934;7.45981;6.28063;1.97257;3.57553;;;-1.28168;-2.91171;-1.29384
27;1;5.934;4.39949;6.19105;4.70659;4.7132;;;1.28899;-2.26722;1.28533
28;1;5.934;7.44155;6.24789;1.99715;3.57553;;;-1.26634;-2.90039;-1.27767
29;1;5.934;4.36795;6.16616;4.7317;4.73758;;;1.31549;-2.24265;1.29091
30;1;5.934;6.39362;6.17564;2.72107;3.57553;;;-0.386079;-2.43568;-0.850782
31;1;5.934;4.33281;6.10192;4.78017;4.78633;;;1.345;-1.76318;0.865541
32;1;5.934;7.40364;6.15199;2.49896;3.57553;;;-1.2345;-2.38043;-1.28975
33;1;5.934;4.32367;6.08427;5.26584;5.2739;;;1.35268;-1.70409;1.29359
34;1;5.934;7.36861;6.13014;2.57803;3.57553;;;-1.20507;-2.30663;-1.27887
35;1;5.934;4.39518;6.07032;5.2763;5.28203;;;1.29261;-1.66032;1.24884
36;1;5.934;8.32851;6.14559;1.9991;3.57553;;;-2.01139;-2.66602;-1.652
37;1;5.934;4.37712;6.08854;5.33236;5.33891;;;1.30778;-2.01213;1.65959
38;1;5.934;7.63328;6.13681;2.11247;3.57553;;;-1.42739;-2.72583;-1.36759
39;1;5.934;4.52333;6.08792;4.88113;4.88385;;;1.18496;-2.13334;1.30618
40;1;5.934;7.79945;6.13826;1.93967;3.57553;;;-1.56697;-2.91683;-1.37597
41;1;5.934;4.50534;6.09161;4.77214;4.77821;;;1.20007;-2.3168;1.38352
42;1;5.934;6.85803;6.11289;2.38883;3.57553;;;-0.776183;-2.70489;-0.988127
43;1;5.934;4.60296;6.07209;4.52231;4.52629;;;1.11807;-2.14585;0.947129
44;1;5.934;7.27763;6.10381;2.31545;3.57553;;;-1.12865;-2.71017;-1.12336
45;1;5.934;4.58526;6.06487;4.70529;4.7132;;;1.13294;-2.1437;1.13079
46;1;5.934;6.82044;6.08376;2.62105;3.57553;;;-0.744608;-2.51601;-0.938773
47;1;5.934;4.64242;6.04861;4.66857;4.67257;;;1.08493;-1.97354;0.914768
48;1;5.934;7.50322;6.08324;2.35092;3.57553;;;-1.31814;-2.63262;-1.20154
49;1;5.934;4.55677;6.04774;4.89697;4.9001;;;1.15687;-2.05418;1.23751
50;1;5.934;6.9226;6.06763;2.62913;3.57553;;;-0.830427;-2.4694;-0.993649
51;1;5.934;4.59323;6.03486;4.79154;4.79446;;;1.12625;-1.90627;0.978337
52;1;5.934;7.49443;6.06659;2.40351;3.57553;;;-1.31076;-2.56165;-1.2185
53;1;5.934;4.61356;6.03568;4.92563;4.9326;;;1.10917;-2.00707;1.20996
54;1;5.934;7.01262;6.05603;2.63889;3.57553;;;-0.90604;-2.46009;-1.0076
55;1;5.934;4.52243;6.02473;4.88679;4.89197;;;1.18571;-1.86723;1.04588
56;1;5.934;7.77846;6.05981;2.21967;3.57553;;;-1.54935;-2.64191;-1.36753
57;1;5.934;4.59106;6.03101;4.97997;4.98136;;;1.12807;-2.07787;1.33871
58;1;5.934;7.11343;6.05182;2.49008;3.57553;;;-0.990719;-2.57323;-1.05939
59;1;5.934;4.49349;6.02242;4.83568;4.84322;;;1.21003;-1.96822;1.10037
60;1;5.934;7.72969;6.05404;2.1397;3.57553;;;-1.50838;-2.72241;-1.35921
61;1;5.934;4.48754;6.02555;4.94937;4.95698;;;1.21502;-2.1149;1.3617
62;1;5.934;6.99637;6.04289;2.48918;3.57553;;;-0.892393;-2.56109;-1.05371
63;1;5.934;4.50664;6.01594;4.78971;4.79446;;;1.19898;-1.9616;1.04569
64;1;5.934;7.76931;6.04617;2.12489;3.57553;;;-1.54166;-2.73243;-1.37032
65;1;5.934;4.46187;6.01932;4.97345;4.98136;;;1.23659;-2.11414;1.38912
66;1;5.934;7.05679;6.03661;2.43807;3.57553;;;-0.94314;-2.58571;-1.08986
67;1;5.934;4.4032;6.00983;4.86081;4.86759;;;1.28587;-1.94277;1.11451
68;1;5.934;7.72326;6.03747;2.13159;3.57553;;;-1.50298;-2.69426;-1.39443
69;1;5.934;4.41603;6.01173;5.02344;5.03012;;;1.27509;-2.05672;1.38903
70;1;5.934;7.15925;6.02966;2.40657;3.57553;;;-1.02921;-2.57132;-1.15215
71;1;5.934;4.59005;6.00751;4.79117;4.79446;;;1.12892;-2.00686;1.07906
72;1;5.934;7.68915;6.03299;2.16918;3.57553;;;-1.47433;-2.74402;-1.30162
73;1;5.934;4.57807;6.01128;4.84917;4.85134;;;1.13898;-2.17453;1.30665
74;1;5.934;6.7454;6.02207;2.63822;3.57553;;;-0.681579;-2.51532;-0.910279
75;1;5.934;4.39417;5.99848;4.80655;4.81071;;;1.29346;-1.86859;0.987519
76;1;5.934;7.58262;6.02111;2.29761;3.57553;;;-1.38484;-2.56101;-1.33915
77;1;5.934;4.42016;5.99856;5.09482;5.09513;;;1.27162;-1.9252;1.32823
78;1;5.934;7.18084;6.01498;2.52514;3.57553;;;-1.04734;-2.44887;-1.15948
79;1;5.934;4.42794;5.99324;5.03292;5.03824;;;1.26509;-1.81633;1.15621
80;1;5.934;7.86175;6.01849;2.17426;3.57553;;;-1.61931;-2.62598;-1.4422
81;1;5.934;4.4487;5.99756;5.12767;5.13576;;;1.24765;-2.00216;1.43348
82;1;5.934;7.3585;6.01547;2.33936;3.57553;;;-1.19658;-2.60045;-1.22212
83;1;5.934;4.55128;5.99645;4.87209;4.87572;;;1.16148;-2.01971;1.17903
84;1;5.934;7.87849;6.02058;2.0113;3.57553;;;-1.63337;-2.83639;-1.39743
85;1;5.934;4.60431;6.00265;4.81848;4.81884;;;1.11694;-2.27792;1.37516
86;1;5.934;6.97555;6.01481;2.38935;3.57553;;;-0.874904;-2.71538;-0.995922
87;1;5.934;4.59051;5.99723;4.56965;4.57505;;;1.12853;-2.15111;1.00172
88;1;5.934;7.22946;6.01226;2.33771;3.57553;;;-1.08818;-2.6952;-1.10836
89;1;5.934;4.58928;5.99511;4.6973;4.70507;;;1.12957;-2.13042;1.10888
90;1;5.934;6.67922;6.00326;2.73205;3.57553;;;-0.625981;-2.44341;-0.877774
91;1;5.934;4.64122;5.98723;4.68267;4.68882;;;1.08594;-1.90044;0.855958
92;1;5.934;7.58857;6.00585;2.36548;3.57553;;;-1.38984;-2.59536;-1.23789
93;1;5.934;4.63581;5.99011;4.91633;4.91635;;;1.09048;-2.05012;1.24016
94;1;5.934;7.11235;6.00286;2.53736;3.57553;;;-0.989813;-2.54503;-1.04015
95;1;5.934;4.65913;5.98776;4.75079;4.75383;;;1.07089;-2.00958;1.03035
96;1;5.934;7.79519;6.00784;2.12336;3.57553;;;-1.5634;-2.79128;-1.31714
97;1;5.934;4.68173;5.99327;4.77596;4.77821;;;1.05191;-2.26533;1.30765
98;1;5.934;6.83532;6.00242;2.52982;3.57553;;;-0.757109;-2.64388;-0.904509
99;1;5.934;4.64154;5.98779;4.54754;4.55067;;;1.08566;-2.10105;0.921387
100;1;5.934;7.33071;6.00208;2.34036;3.57553;;;-1.17323;-2.68767;-1.12945
101;1;5.934;4.59632;5.98728;4.74257;4.7457;;;1.12365;-2.12584;1.14844
102;1;5.934;6.68949;5.99459;2.7326;3.57553;;;-0.63461;-2.44314;-0.879132
103;1;5.934;4.5576;5.97978;4.74411;4.7457;;;1.15618;-1.86506;0.895393
104;1;5.934;7.68087;5.99714;2.30299;3.57553;;;-1.46737;-2.59874;-1.31177
105;1;5.934;4.50603;5.98208;5.03996;5.04637;;;1.1995;-1.99899;1.33343
106;1;5.934;7.0483;5.99274;2.57754;3.57553;;;-0.936012;-2.467;-1.06775
107;1;5.934;4.42795;5.97725;4.95912;4.96511;;;1.26508;-1.83446;1.10055
108;1;5.934;7.82278;5.99534;2.18263;3.57553;;;-1.58657;-2.62774;-1.42583
109;1;5.934;4.44316;5.98027;5.11331;5.11951;;;1.2523;-2.00159;1.41944
110;1;5.934;7.31322;5.99309;2.36839;3.57553;;;-1.15855;-2.58086;-1.20542
111;1;5.934;4.45351;5.97842;4.93914;4.94073;;;1.24361;-1.95906;1.20108
112;1;5.934;7.68622;5.99453;2.16163;3.57553;;;-1.47186;-2.69499;-1.35774
113;1;5.934;4.57419;5.98126;4.89961;4.9001;;;1.14224;-2.12387;1.30705
114;1;5.934;6.91594;5.98991;2.5713;3.57553;;;-0.824825;-2.53628;-0.983532
115;1;5.934;4.54023;5.97661;4.75789;4.76195;;;1.17077;-1.9509;0.997796
116;1;5.934;7.44132;5.98993;2.37274;3.57553;;;-1.26615;-2.58397;-1.21846
117;1;5.934;4.48677;5.97639;4.96722;4.97324;;;1.21567;-1.97614;1.24091
118;1;5.934;7.08235;5.98626;2.56915;3.57553;;;-0.964612;-2.45844;-1.09014
119;1;5.934;4.51756;5.97327;4.92104;4.92448;;;1.18981;-1.86354;1.07721
120;1;5.934;7.79638;5.98926;2.20914;3.57553;;;-1.5644;-2.64574;-1.3771
121;1;5.934;4.50813;5.97638;5.04005;5.04637;;;1.19773;-2.04687;1.38106
122;1;5.934;7.1658;5.98663;2.45064;3.57553;;;-1.03471;-2.56423;-1.11622
123;1;5.934;4.42518;5.97329;4.91313;4.91635;;;1.26741;-1.93052;1.15106
124;1;5.934;7.49115;5.98615;2.31091;3.57553;;;-1.308;-2.58452;-1.28771
125;1;5.934;4.34582;5.97237;5.08344;5.087;;;1.33407;-1.91749;1.32104
126;1;5.934;6.83584;5.97956;2.73622;3.57553;;;-0.757546;-2.29626;-1.04581
127
