PS100;PS80;PS60;PS40;PS20
0;0.3125;0.6875;0;0;
0;0.0375;0.55625;0.40625;0;
0.01875;0.625;0.35625;0;0;
0.0145833;0.00416667;0.425;0.55625;0;
0.0145833;0.0645833;0.920833;0;0;
0;0;0;1;0;
0.0291667;0.433333;0.5375;0;0;
0;0;0;1;0;
0.0208333;0.110417;0.83125;0.0375;0;
0;0;0;1;0;
0.0291667;0.183333;0.7875;0;0;
0;0;0;1;0;
0.025;0.139583;0.460417;0.375;0;
0;0;0;1;0;
0.0104167;0.127083;0.691667;0.170833;0;
0;0;0;1;0;
0.03125;0.129167;0.485417;0.354167;0;
0;0;0;1;0;
0.03125;0.09375;0.81875;0.05625;0;
0;0;0;1;0;
0.0125;0.141667;0.59375;0.252083;0;
0;0;0;1;0;
0.0104167;0.0770833;0.83125;0.08125;0;
0;0;0;1;0;
0.05;0.14375;0.3625;0.44375;0;
0;0;0;1;0;
0.0333333;0.129167;0.572917;0.264583;0;
0;0;0;1;0;
0.025;0.172917;0.329167;0.472917;0;
0;0;0;1;0;
0.0291667;0.139583;0.6;0.23125;0;
0;0;0;1;0;
0.0270833;0.172917;0.391667;0.408333;0;
0;0;0;1;0;
0.0520833;0.154167;0.591667;0.202083;0;
0;0;0;1;0;
0.03125;0.147917;0.54375;0.277083;0;
0;0;0;1;0;
0.0291667;0.152083;0.81875;0;0;
0;0;0;1;0;
0.0333333;0.154167;0.585417;0.227083;0;
0;0;0;1;0;
0.0416667;0.11875;0.789583;0.05;0;
0;0;0;1;0;
0.00625;0.0854167;0.66875;0.239583;0;
0;0;0;1;0;
0.025;0.158333;0.525;0.291667;0;
0;0;0;1;0;
0;0.1625;0.31875;0.51875;0;
0;0;0;1;0;
0.0145833;0.102083;0.629167;0.254167;0;
0;0;0;1;0;
0.0145833;0.116667;0.583333;0.285417;0;
0;0;0;1;0;
0.03125;0.141667;0.658333;0.16875;0;
0;0;0;1;0;
0.0208333;0.108333;0.495833;0.375;0;
0;0;0;1;0;
0.0145833;0.0833333;0.710417;0.191667;0;
0;0;0;1;0;
0.0416667;0.120833;0.397917;0.439583;0;
0;0;0;1;0;
0.025;0.139583;0.714583;0.120833;0;
0;0;0;1;0;
0.025;0.11875;0.66875;0.1875;0;
0;0;0;1;0;
0.0416667;0.114583;0.84375;0;0;
0;0;0;1;0;
0.0354167;0.116667;0.5875;0.260417;0;
0;0;0;1;0;
0.025;0.129167;0.664583;0.18125;0;
0;0;0;1;0;
0.0270833;0.10625;0.472917;0.39375;0;
0;0;0;1;0;
0.01875;0.122917;0.622917;0.235417;0;
0;0;0;1;0;
0.0229167;0.129167;0.445833;0.402083;0;
0;0;0;1;0;
0.0354167;0.127083;0.575;0.2625;0;
0;0;0;1;0;
0.025;0.1125;0.539583;0.322917;0;
0;0;0;1;0;
0.0375;0.13125;0.664583;0.166667;0;
0;0;0;1;0;
0.0104167;0.09375;0.68125;0.214583;0;
0;0;0;1;0;
0.0333333;0.102083;0.802083;0.0625;0;
0;0;0;1;0;
0.0229167;0.108333;0.635417;0.233333;0;
0;0;0;1;0;
0.025;0.108333;0.789583;0.0770833;0;
0;0;0;1;0;
0.0104167;0.0895833;0.720833;0.179167;0;
0;0;0;1;0;
0.0270833;0.0791667;0.889583;0.00416667;0;
0;0;0;1;0;
0.03125;0.114583;0.645833;0.208333;0;
0;0;0;1;0;
0.01875;0.06875;0.9125;0;0;
0;0;0;1;0;
0.0166667;0.0958333;0.689583;0.197917;0;
0;0;0;1;0;
0.0270833;0.108333;0.720833;0.14375;0;
0;0;0;1;0;
0.03125;0.116667;0.458333;0.39375;0;
0;0;0;1;0;
0.03125;0.0895833;0.727083;0.152083;0;
0;0;0;1;0;
0.05;0.129167;0.489583;0.33125;0;
0;0;0;1;0;
0.0416667;0.120833;0.795833;0.0416667;0;
0;0;0;1;0;
0.0145833;0.1375;0.683333;0.164583;0;
0;0;0;1;0;
0.0166667;0.139583;0.84375;0;0;
0;0;0;1;0;
0.0145833;0.0833333;0.704167;0.197917;0;
0;0;0;1;0;
0.025;0.0791667;0.841667;0.0541667;0;
0;0;0;1;0;
