POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;6.248;4.31652;4.31652;7.5614;5.1192;;;1.62244;0.81122;0.81122
8;1;6.248;8.42258;6.36955;4.76929;4.77042;;;-1.82664;-0.102102;-1.72454
9;1;6.248;5.24502;5.99471;7.74125;5.1192;;;0.842507;0.319151;1.33458
10;1;6.248;6.26879;6.06323;6.13176;5.1192;;;-0.0174644;0.310419;-0.429986
11;1;6.248;5.90494;6.03157;6.80043;5.1192;;;0.28817;0.454504;0.152817
12;1;6.248;9.15341;6.55188;4.58274;4.5904;;;-2.44054;-0.765768;-1.36436
13;1;6.248;5.41497;6.38946;7.26896;5.1192;;;0.699745;-0.415895;1.57014
14;1;6.248;6.26805;6.37428;5.4686;5.1192;;;-0.0168412;-0.424316;-0.358293
15;1;6.248;6.07073;6.34056;5.95265;5.1192;;;0.148905;-0.349863;0.0828731
16;1;6.248;9.17737;6.62424;3.83171;3.83659;;;-2.46067;-1.5802;-1.30479
17;1;6.248;4.90462;6.46791;6.81164;5.1192;;;1.12844;-1.01598;1.79455
18;1;6.248;6.38422;6.46094;4.57517;4.57915;;;-0.114427;-1.07319;-0.621433
19;1;6.248;5.64801;6.3984;5.64002;5.1192;;;0.503994;-0.821195;0.309211
20;1;6.248;9.35277;6.60943;3.06356;3.07152;;;-2.60801;-2.1252;-1.556
21;1;6.248;4.23555;6.45117;6.79527;5.1192;;;1.69046;-1.27997;2.14924
22;1;6.248;6.57417;6.45886;3.901;3.90409;;;-0.273983;-1.41696;-0.982222
23;1;6.248;5.05703;6.3764;5.77789;5.1192;;;1.00042;-0.916752;0.6372
24;1;6.248;9.42537;6.54578;2.67043;2.67774;;;-2.66899;-2.25125;-1.8347
25;1;6.248;4.23502;6.42416;6.70008;5.1192;;;1.6909;-1.4058;2.17995
26;1;6.248;7.23524;6.46472;3.32543;3.33029;;;-0.829282;-1.82044;-1.26009
27;1;6.248;5.0874;6.39913;5.63141;5.1192;;;0.974905;-1.33298;0.902093
28;1;6.248;9.99437;6.56255;1.88003;2.04768;;;-3.14695;-2.90646;-2.06093
29;1;6.248;3.18257;6.4156;6.99951;5.1192;;;2.57496;-1.61898;2.86096
30;1;6.248;7.61602;6.46561;2.41129;2.41896;;;-1.14914;-2.19355;-1.86205
31;1;6.248;4.16824;6.37372;6.04326;5.1192;;;1.74699;-1.32005;1.44807
32;1;6.248;10.3477;6.52657;1.26664;2.04768;;;-3.44377;-3.04194;-2.59538
33;1;6.248;3.28362;6.40646;6.94373;5.1192;;;2.49008;-1.7969;2.96692
34;1;6.248;7.92636;6.46074;2.06478;2.07018;;;-1.40982;-2.50181;-1.94995
35;1;6.248;3.4441;6.35672;6.35775;5.1192;;;2.35528;-1.32417;1.88255
36;1;6.248;10.371;6.49053;0.942576;2.04768;;;-3.46329;-3.05582;-2.90928
37;1;6.248;3.48115;6.39345;6.80529;5.1192;;;2.32415;-1.89374;2.89372
38;1;6.248;7.70291;6.43437;2.20284;2.20519;;;-1.22213;-2.5048;-1.77314
39;1;6.248;3.83448;6.35558;5.99545;5.1192;;;2.02736;-1.49113;1.62474
40;1;6.248;10.9953;6.49205;0.515005;2.04768;;;-3.98777;-3.48501;-3.00756
41;1;6.248;3.56515;6.40842;6.58121;5.1192;;;2.25359;-2.35821;3.12068
42;1;6.248;8.15168;6.45685;1.46849;2.04768;;;-1.59909;-3.15776;-1.92634
43;1;6.248;3.61775;6.38011;5.67836;5.1192;;;2.20941;-2.05305;1.90425
44;1;6.248;10.9859;6.50132;-0.131501;2.04768;;;-3.9798;-4.04295;-3.0946
45;1;6.248;3.54793;6.42559;6.03099;5.1192;;;2.26806;-2.90892;3.12393
46;1;6.248;8.14399;6.46855;0.915771;2.04768;;;-1.59263;-3.70524;-1.93035
47;1;6.248;3.59389;6.39844;5.14387;5.1192;;;2.22946;-2.59051;1.91105
48;1;6.248;11.0894;6.51013;-0.749423;2.04768;;;-4.06681;-4.62392;-3.14813
49;1;6.248;3.5604;6.44153;5.48506;5.1192;;;2.25759;-3.49513;3.1622
50;1;6.248;7.88253;6.47428;0.5126;2.04768;;;-1.37301;-4.18163;-1.8153
51;1;6.248;3.59633;6.41032;4.55601;4.55665;;;2.2274;-3.06793;1.8002
52;1;6.248;9.67592;6.48132;-0.264617;2.04768;;;-2.87946;-4.50766;-2.55343
53;1;6.248;3.69338;6.422;4.91721;4.92793;;;2.14588;-3.43472;2.51267
54;1;6.248;7.87654;6.4523;0.632933;2.04768;;;-1.36798;-4.11871;-1.75693
55;1;6.248;3.65763;6.39527;4.57473;4.57915;;;2.17591;-3.03075;1.77194
56;1;6.248;9.28453;6.45305;0.0644523;2.04768;;;-2.55069;-4.3061;-2.3633
57;1;6.248;3.64231;6.39794;4.98912;4.99544;;;2.18878;-3.2117;2.36974
58;1;6.248;7.94885;6.42776;0.785325;2.04768;;;-1.42872;-3.92606;-1.80875
59;1;6.248;3.66249;6.37559;4.79444;4.80417;;;2.17183;-2.84015;1.80027
60;1;6.248;9.99832;6.44268;-0.228277;2.04768;;;-3.15027;-4.41528;-2.66105
61;1;6.248;3.63804;6.39168;5.18262;5.1192;;;2.19236;-3.3191;2.67131
62;1;6.248;8.0975;6.42214;0.575058;2.04768;;;-1.55358;-4.09589;-1.87297
63;1;6.248;3.63754;6.37329;4.70401;4.71416;;;2.19279;-2.9995;1.87318
64;1;6.248;9.78495;6.43211;-0.253013;2.04768;;;-2.97103;-4.48501;-2.58191
65;1;6.248;3.68494;6.38555;4.99138;4.99544;;;2.15297;-3.40853;2.562
66;1;6.248;8.11687;6.41441;0.492158;2.04768;;;-1.56985;-4.19345;-1.86141
67;1;6.248;3.71796;6.3702;4.5599;4.5679;;;2.12523;-3.13084;1.84754
68;1;6.248;9.30287;6.4175;-0.0227607;2.04768;;;-2.56609;-4.41388;-2.34566
69;1;6.248;3.71254;6.37457;4.84128;4.84918;;;2.12979;-3.34898;2.34794
70;1;6.248;7.62275;6.39407;0.89929;2.04768;;;-1.15479;-3.92638;-1.64229
71;1;6.248;3.63488;6.35162;4.67594;4.68041;;;2.19502;-2.82887;1.67491
72;1;6.248;9.80804;6.40399;-0.0992086;2.04768;;;-2.99044;-4.32409;-2.59273
73;1;6.248;3.69229;6.36352;5.15701;5.1192;;;2.1468;-3.25069;2.56862
74;1;6.248;8.07316;6.38866;0.682805;2.04768;;;-1.53313;-4.01726;-1.83996
75;1;6.248;3.62363;6.34859;4.78189;4.79292;;;2.20447;-2.91502;1.8688
76;1;6.248;10.1814;6.40334;-0.444;2.04768;;;-3.3041;-4.56707;-2.75429
77;1;6.248;3.65916;6.36469;5.09339;5.0967;;;2.17462;-3.47975;2.73936
78;1;6.248;7.98653;6.38722;0.498731;2.04768;;;-1.46037;-4.20994;-1.8175
79;1;6.248;3.5973;6.349;4.57072;4.57915;;;2.22659;-3.09665;1.84348
80;1;6.248;8.85312;6.38284;0.266579;2.04768;;;-2.1883;-4.1908;-2.20744
81;1;6.248;3.6038;6.34579;4.94941;4.95044;;;2.22113;-3.08023;2.20471
82;1;6.248;7.54705;6.36159;1.17385;2.04768;;;-1.0912;-3.62583;-1.65616
83;1;6.248;3.49777;6.3244;5.03792;5.04044;;;2.31019;-2.47074;1.7007
84;1;6.248;10.3398;6.37588;-0.160281;2.04768;;;-3.43714;-4.18931;-2.87367
85;1;6.248;3.51496;6.33966;5.63573;5.1192;;;2.29575;-3.04143;2.86645
86;1;6.248;7.7305;6.35705;1.05059;2.04768;;;-1.2453;-3.66408;-1.77053
87;1;6.248;3.55866;6.3225;5.03532;5.04044;;;2.25905;-2.53456;1.75217
88;1;6.248;10.0954;6.36851;-0.0323224;2.04768;;;-3.23183;-4.15047;-2.74544
89;1;6.248;3.64154;6.33566;5.48583;5.1192;;;2.18943;-3.05576;2.71063
90;1;6.248;7.86453;6.35386;0.998292;2.04768;;;-1.35788;-3.7347;-1.77365
91;1;6.248;3.54132;6.32077;5.03279;5.04044;;;2.27361;-2.59789;1.81575
92;1;6.248;10.4066;6.36828;-0.314554;2.04768;;;-3.49323;-4.34451;-2.88342
93;1;6.248;3.5418;6.33579;5.49032;5.1192;;;2.2732;-3.20791;2.88322
94;1;6.248;7.64229;6.35064;0.955372;2.04768;;;-1.17121;-3.79351;-1.72221
95;1;6.248;3.4221;6.31773;4.96171;4.97294;;;2.37375;-2.60663;1.77248
96;1;6.248;10.0047;6.3587;-0.100083;2.04768;;;-3.15565;-4.18446;-2.7647
97;1;6.248;3.43823;6.32661;5.55201;5.1192;;;2.36021;-3.00435;2.75793
98;1;6.248;7.46354;6.33896;1.23697;2.04768;;;-1.02106;-3.51488;-1.69063
99;1;6.248;3.36006;6.30693;5.20744;5.1192;;;2.42587;-2.30195;1.72346
100;1;6.248;10.2243;6.34861;0.0292245;2.04768;;;-3.3401;-3.972;-2.88299
101;1;6.248;3.32863;6.31682;5.93122;5.1192;;;2.45227;-2.74586;2.89619
102;1;6.248;7.47496;6.32888;1.44167;2.04768;;;-1.03064;-3.26119;-1.74146
103;1;6.248;3.35546;6.29823;5.46906;5.1192;;;2.42974;-2.04632;1.73019
104;1;6.248;10.3567;6.33964;0.192878;2.04768;;;-3.45133;-3.77198;-2.94053
105;1;6.248;3.37807;6.30973;6.15323;5.1192;;;2.41074;-2.56662;2.93104
106;1;6.248;7.84956;6.32513;1.38696;2.04768;;;-1.34531;-3.23927;-1.87802
107;1;6.248;3.32871;6.29546;5.6665;5.1192;;;2.4522;-2.01317;1.89875
108;1;6.248;10.3451;6.33516;0.222691;2.04768;;;-3.44158;-3.73396;-2.94689
109;1;6.248;3.28184;6.30552;6.25182;5.1192;;;2.49158;-2.48817;2.96658
110;1;6.248;7.66067;6.31855;1.55343;2.04768;;;-1.18664;-3.08149;-1.83911
