POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;10.672;9.3138;9.3138;11.5956;11.092;;;1.14089;0.570444;0.570444
8;1;10.672;16.1572;12.7355;6.94208;6.94407;;;-4.60755;-1.73333;-2.87422
9;1;10.672;8.87423;11.4484;12.4649;11.092;;;1.51012;-0.97827;3.05884
10;1;10.672;12.5884;11.7334;7.63551;7.63732;;;-1.60979;-1.78316;-1.55996
11;1;10.672;9.24578;11.2359;10.6636;10.6645;;;1.19802;-1.18415;1.40391
12;1;10.672;15.7487;11.988;5.43671;5.44203;;;-4.26439;-3.31635;-2.73121
13;1;10.672;7.36557;11.3277;11.7362;11.092;;;2.7774;-1.92765;3.5209
14;1;10.672;11.9849;11.4098;6.46285;6.47035;;;-1.10287;-2.47908;-1.94014
15;1;10.672;8.65595;11.1038;10.1153;10.1215;;;1.69348;-1.63234;1.39818
16;1;10.672;14.3663;11.4301;5.68077;5.68467;;;-3.10324;-3.18396;-2.39836
17;1;10.672;7.5786;11.08;11.1432;11.092;;;2.59846;-1.88473;2.85085
18;1;10.672;12.3796;11.1883;6.32684;6.3317;;;-1.43442;-2.60194;-2.01644
19;1;10.672;8.37383;10.9718;10.35;10.3526;;;1.93046;-1.63671;1.68244
20;1;10.672;14.4753;11.222;5.4838;5.48824;;;-3.1948;-3.23411;-2.56263
21;1;10.672;7.33927;10.9632;11.3015;11.092;;;2.79949;-1.83436;2.99714
22;1;10.672;11.7033;11.0094;6.73664;6.74765;;;-0.866253;-2.26749;-1.83287
23;1;10.672;8.74093;10.876;10.1508;10.1561;;;1.6221;-1.45644;1.24417
24;1;10.672;13.9899;11.049;6.14832;6.15839;;;-2.78706;-2.84997;-2.20458
25;1;10.672;8.03014;10.8901;11.012;11.0227;;;2.21917;-1.74039;2.50311
26;1;10.672;12.0437;10.9478;6.8893;6.89786;;;-1.15219;-2.31648;-1.68568
27;1;10.672;9.1721;10.8632;9.95155;9.95972;;;1.25992;-1.68652;1.20606
28;1;10.672;13.7805;10.9958;6.24172;6.25082;;;-2.61116;-2.99211;-1.93554
29;1;10.672;8.19965;10.8742;10.6667;10.6761;;;2.07677;-1.95372;2.34397
30;1;10.672;12.9419;10.9604;6.13635;6.14683;;;-1.90674;-2.90709;-1.99176
31;1;10.672;8.30151;10.854;10.3302;10.341;;;1.99121;-1.91148;1.94897
32;1;10.672;15.2194;11.0219;4.67268;4.67945;;;-3.81982;-3.82139;-2.90552
