POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;8.848;8.22912;8.22912;9.26884;9.16049;;;0.519856;0.259928;0.259928
8;1;8.848;12.7627;10.4959;6.186;6.1875;;;-3.28836;-1.38425;-1.90411
9;1;8.848;8.0562;9.68268;9.64635;9.16049;;;0.665109;-1.0517;1.97673
10;1;8.848;10.6887;9.93419;6.21207;6.21248;;;-1.54619;-1.82479;-1.10565
11;1;8.848;8.2378;9.59491;8.21124;8.21946;;;0.512567;-1.56851;1.02938
12;1;8.848;11.4852;9.90996;5.22992;5.23814;;;-2.21524;-2.67613;-1.36391
13;1;8.848;7.38449;9.54918;8.27468;8.27775;;;1.22935;-2.06146;1.72229
14;1;8.848;9.61622;9.55756;5.64948;5.65452;;;-0.645303;-2.38411;-0.937325
15;1;8.848;8.04515;9.38951;7.33248;7.33672;;;0.674396;-2.04691;0.659849
16;1;8.848;10.4144;9.492;5.39876;5.40469;;;-1.31575;-2.70479;-0.995074
17;1;8.848;7.70307;9.32937;7.57964;7.58655;;;0.961744;-2.22391;1.13875
18;1;8.848;8.83663;9.28831;6.15094;6.15418;;;0.0095466;-2.21914;-0.476099
19;1;8.848;8.10601;9.19736;7.12864;7.13686;;;0.623275;-1.9075;0.306864
20;1;8.848;10.2891;9.27534;5.64888;5.65452;;;-1.21056;-2.51278;-0.916918
21;1;8.848;7.97075;9.18837;7.53703;7.54491;;;0.736893;-2.14434;0.973726
22;1;8.848;8.70452;9.15813;6.43278;6.43733;;;0.120522;-2.08408;-0.308185
23;1;8.848;8.15206;9.09895;7.1769;7.17849;;;0.584589;-1.79178;0.232033
24;1;8.848;10.7891;9.19285;5.44394;5.44633;;;-1.63056;-2.60706;-1.10758
25;1;8.848;7.74816;9.11681;7.80411;7.8114;;;0.923868;-2.14513;1.27722
26;1;8.848;8.99531;9.11074;6.14077;6.14586;;;-0.12374;-2.207;-0.523804
27;1;8.848;8.05007;9.06023;7.24547;7.25344;;;0.670265;-1.87187;0.397003
28;1;8.848;10.6766;9.1337;5.39753;5.40469;;;-1.53605;-2.63989;-1.10316
29;1;8.848;7.70557;9.07161;7.75299;7.75311;;;0.959641;-2.16007;1.24785
30;1;8.848;9.05382;9.07087;6.06815;6.07091;;;-0.172887;-2.24652;-0.566264
31;1;8.848;8.08443;9.03141;7.20715;7.2118;;;0.641399;-1.92582;0.407143
32;1;8.848;10.4941;9.08767;5.4821;5.48797;;;-1.38277;-2.6172;-1.01208
33;1;8.848;7.71349;9.03677;7.69365;7.69481;;;0.952993;-2.1407;1.16788
34;1;8.848;8.90156;9.03195;6.19438;6.19582;;;-0.0449929;-2.1632;-0.498993
35;1;8.848;8.00358;8.99648;7.2815;7.28675;;;0.709313;-1.80854;0.377153
36;1;8.848;10.4045;9.04342;5.6264;5.62954;;;-1.30743;-2.46226;-1.00837
37;1;8.848;7.69533;8.99993;7.82327;7.82806;;;0.968245;-1.97814;1.13784
38;1;8.848;8.97759;8.99923;6.29762;6.30408;;;-0.108853;-2.03256;-0.538549
39;1;8.848;7.96097;8.96777;7.47304;7.47829;;;0.745104;-1.66001;0.426979
40;1;8.848;10.501;9.01287;5.69137;5.69616;;;-1.38855;-2.35429;-1.06683
41;1;8.848;7.70771;8.97558;7.96338;7.96963;;;0.957843;-1.87537;1.1732
42;1;8.848;9.10875;8.97928;6.3164;6.32074;;;-0.219028;-1.98488;-0.588436
43;1;8.848;8.03848;8.95385;7.52311;7.52826;;;0.68;-1.64488;0.449514
44;1;8.848;10.6908;8.99956;5.61002;5.61288;;;-1.54795;-2.41886;-1.11398
45;1;8.848;7.71136;8.96653;7.97603;7.97795;;;0.954777;-1.94147;1.25136
46;1;8.848;9.31457;8.97523;6.11188;6.11255;;;-0.391915;-2.13743;-0.673346
47;1;8.848;7.98384;8.95105;7.49416;7.49495;;;0.725891;-1.77448;0.558903
48;1;8.848;10.5011;8.98795;5.58649;5.5879;;;-1.38857;-2.46877;-1.05723
49;1;8.848;7.83193;8.96107;7.76445;7.76976;;;0.853499;-2.04202;1.12103
50;1;8.848;9.32092;8.96925;6.05765;6.06258;;;-0.397249;-2.24064;-0.625374
51;1;8.848;8.19309;8.952;7.25132;7.25344;;;0.550125;-1.96558;0.473687
52;1;8.848;10.3516;8.98243;5.5849;5.5879;;;-1.26303;-2.5971;-0.90658
53;1;8.848;8.0942;8.96353;7.395;7.39501;;;0.633189;-2.2805;0.948112
54;1;8.848;8.90423;8.96229;6.21267;6.22081;;;-0.0472357;-2.30412;-0.340212
55;1;8.848;8.36747;8.95015;6.89426;6.89535;;;0.403646;-2.1023;0.225441
56;1;8.848;10.3519;8.97819;5.52122;5.52128;;;-1.26329;-2.73394;-0.833469
57;1;8.848;8.18709;8.96268;7.19512;7.19515;;;0.555165;-2.45636;0.909229
58;1;8.848;8.85853;8.96067;6.1069;6.11255;;;-0.008841;-2.46078;-0.282003
59;1;8.848;8.38234;8.94976;6.70829;6.71214;;;0.391157;-2.2652;0.199999
60;1;8.848;10.3959;8.97654;5.33464;5.33807;;;-1.30024;-2.91532;-0.8457
61;1;8.848;7.81078;8.95535;7.28811;7.29508;;;0.871266;-2.47969;1.08575
62;1;8.848;8.93583;8.955;5.87295;5.87937;;;-0.0737806;-2.51658;-0.472524
63;1;8.848;8.32276;8.94391;6.72548;6.7288;;;0.441206;-2.29598;0.257493
64;1;8.848;10.5668;8.97189;5.16261;5.16319;;;-1.44383;-3.01789;-0.942516
65;1;8.848;7.53377;8.94751;7.4457;7.45331;;;1.10395;-2.46591;1.27389
66;1;8.848;8.92662;8.94716;5.77665;5.77944;;;-0.0660433;-2.49894;-0.584997
67;1;8.848;8.34456;8.93729;6.72443;6.7288;;;0.42289;-2.28749;0.244466
68;1;8.848;10.6923;8.96559;5.09492;5.09656;;;-1.54924;-3.06211;-0.986063
69;1;8.848;7.35509;8.94003;7.57569;7.57822;;;1.25404;-2.43509;1.40164
70;1;8.848;9.09764;8.94249;5.61613;5.62121;;;-0.209701;-2.53994;-0.731873
71;1;8.848;8.10165;8.92956;6.92043;6.92866;;;0.62693;-2.22647;0.418315
72;1;8.848;10.5664;8.95436;5.13955;5.14653;;;-1.44346;-2.9482;-1.0352
73;1;8.848;7.29978;8.92966;7.67432;7.67816;;;1.30051;-2.29795;1.37198
74;1;8.848;9.06631;8.93167;5.75134;5.75445;;;-0.183383;-2.38964;-0.741946
75;1;8.848;8.01792;8.91843;7.11451;7.1202;;;0.697271;-2.041;0.440327
76;1;8.848;10.3311;8.93861;5.44985;5.45466;;;-1.24581;-2.66391;-0.971541
77;1;8.848;7.71498;8.92138;7.57745;7.57822;;;0.951733;-2.18804;1.09877
78;1;8.848;9.12344;8.92418;5.99679;6.00429;;;-0.231372;-2.30373;-0.591553
79;1;8.848;8.20609;8.91434;7.09646;7.10354;;;0.539204;-2.03413;0.385288
80;1;8.848;10.2907;8.93294;5.56323;5.57124;;;-1.21187;-2.64006;-0.87554
81;1;8.848;7.93873;8.91969;7.43218;7.43665;;;0.763788;-2.25817;0.987832
82;1;8.848;8.96584;8.9203;6.12781;6.1292;;;-0.0989839;-2.30766;-0.431386
83;1;8.848;8.2529;8.91163;6.9945;6.99528;;;0.499887;-2.05772;0.299435
84;1;8.848;10.4774;8.9317;5.43236;5.438;;;-1.36867;-2.74206;-0.934281
85;1;8.848;7.82724;8.91772;7.4844;7.48662;;;0.857438;-2.31334;1.11306
86;1;8.848;9.13365;8.92042;5.9117;5.91268;;;-0.239943;-2.43331;-0.54869
87;1;8.848;8.35417;8.91343;6.87046;6.8787;;;0.414815;-2.2259;0.327379
88;1;8.848;10.3274;8.93067;5.40869;5.41302;;;-1.24271;-2.84726;-0.828761
89;1;8.848;7.85024;8.91766;7.30057;7.30341;;;0.838118;-2.4282;1.04041
90;1;8.848;9.04137;8.91913;5.86925;5.87104;;;-0.162432;-2.50941;-0.500275
91;1;8.848;8.29257;8.91176;6.79749;6.80375;;;0.466559;-2.27613;0.314496
92;1;8.848;10.5793;8.93115;5.1613;5.16319;;;-1.45429;-3.00328;-0.960425
93;1;8.848;7.4704;8.91436;7.50863;7.5116;;;1.15718;-2.42469;1.30574
94;1;8.848;9.2747;8.91845;5.55456;5.55459;;;-0.358431;-2.6039;-0.757806
95;1;8.848;8.18795;8.91024;6.87214;6.8787;;;0.554439;-2.32668;0.456435
96;1;8.848;10.728;8.93044;4.96569;4.97165;;;-1.57921;-3.11629;-1.06682
97;1;8.848;7.19642;8.91139;7.64439;7.64485;;;1.38732;-2.42263;1.48327
98;1;8.848;9.48054;8.91757;5.30159;5.30476;;;-0.53133;-2.68829;-0.959327
99;1;8.848;7.89503;8.90658;7.07339;7.07856;;;0.800491;-2.28805;0.665911
100;1;8.848;11.1935;8.93091;4.56474;4.57192;;;-1.97026;-3.27318;-1.38538
101;1;8.848;6.59293;8.9063;8.0934;8.09454;;;1.89426;-2.32605;1.93226
102;1;8.848;10.0972;8.9187;4.72535;4.73014;;;-1.04935;-2.85072;-1.47181
103;1;8.848;7.0426;8.89936;7.74963;7.75311;;;1.51654;-2.09245;1.28294
104;1;8.848;12.0426;8.93144;3.82495;3.83075;;;-2.68347;-3.43419;-2.1
105;1;8.848;5.55513;8.89733;8.9947;9.00226;;;2.76601;-2.05118;2.72474
106;1;8.848;11.8728;8.92709;3.35696;3.6642;;;-2.54082;-3.32159;-2.65341
107;1;8.848;5.23386;8.89052;9.25443;9.16049;;;3.03588;-1.80365;2.78835
108;1;8.848;15.0571;8.95098;1.30425;3.6642;;;-5.21561;-4.41146;-4.12574
109;1;8.848;5.1193;8.91377;9.57987;9.16049;;;3.13211;-2.8454;4.17386
110;1;8.848;12.2937;8.94627;2.09344;3.6642;;;-2.89442;-4.29261;-3.01327
111;1;8.848;5.23373;8.91092;8.4603;8.46096;;;3.03599;-2.77462;2.9652
112;1;8.848;13.7318;8.9564;1.23438;3.6642;;;-4.10242;-4.82583;-3.5692
113;1;8.848;5.23949;8.92166;8.52717;8.52758;;;3.03115;-3.31025;3.56678
114;1;8.848;11.0248;8.94113;2.54194;3.6642;;;-1.82853;-4.22452;-2.42984
115;1;8.848;5.30247;8.90775;7.94871;7.95297;;;2.97824;-2.7354;2.40339
116;1;8.848;13.2243;8.94699;1.6476;3.6642;;;-3.67609;-4.57344;-3.32717
117;1;8.848;5.21361;8.91336;8.58399;8.58588;;;3.05289;-3.047;3.36449
118;1;8.848;11.123;8.93309;2.72759;3.6642;;;-1.91097;-4.00248;-2.48193
119;1;8.848;5.29987;8.90093;8.21373;8.21946;;;2.98043;-2.51226;2.4457
120;1;8.848;13.3046;8.93956;1.81505;3.6642;;;-3.74352;-4.38402;-3.36198
121;1;8.848;5.17383;8.90682;8.83417;8.83571;;;3.0863;-2.84087;3.41491
122;1;8.848;11.4473;8.92872;2.69648;3.6642;;;-2.18338;-3.93256;-2.63484
123;1;8.848;5.17874;8.89667;8.50222;8.5026;;;3.08218;-2.39147;2.63278
124;1;8.848;13.5667;8.93624;1.70672;3.6642;;;-3.96371;-4.37333;-3.52294
125;1;8.848;5.08009;8.90384;9.0187;9.01892;;;3.16504;-2.79081;3.56437
126;1;8.848;11.5186;8.92563;2.65866;3.6642;;;-2.24331;-3.91246;-2.70417
127
