PS100;PS80;PS60;PS40;PS20
1;0;0;0;0;
0.094;0.695;0.211;0;0;
1;0;0;0;0;
0.245;0.755;0;0;0;
1;0;0;0;0;
0.083;0.361;0.438;0.118;0;
1;0;0;0;0;
0.03;0.627;0.343;0;0;
1;0;0;0;0;
0;0.056;0.665;0.279;0;
1;0;0;0;0;
0.074;0.275;0.389;0.262;0;
1;0;0;0;0;
0;0;0.364;0.636;0;
1;0;0;0;0;
0;0.234;0.364;0.402;0;
1;0;0;0;0;
0;0;0.409;0.591;0;
1;0;0;0;0;
0.074;0.264;0.277;0.385;0;
1;0;0;0;0;
0;0;0.534;0.466;0;
1;0;0;0;0;
0.092;0.282;0.275;0.351;0;
1;0;0;0;0;
0;0;0.455;0.545;0;
1;0;0;0;0;
0.067;0.278;0.257;0.398;0;
1;0;0;0;0;
0;0;0.441;0.559;0;
1;0;0;0;0;
0.073;0.269;0.288;0.37;0;
1;0;0;0;0;
0;0;0.512;0.488;0;
1;0;0;0;0;
0.041;0.345;0.24;0.374;0;
1;0;0;0;0;
0;0;0.465;0.535;0;
1;0;0;0;0;
0.054;0.282;0.339;0.325;0;
1;0;0;0;0;
0;0;0.525;0.475;0;
1;0;0;0;0;
0.061;0.279;0.298;0.362;0;
1;0;0;0;0;
0;0;0.46;0.54;0;
1;0;0;0;0;
0;0.31;0.325;0.365;0;
1;0;0;0;0;
0;0;0.39;0.61;0;
1;0;0;0;0;
0;0.294;0.352;0.354;0;
1;0;0;0;0;
0;0;0.453;0.547;0;
1;0;0;0;0;
0.018;0.352;0.253;0.377;0;
1;0;0;0;0;
0;0;0.411;0.589;0;
1;0;0;0;0;
0.047;0.301;0.273;0.379;0;
1;0;0;0;0;
0;0;0.486;0.514;0;
1;0;0;0;0;
0.025;0.276;0.371;0.328;0;
1;0;0;0;0;
0;0;0.372;0.628;0;
1;0;0;0;0;
0;0.284;0.318;0.398;0;
1;0;0;0;0;
0;0;0.424;0.576;0;
1;0;0;0;0;
0;0.34;0.295;0.365;0;
1;0;0;0;0;
0;0;0.304;0.696;0;
1;0;0;0;0;
0;0.093;0.604;0.303;0;
1;0;0;0;0;
0;0;0.261;0.739;0;
1;0;0;0;0;
0;0.129;0.517;0.354;0;
1;0;0;0;0;
0;0;0.337;0.663;0;
1;0;0;0;0;
0;0.201;0.454;0.345;0;
1;0;0;0;0;
0;0;0.288;0.712;0;
1;0;0;0;0;
0;0.135;0.53;0.335;0;
1;0;0;0;0;
0;0;0.248;0.752;0;
1;0;0;0;0;
0;0.07;0.541;0.389;0;
1;0;0;0;0;
0;0;0.185;0.815;0;
1;0;0;0;0;
0;0.038;0.62;0.342;0;
1;0;0;0;0;
0;0;0.158;0.842;0;
1;0;0;0;0;
0;0;0.662;0.338;0;
1;0;0;0;0;
0;0;0.062;0.938;0;
1;0;0;0;0;
0;0;0.258;0.742;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.361;0.639;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.345;0.655;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.375;0.625;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.265;0.735;0;
