POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;84.336;69.3071;69.3071;94.5557;80.4175;;;12.6243;6.31215;6.31215
8;1;84.336;116.53;92.9184;62.4442;62.4523;;;-27.0428;-7.20924;-19.8335
9;1;84.336;68.0181;84.6183;101.744;80.4175;;;13.707;-0.35573;20.3749
10;1;84.336;97.3743;87.8073;68.2607;68.2745;;;-10.9522;-5.83181;-12.3296
11;1;84.336;73.8889;85.0236;91.0843;80.4175;;;8.77554;-1.44404;9.86385
12;1;84.336;119.159;90.7128;54.8247;54.8287;;;-29.2512;-16.0696;-19.0133
13;1;84.336;69.8258;87.729;92.7589;80.4175;;;12.1886;-9.97534;20.7199
14;1;84.336;97.5369;88.955;59.2897;59.2999;;;-11.0888;-15.5197;-11.6387
15;1;84.336;69.0278;86.7408;84.7702;80.4175;;;12.8589;-9.09028;11.9739
16;1;84.336;119.855;90.0522;44.6636;44.6639;;;-29.8357;-24.0081;-21.3473
17;1;84.336;64.1617;87.6985;88.9643;80.4175;;;16.9464;-15.5349;23.391
18;1;84.336;98.2954;88.5816;50.8355;50.84;;;-11.7259;-21.3979;-14.3362
19;1;84.336;66.5257;86.885;80.9121;80.4175;;;14.9606;-13.9176;13.3433
20;1;84.336;120.994;89.3213;38.0109;38.0214;;;-30.7925;-29.3138;-22.8765
21;1;84.336;54.2379;86.9824;90.8851;80.4175;;;25.2824;-16.6726;28.0374
22;1;84.336;98.2725;87.6881;45.5454;45.5485;;;-11.7067;-22.5259;-18.4945
23;1;84.336;61.0509;86.1212;83.4973;80.4175;;;19.5595;-12.7462;15.6331
24;1;84.336;118.274;87.9075;38.732;38.7452;;;-28.5082;-27.0003;-24.0338
25;1;84.336;54.8966;86.1701;91.6086;80.4175;;;24.7291;-14.6357;26.6186
26;1;84.336;97.0781;86.7155;48.6711;48.6848;;;-10.7034;-19.9874;-17.7162
27;1;84.336;64.3646;85.6511;83.2808;80.4175;;;16.776;-11.5994;13.7397
28;1;84.336;119.04;87.1688;40.75;40.7556;;;-29.1512;-26.175;-22.9636
29;1;84.336;58.2891;85.9132;90.4485;80.4175;;;21.8794;-15.2353;25.5153
30;1;84.336;96.209;86.3421;50.0873;50.1001;;;-9.9733;-20.222;-15.9263
31;1;84.336;65.276;85.4995;82.0615;80.4175;;;16.0104;-12.2168;12.9918
32;1;84.336;120.557;86.8479;39.4837;39.485;;;-30.4257;-27.4297;-23.2181
33;1;84.336;56.526;85.7248;91.03;80.4175;;;23.3604;-15.7494;26.8931
34;1;84.336;96.738;86.1182;48.473;48.4757;;;-10.4177;-20.9583;-16.8891
35;1;84.336;62.8226;85.3149;83.2157;80.4175;;;18.0713;-11.9226;14.2445
36;1;84.336;119.81;86.4647;39.2556;39.2598;;;-29.7979;-26.8216;-23.9346
