POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;12.648;9.5746;9.5746;14.7379;11.2433;;;2.58165;1.29083;1.29083
8;1;12.648;16.4253;12.9999;10.0795;10.0819;;;-3.17291;-0.295626;-2.87728
9;1;12.648;11.9696;12.6565;14.4002;11.2433;;;0.569885;-0.0106835;1.8714
10;1;12.648;15.239;13.3021;10.5905;10.6008;;;-2.17647;-1.09892;-1.37318
11;1;12.648;13.422;13.3261;12.111;11.2433;;;-0.650185;-1.42401;0.763144
12;1;12.648;16.9308;13.9269;8.63678;8.6487;;;-3.59755;-3.22279;-1.47368
13;1;12.648;11.6409;13.6003;11.9088;11.2433;;;0.845975;-2.7998;2.22176
14;1;12.648;15.257;13.8074;7.65106;7.66028;;;-2.1916;-3.8956;-1.51879
15;1;12.648;10.7033;13.4625;11.1706;11.1939;;;1.63355;-3.07882;1.91258
16;1;12.648;16.8217;13.7984;5.91428;5.93054;;;-3.50591;-4.83178;-2.56973
17;1;12.648;8.93904;13.3567;12.0913;11.2433;;;3.11552;-3.27402;3.31072
18;1;12.648;15.003;13.4939;6.21483;6.22707;;;-1.97819;-4.26311;-2.54686
19;1;12.648;8.66673;13.1225;12.0812;11.2433;;;3.34427;-2.59097;2.66123
20;1;12.648;16.7833;13.384;5.57285;5.58459;;;-3.47369;-4.32782;-3.40898
21;1;12.648;8.33124;13.0472;12.9924;11.2433;;;3.62608;-2.51478;3.54989
22;1;12.648;15.1469;13.1784;6.62093;6.62244;;;-2.09908;-3.56432;-2.86258
23;1;12.648;9.31291;12.951;12.4011;11.2433;;;2.80148;-2.16358;2.45028
24;1;12.648;17.0674;13.1797;6.07848;6.0788;;;-3.71231;-4.01974;-3.25689
25;1;12.648;9.49945;12.986;12.6254;11.2433;;;2.64478;-2.69735;3.17854
26;1;12.648;15.4163;13.1075;6.74585;6.74599;;;-2.32533;-3.86002;-2.48506
27;1;12.648;9.64391;12.9426;11.9934;11.2433;;;2.52344;-2.5983;2.42439
28;1;12.648;17.1826;13.1353;5.70448;5.70814;;;-3.80903;-4.50281;-3.16624
29;1;12.648;8.94185;12.953;12.5699;11.2433;;;3.11317;-2.94623;3.4611
30;1;12.648;15.5839;13.0626;6.14876;6.15294;;;-2.46617;-4.17932;-2.78967
31;1;12.648;9.64057;12.9257;11.7468;11.2433;;;2.52624;-2.91619;2.49621
32;1;12.648;17.718;13.1101;5.02108;5.04096;;;-4.2588;-5.0456;-3.39252
33;1;12.648;7.74931;12.9115;13.0629;11.2433;;;4.1149;-2.98814;4.18685
34;1;12.648;15.7327;13.0123;5.50483;5.51046;;;-2.59112;-4.2837;-3.35301
35;1;12.648;8.2794;12.8491;12.6305;11.2433;;;3.66963;-2.44889;3.13037
36;1;12.648;17.0432;12.9889;5.37557;5.38691;;;-3.69196;-4.29487;-3.68079
37;1;12.648;8.01407;12.8284;13.3502;11.2433;;;3.8925;-2.34862;3.79223
38;1;12.648;14.9232;12.8938;6.806;6.82012;;;-1.91116;-3.3042;-2.90183
39;1;12.648;9.47795;12.7903;12.455;11.2433;;;2.66284;-1.97278;2.287
40;1;12.648;16.7688;12.9074;6.54164;6.5483;;;-3.46149;-3.70353;-3.06217
41;1;12.648;9.83081;12.8194;12.5909;11.2433;;;2.36644;-2.52031;2.91397
42;1;12.648;15.2474;12.8869;7.1769;7.19078;;;-2.18348;-3.61205;-2.27496
43;1;12.648;10.1844;12.8139;11.8029;11.2433;;;2.06939;-2.57735;2.12643
44;1;12.648;16.7684;12.9179;6.23409;6.25178;;;-3.46112;-4.30791;-2.76525
45;1;12.648;9.68611;12.8351;12.0847;11.2433;;;2.48798;-3.06392;2.97455
46;1;12.648;15.1378;12.8926;6.64699;6.64715;;;-2.09147;-4.10966;-2.28973
47;1;12.648;9.4636;12.809;11.7495;11.2433;;;2.6749;-2.77221;2.38318
48;1;12.648;16.9424;12.9074;5.61816;5.63401;;;-3.60729;-4.57585;-3.14109
49;1;12.648;8.4927;12.8047;12.7014;11.2433;;;3.49045;-2.83063;3.54887
50;1;12.648;14.9838;12.8543;6.48382;6.49888;;;-1.96205;-3.81165;-2.72625
51;1;12.648;9.26826;12.7746;12.1156;11.2433;;;2.83898;-2.39216;2.40052
52;1;12.648;16.757;12.8611;6.04225;6.05409;;;-3.45153;-4.11793;-3.14526
53;1;12.648;9.20509;12.7834;12.597;11.2433;;;2.89204;-2.67191;3.17179
54;1;12.648;14.7959;12.8253;7.0695;7.09194;;;-1.80423;-3.57402;-2.34814
