PS100;PS80;PS60;PS40;PS20
1;0;0;0;0;
0;0.43956;0.395604;0.164835;0;
1;0;0;0;0;
0.043956;0.428571;0.527473;0;0;
1;0;0;0;0;
0;0;0.241758;0.758242;0;
1;0;0;0;0;
0;0.021978;0.549451;0.428571;0;
0.956044;0.043956;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.296703;0.703297;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.351648;0.648352;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.263736;0.736264;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.142857;0.857143;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.186813;0.813187;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0.0549451;0.505495;0.43956;0;
0.879121;0.120879;0;0;0;
0;0;0.120879;0.879121;0;
1;0;0;0;0;
0.021978;0.0659341;0.703297;0.208791;0;
0.879121;0.120879;0;0;0;
0;0;0.351648;0.648352;0;
1;0;0;0;0;
0.0989011;0.164835;0.318681;0.417582;0;
0.945055;0.0549451;0;0;0;
0;0;0.043956;0.956044;0;
1;0;0;0;0;
0;0.197802;0.395604;0.406593;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0.021978;0.131868;0.43956;0.406593;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.571429;0.428571;0;
0.967033;0.032967;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.472527;0.527473;0;
0.989011;0.010989;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.307692;0.692308;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.395604;0.604396;0;
0.956044;0.043956;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0.0659341;0.428571;0.505495;0;
0.945055;0.0549451;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.43956;0.56044;0;
0.989011;0.010989;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0.0769231;0.384615;0.538462;0;
0.978022;0.021978;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0.0769231;0.472527;0.450549;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0.142857;0.406593;0.450549;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.472527;0.527473;0;
0.901099;0.0989011;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.351648;0.648352;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.32967;0.67033;0;
0.967033;0.032967;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.142857;0.857143;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.296703;0.703297;0;
0.934066;0.0659341;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0.010989;0.0549451;0.527473;0.406593;0;
0.989011;0.010989;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0.0879121;0.384615;0.527473;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0.120879;0.351648;0.527473;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0.0549451;0.131868;0.527473;0.285714;0;
