POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;41.336;41.1447;41.1447;41.4661;41.4724;;;0.160669;0.0803347;0.0803347
8;1;41.336;57.155;49.1498;30.5791;30.5849;;;-13.2879;-6.56363;-6.7243
9;1;41.336;39.2376;45.8458;42.8433;42.8515;;;1.76267;-5.6823;7.5253
10;1;41.336;48.5502;46.5219;29.8667;29.8681;;;-6.05994;-8.71227;-3.9113
11;1;41.336;39.7305;45.1636;36.7455;36.7545;;;1.34865;-8.03794;3.70429
12;1;41.336;48.5786;45.7328;27.6987;27.6997;;;-6.08381;-11.0798;-3.71623
13;1;41.336;39.4901;44.841;34.5533;34.5588;;;1.55055;-10.3046;3.81718
14;1;41.336;40.2741;44.2701;30.9783;30.9841;;;0.892016;-9.85857;-0.329267
15;1;41.336;39.5671;43.7475;32.2343;32.2361;;;1.48589;-9.11562;0.296936
16;1;41.336;47.1346;44.0862;27.5344;27.5364;;;-4.8708;-11.551;-3.17834
17;1;41.336;40.4192;43.7529;32.8438;32.844;;;0.770141;-11.1659;2.82047
18;1;41.336;40.1145;43.4497;30.6156;30.6212;;;1.02605;-10.6529;0.127952
19;1;41.336;38.9277;43.1018;31.8077;31.8097;;;2.02294;-9.64146;0.498445
20;1;41.336;46.0759;43.3143;27.46;27.4638;;;-3.98149;-11.6322;-3.00221
21;1;41.336;38.0033;42.9602;33.9608;33.9691;;;2.79949;-10.2325;3.39049
22;1;41.336;39.2325;42.7272;31.1342;31.1383;;;1.76697;-9.34897;-0.516262
23;1;41.336;38.3616;42.4704;33.1261;33.1344;;;2.49849;-8.09972;0.365762
24;1;41.336;45.5957;42.644;29.0904;29.0969;;;-3.57817;-9.88881;-3.03833
25;1;41.336;37.5767;42.3773;35.7926;35.7927;;;3.15778;-8.30992;3.36797
26;1;41.336;38.3328;42.1751;33.4894;33.4973;;;2.52267;-7.04859;-0.317554
27;1;41.336;38.2947;41.9903;35.0942;35.1032;;;2.55472;-5.77122;0.016028
28;1;41.336;46.0302;42.174;31.0954;31.102;;;-3.94312;-7.74278;-3.24892
29;1;41.336;38.2246;42.0023;37.6805;37.689;;;2.61356;-6.43601;3.27834
30;1;41.336;40.4895;41.9392;34.1688;34.1777;;;0.711035;-6.08049;-0.951262
31;1;41.336;38.8639;41.8162;36.581;36.5821;;;2.07654;-5.04222;0.682754
32;1;41.336;47.951;42.0522;30.7573;30.7663;;;-5.55656;-7.8205;-3.81655
33;1;41.336;39.8177;41.9694;37.3263;37.3351;;;1.27541;-7.18279;3.41599
34;1;41.336;42.2175;41.9783;32.9161;32.9166;;;-0.740495;-7.55304;-1.00795
35;1;41.336;39.4199;41.89;35.4562;35.457;;;1.60956;-6.74826;1.17503
36;1;41.336;48.0934;42.0968;29.1879;29.1967;;;-5.67621;-9.58636;-3.64289
37;1;41.336;41.1302;42.0656;34.7277;34.7312;;;0.172859;-9.49993;2.92453
38;1;41.336;40.8458;42.0275;32.083;32.091;;;0.411781;-9.29404;0.119461
39;1;41.336;38.8694;41.9318;33.5133;33.5154;;;2.07191;-8.25808;0.830066
40;1;41.336;48.3088;42.1194;27.3005;27.3095;;;-5.85714;-11.1867;-3.96453
41;1;41.336;39.5669;42.0465;34.2809;34.2866;;;1.48607;-10.4436;3.6716
42;1;41.336;41.0734;42.0194;30.3279;30.3308;;;0.220607;-10.3333;-0.63273
43;1;41.336;41.7802;42.013;30.5903;30.5939;;;-0.373158;-10.5199;-0.296882
44;1;41.336;46.674;42.1356;27.3729;27.373;;;-4.4839;-12.7618;-2.05537
45;1;41.336;40.1366;42.0844;31.6317;31.6373;;;1.00752;-12.2581;2.74571
