PS100;PS80;PS60;PS40;PS20
0.890625;0.109375;0;0;0;
0.0520833;0.109375;0.6875;0.151042;0;
1;0;0;0;0;
0.0208333;0.197917;0.78125;0;0;
0.453125;0.546875;0;0;0;
0.00520833;0.0208333;0.703125;0.270833;0;
0.588542;0.411458;0;0;0;
0.00520833;0.21875;0.776042;0;0;
0.078125;0.921875;0;0;0;
0.0104167;0.0677083;0.921875;0;0;
0.213542;0.786458;0;0;0;
0.015625;0.567708;0.416667;0;0;
0.109375;0.890625;0;0;0;
0.0104167;0.21875;0.770833;0;0;
0.364583;0.635417;0;0;0;
0.00520833;0.744792;0.25;0;0;
0.270833;0.729167;0;0;0;
0.015625;0.229167;0.755208;0;0;
0.505208;0.494792;0;0;0;
0.015625;0.588542;0.395833;0;0;
0.234375;0.765625;0;0;0;
0.00520833;0.151042;0.84375;0;0;
0.411458;0.588542;0;0;0;
0.015625;0.28125;0.703125;0;0;
0.109375;0.890625;0;0;0;
0.00520833;0.015625;0.890625;0.0885417;0;
0.208333;0.791667;0;0;0;
0.0208333;0.494792;0.484375;0;0;
0.0208333;0.911458;0.0677083;0;0;
0.015625;0.21875;0.765625;0;0;
0.296875;0.703125;0;0;0;
0.015625;0.666667;0.317708;0;0;
0.208333;0.791667;0;0;0;
0.0104167;0.109375;0.880208;0;0;
0.416667;0.583333;0;0;0;
0.0104167;0.442708;0.546875;0;0;
0.09375;0.90625;0;0;0;
0.0208333;0.0208333;0.739583;0.21875;0;
0.375;0.625;0;0;0;
0.015625;0.135417;0.848958;0;0;
0.015625;0.875;0.109375;0;0;
0.0104167;0.0104167;0.833333;0.145833;0;
0.140625;0.859375;0;0;0;
0.015625;0.369792;0.614583;0;0;
0.015625;0.838542;0.145833;0;0;
0.015625;0.00520833;0.901042;0.078125;0;
0.0260417;0.9375;0.0364583;0;0;
0.0104167;0.432292;0.557292;0;0;
0.0104167;0.598958;0.390625;0;0;
0.0104167;0;0.723958;0.265625;0;
0.078125;0.921875;0;0;0;
0.0104167;0.25;0.739583;0;0;
0.0104167;0.645833;0.34375;0;0;
0.015625;0.046875;0.760417;0.177083;0;
0.0572917;0.942708;0;0;0;
0.00520833;0.421875;0.572917;0;0;
0.00520833;0.625;0.369792;0;0;
0.00520833;0.015625;0.822917;0.15625;0;
0.00520833;0.916667;0.078125;0;0;
0.00520833;0.239583;0.755208;0;0;
0.00520833;0.479167;0.515625;0;0;
0.00520833;0.0208333;0.479167;0.494792;0;
0.0364583;0.963542;0;0;0;
0.015625;0.00520833;0.78125;0.197917;0;
0.0104167;0.1875;0.802083;0;0;
0;0;0;0.875;0.125;
0.328125;0.671875;0;0;0;
0;0;0.0416667;0.958333;0;
0.203125;0.796875;0;0;0;
0;0;0;0.260417;0.739583;
1;0;0;0;0;
0;0;0;0.692708;0.307292;
1;0;0;0;0;
0;0;0;0.203125;0.796875;
1;0;0;0;0;
0;0.0520833;0.140625;0.807292;0;
1;0;0;0;0;
0;0;0;0.833333;0.166667;
1;0;0;0;0;
0.0364583;0.015625;0.359375;0.588542;0;
0.885417;0.114583;0;0;0;
0;0;0;0.807292;0.192708;
1;0;0;0;0;
0;0;0.229167;0.770833;0;
0.822917;0.177083;0;0;0;
0;0;0;0.333333;0.666667;
1;0;0;0;0;
0.0364583;0.03125;0.0989583;0.833333;0;
1;0;0;0;0;
0;0;0;0.979167;0.0208333;
1;0;0;0;0;
0.015625;0.03125;0.729167;0.223958;0;
0.510417;0.489583;0;0;0;
0.0208333;0.0625;0.348958;0.567708;0;
0.854167;0.145833;0;0;0;
0.0364583;0.09375;0.239583;0.630208;0;
0.427083;0.572917;0;0;0;
0;0;0;0.869792;0.130208;
1;0;0;0;0;
0;0.0520833;0.09375;0.854167;0;
0.729167;0.270833;0;0;0;
0;0;0;0.40625;0.59375;
1;0;0;0;0;
0;0;0;0.942708;0.0572917;
1;0;0;0;0;
0;0;0;0.421875;0.578125;
1;0;0;0;0;
0;0;0;0.90625;0.09375;
1;0;0;0;0;
0;0;0;0.151042;0.848958;
1;0;0;0;0;
0;0;0;0.96875;0.03125;
1;0;0;0;0;
0;0;0;0.697917;0.302083;
1;0;0;0;0;
0;0;0.0520833;0.947917;0;
1;0;0;0;0;
0;0;0;0.494792;0.505208;
1;0;0;0;0;
0;0;0.015625;0.984375;0;
