PS100;PS80;PS60;PS40;PS20
0;0;0;0;1;
0.0590909;0.0681818;0.627273;0.245455;0;
0;0;0;0;1;
0.00909091;0.0181818;0.495455;0.477273;0;
0;0;0;0;1;
0;0;0.136364;0.863636;0;
0;0;0;0;1;
0.0227273;0.0227273;0.0727273;0.881818;0;
0;0;0;0;1;
0;0.0545455;0.168182;0.777273;0;
0;0;0;0;1;
0.0136364;0.0227273;0.540909;0.422727;0;
0;0;0;0;1;
0.0272727;0.0636364;0.445455;0.463636;0;
0;0;0;0;1;
0.0136364;0.0181818;0.595455;0.372727;0;
0;0;0;0;1;
0.0136364;0.05;0.277273;0.659091;0;
0;0;0;0;1;
0.0136364;0.0136364;0.336364;0.636364;0;
0;0;0;0;1;
0;0.0909091;0.109091;0.8;0;
0;0;0;0;1;
0.00454545;0.0227273;0.413636;0.559091;0;
0;0;0;0;1;
0.0318182;0.0681818;0.263636;0.636364;0;
0;0;0;0;1;
0.00909091;0.0227273;0.568182;0.4;0;
0;0;0;0;1;
0.0454545;0.0636364;0.272727;0.618182;0;
0;0;0;0;1;
0.0181818;0.0136364;0.5;0.468182;0;
0;0;0;0;1;
0.0227273;0.05;0.313636;0.613636;0;
0;0;0;0;1;
0.00909091;0.00909091;0.527273;0.454545;0;
0;0;0;0;1;
0.0318182;0.0954545;0.177273;0.695455;0;
0;0;0;0;1;
0.0181818;0.0136364;0.459091;0.509091;0;
0;0;0;0;1;
0.0272727;0.0636364;0.3;0.609091;0;
0;0;0;0;1;
0.0136364;0.0181818;0.504545;0.463636;0;
0;0;0;0;1;
0.0363636;0.0318182;0.295455;0.636364;0;
0;0;0;0;1;
0.0136364;0.0227273;0.372727;0.590909;0;
0;0;0;0;1;
0.0318182;0.0363636;0.122727;0.809091;0;
0;0;0;0;1;
0.0181818;0.00909091;0.281818;0.690909;0;
0;0;0;0;1;
0.0227273;0.0363636;0.154545;0.786364;0;
0;0;0;0;1;
0.0227273;0.0227273;0.318182;0.636364;0;
0;0;0;0;1;
0.0227273;0.05;0.190909;0.736364;0;
0;0;0;0;1;
0.00909091;0.00909091;0.418182;0.563636;0;
0;0;0;0;1;
0.0272727;0.0590909;0.181818;0.731818;0;
0;0;0;0;1;
0.0181818;0.0227273;0.368182;0.590909;0;
0;0;0;0;1;
0.0272727;0.0409091;0.209091;0.722727;0;
0;0;0;0;1;
0.0227273;0.0136364;0.386364;0.577273;0;
0;0;0;0;1;
0.00454545;0.0363636;0.331818;0.627273;0;
0;0;0;0;1;
0.0136364;0.0181818;0.454545;0.513636;0;
0;0;0;0;1;
0.0318182;0.05;0.231818;0.686364;0;
0;0;0;0;1;
0.0181818;0.0181818;0.409091;0.554545;0;
0;0;0;0;1;
0.0181818;0.0863636;0.145455;0.75;0;
0;0;0;0;1;
0.00909091;0.0272727;0.381818;0.581818;0;
0;0;0;0;1;
0.0272727;0.0727273;0.159091;0.740909;0;
0;0;0;0;1;
0.00909091;0.0136364;0.427273;0.55;0;
0;0;0;0;1;
0;0.1;0.163636;0.736364;0;
0;0;0;0;1;
0.0136364;0.0272727;0.340909;0.618182;0;
0;0;0;0;1;
0;0.0363636;0.25;0.713636;0;
0;0;0;0;1;
0.0272727;0.0227273;0.313636;0.636364;0;
0;0;0;0;1;
0;0.00909091;0.277273;0.713636;0;
0;0;0;0;1;
0.0136364;0.0136364;0.322727;0.65;0;
0;0;0;0;1;
0;0;0.204545;0.795455;0;
0;0;0;0;1;
0.0227273;0.0227273;0.177273;0.777273;0;
0;0;0;0;1;
0;0;0.15;0.85;0;
0;0;0;0;1;
0.0136364;0.0136364;0.231818;0.740909;0;
0;0;0;0;1;
0;0;0.177273;0.822727;0;
0;0;0;0;1;
0.0227273;0.05;0.154545;0.772727;0;
0;0;0;0;1;
0;0;0.163636;0.836364;0;
0;0;0;0;1;
0.00909091;0.0136364;0.281818;0.695455;0;
0;0;0;0;1;
0;0;0.172727;0.827273;0;
0;0;0;0;1;
0.00454545;0.0272727;0.231818;0.736364;0;
0;0;0;0;1;
0;0;0.145455;0.854545;0;
0;0;0;0;1;
0.0136364;0.0227273;0.236364;0.727273;0;
