PS100;PS80;PS60;PS40;PS20
0;0;0;0.175;0.825;
0.033;0.053;0.773;0.141;0;
0;0;0;0;1;
0;0.242;0.356;0.402;0;
0;0;0;0;1;
0;0;0.545;0.455;0;
0;0;0;0;1;
0;0;0.622;0.378;0;
0;0;0;0;1;
0;0;0.42;0.58;0;
0;0;0;0;1;
0;0;0.439;0.561;0;
0;0;0;0;1;
0;0;0.316;0.684;0;
0;0;0;0;1;
0;0;0.476;0.524;0;
0;0;0;0;1;
0;0;0.448;0.552;0;
0;0;0;0;1;
0;0;0.586;0.414;0;
0;0;0;0;1;
0;0;0.468;0.532;0;
0;0;0;0;1;
0;0;0.527;0.473;0;
0;0;0;0;1;
0;0;0.379;0.621;0;
0;0;0;0;1;
0;0;0.489;0.511;0;
0;0;0;0;1;
0;0;0.407;0.593;0;
0;0;0;0;1;
0;0;0.555;0.445;0;
0;0;0;0;1;
0;0;0.453;0.547;0;
0;0;0;0;1;
0;0;0.546;0.454;0;
0;0;0;0;1;
0;0;0.405;0.595;0;
0;0;0;0;1;
0;0;0.508;0.492;0;
0;0;0;0;1;
0;0;0.405;0.595;0;
0;0;0;0;1;
0;0;0.522;0.478;0;
0;0;0;0;1;
0;0;0.416;0.584;0;
0;0;0;0;1;
0;0;0.511;0.489;0;
0;0;0;0;1;
0;0;0.391;0.609;0;
0;0;0;0;1;
0;0;0.497;0.503;0;
0;0;0;0;1;
0;0;0.375;0.625;0;
0;0;0;0;1;
0;0;0.485;0.515;0;
0;0;0;0;1;
0;0;0.392;0.608;0;
0;0;0;0;1;
0;0;0.53;0.47;0;
0;0;0;0;1;
0;0;0.432;0.568;0;
0;0;0;0;1;
0;0;0.533;0.467;0;
0;0;0;0;1;
0;0;0.386;0.614;0;
0;0;0;0;1;
0;0;0.475;0.525;0;
0;0;0;0;1;
0;0;0.374;0.626;0;
0;0;0;0;1;
0;0;0.508;0.492;0;
0;0;0;0;1;
0;0;0.41;0.59;0;
0;0;0;0;1;
0;0;0.51;0.49;0;
0;0;0;0;1;
0;0;0.348;0.652;0;
0;0;0;0;1;
0;0;0.449;0.551;0;
0;0;0;0;1;
0;0;0.357;0.643;0;
0;0;0;0;1;
0;0;0.504;0.496;0;
0;0;0;0;1;
0;0;0.405;0.595;0;
0;0;0;0;1;
0;0;0.497;0.503;0;
0;0;0;0;1;
0;0;0.356;0.644;0;
0;0;0;0;1;
0;0;0.439;0.561;0;
0;0;0;0;1;
0;0;0.228;0.772;0;
0;0;0;0;1;
0;0;0.361;0.639;0;
0;0;0;0;1;
0;0;0.192;0.808;0;
0;0;0;0;1;
0;0;0.323;0.677;0;
0;0;0;0;1;
0;0;0.251;0.749;0;
0;0;0;0;1;
0;0;0.416;0.584;0;
0;0;0;0;1;
0;0;0.308;0.692;0;
0;0;0;0;1;
0;0;0.397;0.603;0;
0;0;0;0;1;
0;0;0.25;0.75;0;
0;0;0;0;1;
0;0;0.362;0.638;0;
0;0;0;0;1;
0;0;0.27;0.73;0;
0;0;0;0;1;
0;0;0.415;0.585;0;
0;0;0;0;1;
0;0;0.324;0.676;0;
0;0;0;0;1;
0;0;0.431;0.569;0;
