POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;6.324;5.06924;5.06924;7.17723;5.79958;;;1.054;0.526998;0.526998
8;1;6.324;8.62024;6.84474;4.76256;4.76713;;;-1.92884;-0.437424;-1.49142
9;1;6.324;4.90647;6.19865;7.81492;5.79958;;;1.19073;0.15794;1.55979
10;1;6.324;6.76224;6.33955;5.58857;5.59564;;;-0.368124;-0.0261223;-0.779425
11;1;6.324;6.33826;6.33929;6.47224;5.79958;;;-0.0119826;-0.0321136;0.178071
12;1;6.324;9.0875;6.79733;4.4187;4.42298;;;-2.32134;-1.19278;-1.15468
13;1;6.324;5.18769;6.56738;7.06458;5.79958;;;0.954502;-0.715533;1.63792
14;1;6.324;6.65798;6.5787;4.90411;4.90734;;;-0.280539;-0.855802;-0.617521
15;1;6.324;5.21117;6.42676;6.36519;5.79958;;;0.934773;-0.388416;0.607656
16;1;6.324;9.15608;6.69969;3.54238;3.54348;;;-2.37895;-1.57789;-1.65686
17;1;6.324;4.80504;6.52745;6.96847;5.79958;;;1.27592;-0.939927;1.82743
18;1;6.324;6.66106;6.53858;4.51691;4.52495;;;-0.283132;-1.08149;-0.779528
19;1;6.324;5.04454;6.42366;6.2541;5.79958;;;1.07474;-0.544121;0.678938
20;1;6.324;8.99045;6.607;3.42932;3.44151;;;-2.23982;-1.66403;-1.65728
21;1;6.324;4.47708;6.465;7.03578;5.79958;;;1.55141;-0.888326;1.89561
22;1;6.324;6.60714;6.47389;4.46744;4.47396;;;-0.237834;-1.00724;-0.894621
23;1;6.324;4.88528;6.38044;6.414;5.79958;;;1.20852;-0.402983;0.723177
24;1;6.324;9.05891;6.52924;3.45702;3.467;;;-2.29733;-1.55165;-1.75292
25;1;6.324;4.60558;6.428;7.08955;5.79958;;;1.44348;-0.829908;1.8704
26;1;6.324;6.81359;6.44728;4.43943;4.44847;;;-0.411253;-1.03553;-0.927365
27;1;6.324;4.9546;6.3762;6.42528;5.79958;;;1.15029;-0.460388;0.780773
28;1;6.324;9.0418;6.49736;3.44036;3.44151;;;-2.28295;-1.60186;-1.71662
29;1;6.324;4.6043;6.41505;7.03301;5.79958;;;1.44455;-0.87959;1.86375
30;1;6.324;6.69455;6.4267;4.47016;4.47396;;;-0.311259;-1.03522;-0.877904
31;1;6.324;4.97026;6.36844;6.36496;5.79958;;;1.13714;-0.466648;0.724202
32;1;6.324;9.21021;6.47774;3.32616;3.32679;;;-2.42441;-1.67885;-1.78078
33;1;6.324;4.95591;6.42138;6.78765;5.79958;;;1.1492;-1.10426;1.7868
34;1;6.324;6.61157;6.42817;4.4496;4.46122;;;-0.241561;-1.22504;-0.695378
35;1;6.324;4.77825;6.37128;6.27085;5.79958;;;1.29843;-0.575823;0.769994
36;1;6.324;8.73155;6.44995;3.46183;3.467;;;-2.02234;-1.58699;-1.66038
37;1;6.324;4.50954;6.38736;6.98201;5.79958;;;1.52414;-0.824922;1.77324
38;1;6.324;6.20909;6.38179;4.81515;4.81812;;;0.0965278;-0.776658;-0.713808
39;1;6.324;4.81271;6.33424;6.52676;5.79958;;;1.26949;-0.141914;0.58648
40;1;6.324;8.40697;6.3952;4.13092;4.14256;;;-1.74969;-1.01676;-1.50959
41;1;6.324;5.01374;6.35573;7.07307;5.79958;;;1.10062;-0.466449;1.42516
42;1;6.324;6.3483;6.35552;5.29071;5.30248;;;-0.0204162;-0.476657;-0.560519
43;1;6.324;5.6291;6.33589;6.33008;5.79958;;;0.583717;-0.184799;0.302067
44;1;6.324;8.47457;6.39217;4.38496;4.39749;;;-1.80647;-1.08804;-1.1951
45;1;6.324;5.24407;6.36273;6.87355;5.79958;;;0.907138;-0.634467;1.35681
46;1;6.324;6.48476;6.36578;5.12664;5.13677;;;-0.135042;-0.701988;-0.52109
47;1;6.324;5.41723;6.34265;6.30613;5.79958;;;0.761683;-0.321146;0.448363
48;1;6.324;8.67116;6.39809;4.02595;4.02784;;;-1.97161;-1.30695;-1.36665
49;1;6.324;4.92651;6.36387;6.95314;5.79958;;;1.17389;-0.720008;1.57275
50;1;6.324;6.3389;6.3633;5.00691;5.00931;;;-0.0125194;-0.726268;-0.593204
51;1;6.324;5.18873;6.3372;6.37597;5.79958;;;0.953625;-0.249455;0.483072
52;1;6.324;8.76437;6.38996;3.93828;3.93862;;;-2.04991;-1.27441;-1.50177
53;1;6.324;5.16595;6.36392;6.86202;5.79958;;;0.972759;-0.78803;1.51133
54;1;6.324;6.46214;6.36597;4.95566;4.95833;;;-0.116037;-0.846048;-0.544398
55;1;6.324;5.37589;6.34576;6.18069;5.79958;;;0.796413;-0.447842;0.456225
56;1;6.324;8.86724;6.39619;3.74855;3.76017;;;-2.13632;-1.516;-1.46637
57;1;6.324;4.53142;6.35963;7.09512;5.79958;;;1.50577;-0.763116;1.82104
58;1;6.324;6.53493;6.363;4.66457;4.66516;;;-0.17718;-0.851706;-0.841475
59;1;6.324;4.89026;6.33521;6.53583;5.79958;;;1.20434;-0.249535;0.690761
60;1;6.324;8.99736;6.38451;3.65441;3.6582;;;-2.24562;-1.37234;-1.72498
61;1;6.324;4.87581;6.35708;7.05923;5.79958;;;1.21648;-0.764105;1.73105
62;1;6.324;6.65927;6.36247;4.72367;4.72889;;;-0.281626;-0.904918;-0.749052
63;1;6.324;4.97002;6.33805;6.4806;5.79958;;;1.13734;-0.336247;0.709485
64;1;6.324;8.90945;6.38238;3.66098;3.67095;;;-2.17178;-1.42214;-1.65456
65;1;6.324;4.56232;6.35153;7.18569;5.79958;;;1.47981;-0.682232;1.82579
66;1;6.324;6.69238;6.35721;4.65137;4.65241;;;-0.309438;-0.836951;-0.894623
67;1;6.324;4.9061;6.33342;6.60594;5.79958;;;1.19103;-0.241434;0.750236
68;1;6.324;8.93044;6.37531;3.71467;3.72193;;;-2.18941;-1.33614;-1.69022
69;1;6.324;4.96862;6.35298;7.00422;5.79958;;;1.13852;-0.766879;1.66396
70;1;6.324;6.53517;6.35583;4.84427;4.85635;;;-0.177379;-0.855569;-0.657948
71;1;6.324;5.12663;6.33692;6.37133;5.79958;;;1.00579;-0.352673;0.591585
72;1;6.324;8.65397;6.37203;3.88405;3.88763;;;-1.95718;-1.33126;-1.48148
73;1;6.324;5.29327;6.35592;6.67222;5.79958;;;0.865815;-0.898354;1.4115
74;1;6.324;6.65394;6.36031;4.76838;4.77988;;;-0.277147;-1.03693;-0.571481
75;1;6.324;4.94457;6.33979;6.36366;5.79958;;;1.15872;-0.457565;0.717936
76;1;6.324;8.86782;6.3759;3.55728;3.56897;;;-2.13681;-1.52597;-1.64777
77;1;6.324;4.57693;6.35057;7.05444;5.79958;;;1.46754;-0.7922;1.80217
78;1;6.324;6.68591;6.35522;4.55193;4.56319;;;-0.304001;-0.9442;-0.88577
79;1;6.324;4.97819;6.33636;6.44695;5.79958;;;1.13048;-0.378962;0.717239
80;1;6.324;8.87812;6.37071;3.643;3.64545;;;-2.14546;-1.45169;-1.63797
81;1;6.324;4.56584;6.34664;7.14059;5.79958;;;1.47686;-0.713264;1.81116
82;1;6.324;6.53681;6.34915;4.72759;4.72889;;;-0.178765;-0.802646;-0.827811
83;1;6.324;4.88975;6.33019;6.58602;5.79958;;;1.20477;-0.200262;0.691766
84;1;6.324;8.67148;6.36021;3.92507;3.92587;;;-1.97188;-1.1862;-1.58832
85;1;6.324;5.07729;6.34397;6.9715;5.79958;;;1.04723;-0.662586;1.50956
86;1;6.324;6.51552;6.34611;5.00756;5.00931;;;-0.160879;-0.743025;-0.604057
87;1;6.324;5.26621;6.33278;6.38071;5.79958;;;0.888545;-0.298753;0.524712
88;1;6.324;8.60451;6.36049;4.03023;4.04059;;;-1.91563;-1.25657;-1.40209
89;1;6.324;5.00202;6.34412;6.92419;5.79958;;;1.11046;-0.701339;1.51305
90;1;6.324;6.85056;6.35015;4.70937;4.71615;;;-0.442307;-0.922492;-0.776383
91;1;6.324;5.12413;6.33572;6.43858;5.79958;;;1.00789;-0.418545;0.725101
92;1;6.324;8.90284;6.36557;3.6479;3.6582;;;-2.16622;-1.50166;-1.58706
93;1;6.324;4.97447;6.34958;6.82314;5.79958;;;1.13361;-0.934852;1.64992
94;1;6.324;6.59623;6.35239;4.63722;4.63967;;;-0.228677;-1.04919;-0.681142
95;1;6.324;4.96731;6.33682;6.3117;5.79958;;;1.13962;-0.47938;0.684148
96;1;6.324;8.92194;6.36555;3.50821;3.51799;;;-2.18227;-1.57052;-1.66095
97;1;6.324;4.55326;6.34563;7.04872;5.79958;;;1.48742;-0.826808;1.83485
98;1;6.324;6.589;6.34828;4.57328;4.57594;;;-0.222603;-0.938109;-0.855011
99;1;6.324;4.89588;6.33266;6.46831;5.79958;;;1.19962;-0.338299;0.711112
100;1;6.324;8.68664;6.3577;3.77929;3.78566;;;-1.98462;-1.33061;-1.59212
101;1;6.324;4.71832;6.34045;7.07756;5.79958;;;1.34877;-0.656224;1.66669
102;1;6.324;6.51124;6.34223;4.86607;4.8691;;;-0.157284;-0.734866;-0.753027
103;1;6.324;5.11012;6.32952;6.49321;5.79958;;;1.01966;-0.225037;0.58847
104;1;6.324;8.90669;6.35582;3.83291;3.83665;;;-2.16946;-1.30977;-1.59456
105;1;6.324;4.80921;6.3402;7.12902;5.79958;;;1.27243;-0.673552;1.72094
106;1;6.324;6.44082;6.34121;4.9348;4.94558;;;-0.0981263;-0.722615;-0.685277
107;1;6.324;5.06278;6.32855;6.50807;5.79958;;;1.05942;-0.192905;0.578773
108;1;6.324;8.7071;6.35187;3.98088;3.9896;;;-2.0018;-1.1938;-1.53061
109;1;6.324;5.1235;6.33994;6.94744;5.79958;;;1.00842;-0.689593;1.50511
110;1;6.324;6.49226;6.34141;5.01578;5.02206;;;-0.141341;-0.760263;-0.574883
111;1;6.324;5.14753;6.33004;6.43441;5.79958;;;0.988232;-0.266147;0.564787
112;1;6.324;8.2602;6.34824;4.24712;4.25728;;;-1.62641;-1.07935;-1.30732
113;1;6.324;4.79473;6.33373;7.09776;5.79958;;;1.28459;-0.437056;1.4555
114;1;6.324;6.19045;6.3324;5.33547;5.34072;;;0.112185;-0.380964;-0.586202
115;1;6.324;5.50814;6.32484;6.44173;5.79958;;;0.685322;-0.0383027;0.286568
116;1;6.324;8.07165;6.34072;4.75464;4.76713;;;-1.46802;-0.772314;-1.07667
117;1;6.324;4.88093;6.32757;7.26699;5.79958;;;1.21218;-0.166224;1.3401
118;1;6.324;6.16753;6.32614;5.65809;5.65937;;;0.131438;-0.100505;-0.540371
119;1;6.324;6.0835;6.32399;6.32132;5.79958;;;0.202023;0.00050652;0.0352922
120;1;6.324;8.27836;6.34113;4.89453;4.89459;;;-1.64166;-0.820325;-0.921842
121;1;6.324;4.87772;6.32841;7.30797;5.79958;;;1.21487;-0.212889;1.42827
122;1;6.324;6.19911;6.32729;5.5886;5.59564;;;0.104908;-0.160435;-0.554982
123;1;6.324;5.95713;6.32413;6.36058;5.79958;;;0.308171;-0.00634956;0.101632
124;1;6.324;8.09521;6.33914;4.95914;4.97107;;;-1.48781;-0.750256;-0.897992
125;1;6.324;5.04918;6.3283;7.18453;5.79958;;;1.07085;-0.21483;1.27933
126;1;6.324;6.0738;6.32618;5.74388;5.7486;;;0.210171;-0.109744;-0.43034
127
