PS100;PS80;PS60;PS40;PS20
0;0;0;0;1;
0;0.236364;0.309091;0.454545;0;
0;0;0;0;1;
0;0;0;0.945455;0.0545455;
0;0;0;0;1;
0;0;0;0.213636;0.786364;
0;0;0;0;1;
0;0;0;0.422727;0.577273;
0;0;0;0.463636;0.536364;
0;0;0.0681818;0.931818;0;
0;0;0;0.877273;0.122727;
0;0;0.468182;0.531818;0;
0;0;0;0.936364;0.0636364;
0;0;0.459091;0.540909;0;
0;0;0;0.881818;0.118182;
0;0;0.595455;0.404545;0;
0;0;0;0.85;0.15;
0;0;0.622727;0.377273;0;
0;0;0;0.922727;0.0772727;
0;0;0.695455;0.304545;0;
0;0;0;0;1;
0.0772727;0.254545;0.668182;0;0;
0;0;0;0;1;
0.00909091;0.00454545;0.309091;0.677273;0;
0;0;0;0;1;
0;0;0;0.931818;0.0681818;
0;0;0;0;1;
0.00909091;0.0181818;0.190909;0.781818;0;
0;0;0;0;1;
0.0136364;0.0590909;0.631818;0.295455;0;
0;0;0;0;1;
0.0227273;0.281818;0.695455;0;0;
0;0;0;0;1;
0.05;0.381818;0.568182;0;0;
0;0;0;0.0863636;0.913636;
0.00454545;0.586364;0.409091;0;0;
0;0;0;0.240909;0.759091;
0.00909091;0.522727;0.468182;0;0;
0;0;0;0.536364;0.463636;
0.0454545;0.490909;0.245455;0.218182;0;
0;0;0;0.840909;0.159091;
0.0272727;0.113636;0.718182;0.140909;0;
0;0;0;0.981818;0.0181818;
0;0;0.9;0.1;0;
0;0;0;0.909091;0.0909091;
0;0;0.836364;0.163636;0;
0;0;0;0.859091;0.140909;
0;0;0.836364;0.163636;0;
0;0;0;0.831818;0.168182;
0;0.0136364;0.822727;0.163636;0;
0;0;0;0.845455;0.154545;
0;0.0181818;0.831818;0.15;0;
0;0;0;0.854545;0.145455;
0;0.00454545;0.854545;0.140909;0;
0;0;0;0.863636;0.136364;
0;0.00454545;0.863636;0.131818;0;
0;0;0;0.845455;0.154545;
0;0;0.3;0.7;0;
0;0;0;0.359091;0.640909;
0.0227273;0.0545455;0.336364;0.586364;0;
0;0;0;0;1;
0.0727273;0.127273;0.195455;0.604545;0;
0;0;0;0;1;
0.0272727;0.159091;0.154545;0.659091;0;
0;0;0;0;1;
0;0;0.204545;0.795455;0;
0;0;0;0;1;
0;0;0.0136364;0.986364;0;
0;0;0;0;1;
0;0;0;0.945455;0.0545455;
0;0;0;0;1;
0;0;0.0681818;0.931818;0;
0;0;0;0;1;
0;0;0.0818182;0.918182;0;
0;0;0;0;1;
0;0;0.0954545;0.904545;0;
0;0;0;0;1;
0;0;0.113636;0.886364;0;
0;0;0;0;1;
0;0;0.218182;0.781818;0;
0;0;0;0;1;
0;0;0.272727;0.727273;0;
0;0;0;0;1;
0;0;0.304545;0.695455;0;
0;0;0;0;1;
0;0;0.286364;0.713636;0;
0;0;0;0;1;
0.00454545;0;0.463636;0.531818;0;
0;0;0;0;1;
0.00909091;0.00454545;0.904545;0.0818182;0;
0;0;0;0;1;
0.00454545;0.440909;0.554545;0;0;
0;0;0;0.222727;0.777273;
0.0545455;0.390909;0.554545;0;0;
0;0;0;0.481818;0.518182;
0.481818;0;0.0318182;0.486364;0;
0;0;0;0.945455;0.0545455;
0.00909091;0.0318182;0.959091;0;0;
0;0;0;0.95;0.05;
0.00909091;0.0272727;0.859091;0.104545;0;
0;0;0;0.672727;0.327273;
0.0181818;0.0409091;0.704545;0.236364;0;
0;0;0;0.263636;0.736364;
0.272727;0.0454545;0.177273;0.504545;0;
0;0;0;0;1;
0.0409091;0.163636;0.795455;0;0;
0;0;0;0;1;
0.0772727;0.140909;0.654545;0.127273;0;
0;0;0;0;1;
0;0.0636364;0.404545;0.531818;0;
0;0;0;0;1;
0;0;0;0.613636;0.386364;
0;0;0;0;1;
0;0;0;0;1;
0;0;0;0;1;
0;0;0;0.227273;0.772727;
0;0;0;0.459091;0.540909;
0;0;0;0.404545;0.595455;
0;0;0;0.972727;0.0272727;
0;0;0;0.309091;0.690909;
