POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;4.928;12.8779;12.8779;-0.47795;2.60198;;;-6.67794;-3.33897;-3.33897
8;1;4.928;1.67391;7.27592;7.14078;7.14362;;;2.73344;-1.97225;4.70569
9;1;4.928;12.2252;8.92566;-3.37303;2.60198;;;-6.12961;-5.03706;-4.43152
10;1;4.928;1.67558;7.11314;5.1674;5.16848;;;2.73204;-3.67104;4.43082
11;1;4.928;8.6645;7.42341;-2.64987;2.60198;;;-3.13866;-5.24037;-2.93535
12;1;4.928;1.68752;6.46743;3.46049;3.46536;;;2.72201;-3.87936;2.93033
13;1;4.928;2.48626;5.89869;1.34802;2.60198;;;2.05106;-2.85383;-0.335473
14;1;4.928;0.679072;5.24624;3.93791;3.93845;;;3.5691;-1.06928;0.75902
15;1;4.928;2.87291;4.98254;3.47163;3.47719;;;1.72628;-0.206145;-0.921412
16;1;4.928;2.24651;4.70893;5.68213;5.68888;;;2.25245;0.92008;0.263086
17;1;4.928;5.59498;4.78948;4.26831;4.26961;;;-0.560265;0.639947;-1.40636
18;1;4.928;3.25914;4.66195;6.9829;6.98987;;;1.40184;1.34087;0.981053
19;1;4.928;6.77877;4.82479;4.30942;4.31692;;;-1.55465;0.563543;-1.47825
20;1;4.928;3.47214;4.72817;7.25885;7.26189;;;1.22292;1.175;1.38878
21;1;4.928;6.73582;4.86201;4.26223;4.26961;;;-1.51857;0.41572;-1.37074
22;1;4.928;2.85486;4.73657;7.51274;7.52209;;;1.74144;1.28644;1.63
23;1;4.928;6.166;4.82065;4.50188;4.50616;;;-1.03992;0.766476;-1.39068
24;1;4.928;3.27965;4.73504;7.33531;7.34468;;;1.38461;1.45878;1.21227
25;1;4.928;6.33888;4.81945;4.73508;4.7427;;;-1.18514;0.866211;-1.28488
26;1;4.928;3.46602;4.75178;7.38093;7.39199;;;1.22806;1.48024;1.2066
27;1;4.928;17.474;5.3576;-2.73708;2.60198;;;-10.5387;-3.78908;-5.88336
28;1;4.928;1.28736;5.17259;8.88388;8.89404;;;3.05814;-2.26001;6.79839
29;1;4.928;12.0315;5.4708;-3.69147;2.60198;;;-5.96695;-5.24349;-4.51254
30;1;4.928;0.644897;5.26972;5.5805;5.58243;;;3.59781;-3.44459;4.78238
31;1;4.928;6.57531;5.32195;-1.43566;2.60198;;;-1.38374;-4.13645;-2.49077
32;1;4.928;0.735637;5.14555;4.33422;4.34058;;;3.52158;-2.37566;2.45266
33;1;4.928;4.49161;5.12133;1.08829;2.60198;;;0.366568;-2.19238;-1.57751
34;1;4.928;0.671948;4.96242;5.44645;5.45233;;;3.57508;-0.404836;1.60426
35;1;4.928;5.43565;4.97874;2.39042;2.60198;;;-0.426422;-0.618047;-2.00075
36;1;4.928;0.7983;4.83939;7.33136;7.33285;;;3.46895;1.11643;1.94768
37;1;4.928;8.39977;4.95425;1.94915;2.60198;;;-2.91629;-0.341717;-3.19262
38;1;4.928;0.805864;4.82461;8.84748;8.85856;;;3.46259;1.38958;3.18944
39;1;4.928;8.19519;4.92675;2.36459;2.60198;;;-2.74444;0.017359;-3.10352
40;1;4.928;0.85487;4.80699;9.08731;9.0951;;;3.42143;1.72807;3.08294
41;1;4.928;8.2653;4.9058;2.676;2.68477;;;-2.80333;0.326408;-3.11238
42;1;4.928;0.955751;4.79607;9.3572;9.36713;;;3.33669;1.99475;3.07001
43;1;4.928;8.30947;4.89103;2.95501;2.9568;;;-2.84043;0.574535;-3.08856
44;1;4.928;1.35919;4.79809;9.34954;9.3553;;;2.9978;2.07343;2.91912
45;1;4.928;7.74202;4.87357;3.589;3.59546;;;-2.36377;0.891547;-2.68078
46;1;4.928;1.98433;4.80134;9.00313;9.01231;;;2.47268;2.12789;2.41823
47;1;4.928;7.54525;4.86826;4.03982;4.0449;;;-2.19849;1.02864;-2.33559
48;1;4.928;2.76689;4.81823;8.52544;8.5274;;;1.81533;1.93631;2.00691
49;1;4.928;7.39982;4.87827;4.27581;4.28144;;;-2.07633;0.898145;-1.94583
50;1;4.928;2.88562;4.83298;8.25313;8.25537;;;1.7156;1.75595;1.89596
51;1;4.928;6.37591;4.86727;4.84157;4.84915;;;-1.21624;1.14782;-1.46592
52;1;4.928;3.81842;4.84447;7.43846;7.4393;;;0.932045;1.61385;1.07414
53;1;4.928;6.7376;4.88475;4.84529;4.84915;;;-1.52007;0.853813;-1.22606
54;1;4.928;3.60643;4.85812;7.44052;7.45113;;;1.11012;1.40887;1.3151
55;1;4.928;6.67281;4.89515;4.59534;4.60077;;;-1.46564;0.676054;-1.28788
56;1;4.928;3.35071;4.86426;7.40943;7.41564;;;1.32492;1.33852;1.39528
57;1;4.928;6.43927;4.89514;4.57639;4.57712;;;-1.26946;0.703784;-1.29719
58;1;4.928;3.23762;4.86327;7.41598;7.42747;;;1.41992;1.41374;1.34469
59;1;4.928;6.42395;4.89272;4.61453;4.62443;;;-1.2566;0.785444;-1.33826
60;1;4.928;3.3887;4.86486;7.38847;7.39199;;;1.29301;1.43195;1.27481
61;1;4.928;6.45916;4.89385;4.67226;4.68356;;;-1.28617;0.788862;-1.28959
62;1;4.928;3.37687;4.86676;7.41472;7.41564;;;1.30295;1.44034;1.29456
63;1;4.928;6.52535;4.89586;4.63066;4.63626;;;-1.34178;0.769448;-1.32236
64;1;4.928;5.01586;4.89793;6.30859;6.31572;;;-0.073799;0.732548;0.633989
65;1;4.928;8.34815;4.95641;3.37174;3.38257;;;-2.87293;-0.703916;-1.39956
66;1;4.928;2.91346;4.92236;7.03044;7.03717;;;1.69222;0.142192;2.28257
67;1;4.928;9.54952;4.99821;1.08145;2.60198;;;-3.88208;-1.79885;-2.78715
68;1;4.928;1.6478;4.94417;7.30073;7.3092;;;2.75537;-0.421163;3.31873
69;1;4.928;9.96764;5.02391;-0.297804;2.60198;;;-4.2333;-2.53781;-3.49433
70;1;4.928;1.39517;4.96721;6.90916;6.9189;;;2.96758;-1.05402;3.60044
71;1;4.928;9.49951;5.03694;-0.718441;2.60198;;;-3.84007;-2.97406;-3.40382
72;1;4.928;1.56498;4.98433;6.16083;6.16196;;;2.82494;-1.56159;3.33251
73;1;4.928;8.53757;5.03737;-0.50057;2.60198;;;-3.03204;-3.07761;-2.92849
74;1;4.928;1.29794;4.98238;5.83485;5.84263;;;3.04925;-1.55299;3.04065
75;1;4.928;8.35546;5.03126;-0.480282;2.60198;;;-2.87906;-2.99252;-2.96416
76;1;4.928;1.71389;4.98387;5.56061;5.5706;;;2.69985;-1.64259;2.78946
77;1;4.928;8.61053;5.03495;-0.568638;2.60198;;;-3.09332;-3.18925;-2.89659
78;1;4.928;1.67692;4.98831;5.49614;5.49964;;;2.7309;-1.8238;2.91211
79;1;4.928;8.21104;5.03246;-0.493722;2.60198;;;-2.75775;-3.20268;-2.74433
80;1;4.928;1.74373;4.98802;5.2695;5.27492;;;2.67478;-1.86529;2.71627
81;1;4.928;7.39836;5.02015;0.0454777;2.60198;;;-2.0751;-2.90284;-2.37494
