PS100;PS80;PS60;PS40;PS20
0;0.733;0.267;0;0;
0.007;0.26;0.733;0;0;
0.004;0.574;0.422;0;0;
0.002;0.115;0.883;0;0;
0.001;0;0.975;0.024;0;
0.001;0.011;0.496;0.492;0;
0.004;0.239;0.757;0;0;
0.004;0;0.327;0.669;0;
0.001;0.4;0.599;0;0;
0.001;0;0.029;0.97;0;
0.001;0.973;0.026;0;0;
0.001;0;0.313;0.686;0;
0.001;0.905;0.094;0;0;
0.001;0.008;0.345;0.646;0;
0.058;0.942;0;0;0;
0.001;0.002;0.655;0.342;0;
0.001;0.65;0.349;0;0;
0.001;0.002;0.591;0.406;0;
0.008;0.658;0.334;0;0;
0.005;0.002;0.774;0.219;0;
0.004;0.313;0.683;0;0;
0.002;0.002;0.542;0.454;0;
0.002;0.556;0.442;0;0;
0.002;0.005;0.645;0.348;0;
0.003;0.362;0.635;0;0;
0.002;0.002;0.39;0.606;0;
0.002;0.64;0.358;0;0;
0.01;0.02;0.204;0.766;0;
0.001;0.86;0.139;0;0;
0.001;0.001;0.049;0.949;0;
0.155;0.845;0;0;0;
0.004;0.011;0.3;0.685;0;
0.031;0.969;0;0;0;
0.004;0.004;0.216;0.776;0;
0.174;0.826;0;0;0;
0.007;0.017;0.384;0.592;0;
0.002;0.861;0.137;0;0;
0.002;0.003;0.357;0.638;0;
0.003;0.887;0.11;0;0;
0.002;0;0.598;0.4;0;
0.003;0.537;0.46;0;0;
0.001;0.002;0.343;0.654;0;
0.002;0.79;0.208;0;0;
0.001;0.001;0.514;0.484;0;
0.002;0.489;0.509;0;0;
0.001;0.001;0.228;0.77;0;
0.006;0.763;0.231;0;0;
0.002;0.002;0.366;0.63;0;
0.001;0.618;0.381;0;0;
0.001;0;0.129;0.87;0;
0.001;0.97;0.029;0;0;
0.001;0.001;0.303;0.695;0;
0.008;0.812;0.18;0;0;
0.004;0.003;0.195;0.798;0;
0.039;0.961;0;0;0;
0.004;0.004;0.456;0.536;0;
0.003;0.771;0.226;0;0;
0.003;0.002;0.348;0.647;0;
0.002;0.884;0.114;0;0;
0.001;0.002;0.598;0.399;0;
0.001;0.568;0.431;0;0;
0.001;0.004;0.392;0.603;0;
0.001;0.746;0.253;0;0;
0.002;0.004;0.535;0.459;0;
0.003;0.509;0.488;0;0;
0.001;0.004;0.295;0.7;0;
0.003;0.835;0.162;0;0;
0.003;0;0.418;0.579;0;
0.003;0.537;0.46;0;0;
0.002;0.002;0.25;0.746;0;
0.002;0.818;0.18;0;0;
0.001;0.001;0.368;0.63;0;
0.001;0.698;0.301;0;0;
0.001;0;0.224;0.775;0;
0.002;0.978;0.02;0;0;
0.001;0.001;0.487;0.511;0;
0.001;0.722;0.277;0;0;
0.001;0.01;0.353;0.636;0;
0.005;0.771;0.224;0;0;
0.003;0;0.502;0.495;0;
0.003;0.592;0.405;0;0;
0.003;0.001;0.268;0.728;0;
0.002;0.877;0.121;0;0;
0.002;0;0.524;0.474;0;
0.002;0.585;0.413;0;0;
0.002;0.004;0.309;0.685;0;
0.003;0.863;0.134;0;0;
0.003;0;0.482;0.515;0;
0.005;0.609;0.386;0;0;
0.002;0.003;0.359;0.636;0;
0.003;0.831;0.166;0;0;
0.003;0;0.573;0.424;0;
0.003;0.579;0.418;0;0;
0.002;0.006;0.444;0.548;0;
0.002;0.772;0.226;0;0;
0.004;0.003;0.672;0.321;0;
0.003;0.459;0.538;0;0;
0.003;0;0.489;0.508;0;
0.004;0.662;0.334;0;0;
0.004;0.001;0.618;0.377;0;
0.002;0.422;0.576;0;0;
0.002;0.002;0.409;0.587;0;
0.002;0.668;0.33;0;0;
0.002;0.001;0.557;0.44;0;
0.002;0.491;0.507;0;0;
0.002;0.001;0.311;0.686;0;
0.002;0.794;0.204;0;0;
0.002;0.003;0.472;0.523;0;
0.003;0.598;0.399;0;0;
0.001;0.004;0.297;0.698;0;
0.002;0.905;0.093;0;0;
0.002;0.01;0.465;0.523;0;
0.004;0.672;0.324;0;0;
0.002;0.001;0.339;0.658;0;
0.002;0.875;0.123;0;0;
0.002;0.002;0.587;0.409;0;
0.005;0.536;0.459;0;0;
0.003;0.002;0.378;0.617;0;
0.001;0.803;0.196;0;0;
0.001;0.001;0.555;0.443;0;
