PS100;PS80;PS60;PS40;PS20
1;0;0;0;0;
0;0;0.0549451;0.945055;0;
1;0;0;0;0;
0;0;0.21978;0.78022;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
0.373626;0.626374;0;0;0;
0;0;0;1;0;
0.340659;0.659341;0;0;0;
0;0;0;1;0;
0.142857;0.362637;0.494505;0;0;
0;0;0;1;0;
0.186813;0.725275;0.0879121;0;0;
0;0;0;1;0;
0.142857;0.549451;0.307692;0;0;
0;0;0;1;0;
0.120879;0.714286;0.164835;0;0;
0;0;0;1;0;
0.164835;0.241758;0.593407;0;0;
0;0;0;1;0;
0.0879121;0.384615;0.527473;0;0;
0;0;0;1;0;
0;0.241758;0.32967;0.428571;0;
0;0;0;1;0;
0;0.208791;0.32967;0.461538;0;
0;0;0;1;0;
0;0;0.516484;0.483516;0;
0;0;0;1;0;
0;0.208791;0.340659;0.450549;0;
0;0;0;1;0;
0;0.21978;0.373626;0.406593;0;
0;0;0;1;0;
0;0.340659;0.296703;0.362637;0;
0;0;0;1;0;
0;0.043956;0.593407;0.362637;0;
0;0;0;1;0;
0;0.142857;0.516484;0.340659;0;
0;0;0;1;0;
0;0;0.428571;0.571429;0;
0;0;0;1;0;
0;0;0.571429;0.428571;0;
0;0;0;1;0;
0;0;0.538462;0.461538;0;
0;0;0;1;0;
0;0.032967;0.659341;0.307692;0;
0;0;0;1;0;
0;0;0.56044;0.43956;0;
0;0;0;1;0;
0;0;0.626374;0.373626;0;
0;0;0;1;0;
0;0;0.395604;0.604396;0;
0;0;0;1;0;
0;0;0.593407;0.406593;0;
0;0;0;1;0;
0;0.010989;0.648352;0.340659;0;
0;0;0;1;0;
0;0.285714;0.32967;0.384615;0;
0;0;0;1;0;
0;0;0.593407;0.406593;0;
0;0;0;1;0;
0;0;0.604396;0.395604;0;
0;0;0;1;0;
0;0;0.417582;0.582418;0;
0;0;0;1;0;
0;0;0.604396;0.395604;0;
0;0;0;1;0;
0;0;0.593407;0.406593;0;
0;0;0;1;0;
0;0.274725;0.32967;0.395604;0;
0;0;0;1;0;
0;0;0.648352;0.351648;0;
0;0;0;1;0;
0;0.274725;0.340659;0.384615;0;
0;0;0;1;0;
0;0.164835;0.428571;0.406593;0;
0;0;0;1;0;
0.10989;0.197802;0.340659;0.351648;0;
0;0;0;1;0;
0.0549451;0.208791;0.318681;0.417582;0;
0;0;0;1;0;
0.131868;0.197802;0.285714;0.384615;0;
0;0;0;1;0;
0;0.274725;0.285714;0.43956;0;
0;0;0;1;0;
0.0549451;0.274725;0.197802;0.472527;0;
0;0;0;1;0;
0;0.296703;0.208791;0.494505;0;
0;0;0;1;0;
0.10989;0.197802;0.472527;0.21978;0;
0;0;0;1;0;
0.142857;0.175824;0.406593;0.274725;0;
0;0;0;1;0;
0.164835;0.153846;0.681319;0;0;
0;0;0;1;0;
0.120879;0.164835;0.384615;0.32967;0;
0;0;0;1;0;
0.131868;0.186813;0.186813;0.494505;0;
0;0;0;1;0;
0;0.153846;0.373626;0.472527;0;
0;0;0;1;0;
0;0.373626;0.164835;0.461538;0;
0;0;0;1;0;
0;0.263736;0.285714;0.450549;0;
0;0;0;1;0;
0.153846;0.175824;0.32967;0.340659;0;
0;0;0;1;0;
0;0.252747;0.417582;0.32967;0;
0;0;0;1;0;
0;0.197802;0.450549;0.351648;0;
0;0;0;1;0;
0;0.010989;0.549451;0.43956;0;
0;0;0;1;0;
0.010989;0.230769;0.296703;0.461538;0;
0;0;0;1;0;
0;0.021978;0.604396;0.373626;0;
0;0;0;1;0;
0;0.208791;0.406593;0.384615;0;
0;0;0;1;0;
