POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;5.874;3.57036;3.57036;7.44047;3.97105;;;1.93506;0.967528;0.967528
8;1;5.874;5.34636;4.45836;6.23279;3.97105;;;0.443216;1.18914;-0.74592
9;1;5.874;4.36241;4.42638;7.86941;3.97105;;;1.26974;1.82401;0.413262
10;1;5.874;4.52429;4.45085;7.98094;3.97105;;;1.13376;2.39089;-0.06799
11;1;5.874;4.47721;4.45613;8.64782;3.97105;;;1.1733;2.97754;0.0197707
12;1;5.874;5.74584;4.67108;8.35204;3.97105;;;0.107656;3.03136;-0.532822
13;1;5.874;4.59651;4.66043;9.72023;3.97105;;;1.07309;3.56791;0.482718
14;1;5.874;4.59494;4.65224;9.77512;3.97105;;;1.07441;4.10511;0.00065856
15;1;5.874;4.53617;4.63934;10.3516;3.97105;;;1.12378;4.667;0.0246834
16;1;5.874;5.76743;4.75215;10.0516;3.97105;;;0.0895205;4.71176;-0.517128
17;1;5.874;4.60683;4.73894;11.4027;3.97105;;;1.06442;5.24397;0.487451
18;1;5.874;4.68051;4.73407;11.3973;3.97105;;;1.00253;5.74524;-0.0309435
19;1;5.874;4.60853;4.72441;11.9785;3.97105;;;1.06299;6.27674;0.0302287
20;1;5.874;5.94108;4.81132;11.5736;3.97105;;;-0.0563489;6.24856;-0.559671
21;1;5.874;4.70406;4.80417;12.9463;3.97105;;;0.982751;6.73994;0.51955
22;1;5.874;4.81504;4.80485;12.8427;3.97105;;;0.889527;7.1847;-0.046612
23;1;5.874;4.75742;4.80206;13.3732;3.97105;;;0.937925;7.65366;0.0241987
24;1;5.874;6.17391;4.87827;12.8548;3.97105;;;-0.251927;7.5277;-0.594926
25;1;5.874;4.8635;4.87749;14.2148;3.97105;;;0.848821;7.95211;0.550374
26;1;5.874;4.98706;4.88297;14.0048;3.97105;;;0.74503;8.32463;-0.0518956
27;1;5.874;4.94839;4.88609;14.4555;3.97105;;;0.777514;8.71338;0.0162422
28;1;5.874;6.31905;4.95122;13.896;3.97105;;;-0.373839;8.52646;-0.575676
29;1;5.874;4.98739;4.95279;15.1903;3.97105;;;0.744754;8.89884;0.559296
30;1;5.874;5.04596;4.95668;14.9635;3.97105;;;0.695554;9.24662;-0.0246002
31;1;5.874;4.97662;4.95747;15.3831;3.97105;;;0.753798;9.62352;0.029122
32;1;5.874;6.48929;5.01639;14.7022;3.97105;;;-0.516841;9.3651;-0.635319
33;1;5.874;5.05967;5.01799;16.0513;3.97105;;;0.684035;9.70711;0.600438
34;1;5.874;5.222;5.02528;15.6825;3.97105;;;0.547683;9.98096;-0.0681757
35;1;5.874;5.12195;5.02861;16.0925;3.97105;;;0.631725;10.2968;0.0420206
36;1;5.874;6.67759;5.08358;15.3085;3.97105;;;-0.675014;9.95931;-0.653369
37;1;5.874;5.17542;5.08654;16.6459;3.97105;;;0.586811;10.2527;0.630913
38;1;5.874;5.25653;5.09185;16.2532;3.97105;;;0.518674;10.5121;-0.0340687
39;1;5.874;5.15409;5.09374;16.6163;3.97105;;;0.604724;10.8144;0.0430252
40;1;5.874;6.89914;5.14684;15.689;3.97105;;;-0.861122;10.3839;-0.732923
41;1;5.874;5.18069;5.14781;17.1599;3.97105;;;0.582378;10.675;0.72175
42;1;5.874;5.29015;5.15176;16.6549;3.97105;;;0.490435;10.9203;-0.0459715
43;1;5.874;5.29205;5.15555;16.9448;3.97105;;;0.488838;11.1647;-0.00079842
44;1;5.874;7.03443;5.205;16.0052;3.97105;;;-0.974763;10.6773;-0.7318
45;1;5.874;5.29001;5.20718;17.4358;3.97105;;;0.490549;10.9226;0.732656
46;1;5.874;5.32345;5.21008;16.9257;3.97105;;;0.462465;11.1538;-0.0140419
47;1;5.874;5.36037;5.21375;17.1458;3.97105;;;0.431448;11.3695;-0.0155085
48;1;5.874;7.21668;5.26144;16.1148;3.97105;;;-1.12785;10.8056;-0.779648
49;1;5.874;5.2916;5.26214;17.6396;3.97105;;;0.48922;11.0502;0.808534
50;1;5.874;5.32575;5.26358;17.0524;3.97105;;;0.460528;11.2805;-0.0143459
51;1;5.874;5.32403;5.26493;17.2982;3.97105;;;0.461971;11.5115;0.00072156
52;1;5.874;7.1564;5.30605;16.2824;3.97105;;;-1.07722;10.9729;-0.769595
53;1;5.874;5.42809;5.30864;17.6887;3.97105;;;0.374566;11.1601;0.725893
54;1;5.874;5.53212;5.3133;17.0793;3.97105;;;0.287182;11.3037;-0.0436922
55;1;5.874;5.45644;5.31622;17.3181;3.97105;;;0.350748;11.4791;0.0317831
56;1;5.874;7.12884;5.35247;16.3244;3.97105;;;-1.05406;10.9521;-0.702405
57;1;5.874;5.46564;5.35469;17.6308;3.97105;;;0.343022;11.1236;0.698542
58;1;5.874;5.44222;5.35637;17.1197;3.97105;;;0.362696;11.3049;0.00983724
59;1;5.874;5.38613;5.35694;17.3293;3.97105;;;0.40981;11.5098;0.023557
60;1;5.874;7.17931;5.39068;16.2913;3.97105;;;-1.09646;10.9616;-0.753134
61;1;5.874;5.44642;5.3917;17.6746;3.97105;;;0.359171;11.1412;0.727814
62;1;5.874;5.47476;5.39318;17.1071;3.97105;;;0.335358;11.3089;-0.0119062
63;1;5.874;5.40895;5.39346;17.3314;3.97105;;;0.390641;11.5042;0.0276415
64;1;5.874;7.08308;5.42259;16.3607;3.97105;;;-1.01563;10.9964;-0.703135
65;1;5.874;5.42228;5.42258;17.6854;3.97105;;;0.379443;11.1861;0.697536
66;1;5.874;5.49823;5.42384;17.1259;3.97105;;;0.31565;11.3439;-0.0318965
67;1;5.874;5.44757;5.42423;17.3501;3.97105;;;0.3582;11.523;0.0212751
68;1;5.874;7.18285;5.4526;16.3279;3.97105;;;-1.09943;10.9733;-0.728817
69;1;5.874;5.41457;5.45199;17.7094;3.97105;;;0.385919;11.1663;0.742676
70;1;5.874;5.46081;5.45213;17.1283;3.97105;;;0.347079;11.3398;-0.01942
71;1;5.874;5.44401;5.45201;17.3327;3.97105;;;0.361195;11.5204;0.0070581
