PS100;PS80;PS60;PS40;PS20
0;0.516484;0.483516;0;0;
0;0.032967;0.395604;0.571429;0;
0.0989011;0.593407;0.307692;0;0;
0;0;0;1;0;
0.0769231;0.373626;0.549451;0;0;
0;0;0;1;0;
0.0989011;0.10989;0.769231;0.021978;0;
0;0;0;1;0;
0.0769231;0.0879121;0.428571;0.406593;0;
0;0;0;1;0;
0.032967;0.120879;0.450549;0.395604;0;
0;0;0;1;0;
0.043956;0.153846;0.307692;0.494505;0;
0;0;0;1;0;
0.0549451;0.131868;0.648352;0.164835;0;
0;0;0;1;0;
0.043956;0.175824;0.725275;0.0549451;0;
0;0;0;1;0;
0.175824;0.120879;0.571429;0.131868;0;
0;0;0;1;0;
0.0659341;0.285714;0.186813;0.461538;0;
0;0;0;1;0;
0;0.131868;0.483516;0.384615;0;
0;0;0;1;0;
0;0;0.494505;0.505495;0;
0;0;0;1;0;
0;0;0.582418;0.417582;0;
0;0;0;1;0;
0;0;0.461538;0.538462;0;
0;0;0;1;0;
0;0.0659341;0.494505;0.43956;0;
0;0;0;1;0;
0;0.186813;0.296703;0.516484;0;
0;0;0;1;0;
0;0.296703;0.241758;0.461538;0;
0;0;0;1;0;
0;0.0879121;0.472527;0.43956;0;
0;0;0;1;0;
0;0.153846;0.406593;0.43956;0;
0;0;0;1;0;
0;0;0.527473;0.472527;0;
0;0;0;1;0;
0;0.10989;0.395604;0.494505;0;
0;0;0;1;0;
0;0;0.43956;0.56044;0;
0;0;0;1;0;
0;0.0989011;0.373626;0.527473;0;
0;0;0;1;0;
0;0.0989011;0.384615;0.516484;0;
0;0;0;1;0;
0.0549451;0.230769;0.175824;0.538462;0;
0;0;0;1;0;
0;0.197802;0.263736;0.538462;0;
0;0;0;1;0;
0.0549451;0.186813;0.252747;0.505495;0;
0;0;0;1;0;
0;0.21978;0.285714;0.494505;0;
0;0;0;1;0;
0;0.351648;0.142857;0.505495;0;
0;0;0;1;0;
0.043956;0.230769;0.186813;0.538462;0;
0;0;0;1;0;
0.131868;0.153846;0.274725;0.43956;0;
0;0;0;1;0;
0.10989;0.153846;0.296703;0.43956;0;
0;0;0;1;0;
0.0989011;0.142857;0.494505;0.263736;0;
0;0;0;1;0;
0;0.252747;0.32967;0.417582;0;
0;0;0;1;0;
0.0989011;0.10989;0.428571;0.362637;0;
0;0;0;1;0;
0.0549451;0.10989;0.494505;0.340659;0;
0;0;0;1;0;
0.120879;0.142857;0.494505;0.241758;0;
0;0;0;1;0;
0.120879;0.197802;0.208791;0.472527;0;
0;0;0;1;0;
0.0989011;0.186813;0.318681;0.395604;0;
0;0;0;1;0;
0;0.186813;0.351648;0.461538;0;
0;0;0;1;0;
0.0659341;0.175824;0.32967;0.428571;0;
0;0;0;1;0;
0.0769231;0.0769231;0.505495;0.340659;0;
0;0;0;1;0;
0.032967;0.10989;0.769231;0.0879121;0;
0;0;0;1;0;
0.0659341;0.164835;0.373626;0.395604;0;
0;0;0;1;0;
0.032967;0.252747;0.252747;0.461538;0;
0;0;0;1;0;
0;0.043956;0.494505;0.461538;0;
0;0;0;1;0;
0;0.10989;0.406593;0.483516;0;
0;0;0;1;0;
0;0;0.483516;0.516484;0;
0;0;0;1;0;
0;0.263736;0.186813;0.549451;0;
0;0;0;1;0;
0;0.142857;0.351648;0.505495;0;
0;0;0;1;0;
0.0879121;0.197802;0.263736;0.450549;0;
0;0;0;1;0;
0.0549451;0.208791;0.274725;0.461538;0;
0;0;0;1;0;
0.142857;0.175824;0.32967;0.351648;0;
0;0;0;1;0;
0.0549451;0.175824;0.428571;0.340659;0;
0;0;0;1;0;
0.021978;0.153846;0.681319;0.142857;0;
0;0;0;1;0;
0.043956;0.131868;0.307692;0.516484;0;
0;0;0;1;0;
0.021978;0.164835;0.230769;0.582418;0;
0;0;0;1;0;
0;0.0769231;0.296703;0.626374;0;
0;0;0;1;0;
0;0.131868;0.307692;0.56044;0;
0;0;0;1;0;
