POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;28.356;30.5706;30.5706;26.8501;26.8552;;;-1.86023;-0.930116;-0.930116
8;1;28.356;36.6714;33.621;22.7016;22.7078;;;-6.9849;-4.42257;-2.56233
9;1;28.356;30.1156;32.4525;26.2294;26.2375;;;-1.47803;-5.16158;2.75344
10;1;28.356;31.3168;32.1686;21.9201;21.9283;;;-2.48705;-6.40511;-0.504509
11;1;28.356;31.0022;31.9353;21.395;21.3989;;;-2.22281;-7.51651;0.132118
12;1;28.356;37.0172;32.7823;16.0613;16.0749;;;-7.27538;-11.1542;-2.52628
13;1;28.356;22.7961;31.3557;24.6202;24.6344;;;4.67033;-8.81904;5.97286
14;1;28.356;29.8803;31.1712;16.1653;16.1778;;;-1.2804;-9.45924;-2.97537
15;1;28.356;22.2149;30.1761;23.7129;23.7226;;;5.15849;-6.87999;3.21945
16;1;28.356;37.4428;30.9028;12.7177;14.1188;;;-7.63292;-10.6965;-6.39571
17;1;28.356;18.2352;29.7512;28.3581;28.37;;;8.50143;-6.44574;8.06718
18;1;28.356;30.54;29.8169;16.1744;16.1778;;;-1.8346;-7.36304;-5.16802
19;1;28.356;21.8607;29.2049;26.3271;26.3404;;;5.45606;-4.63501;3.64533
20;1;28.356;37.6553;29.8085;14.6694;14.6777;;;-7.81141;-8.54072;-6.63374
21;1;28.356;19.718;29.1358;29.5948;29.6054;;;7.25592;-4.91276;7.53367
22;1;28.356;33.5306;29.4105;16.2965;16.3102;;;-4.34668;-7.0861;-5.8013
23;1;28.356;22.2278;28.988;27.6104;27.62;;;5.14767;-4.51226;4.74718
24;1;28.356;38.8067;29.5335;14.1635;14.1777;;;-8.77856;-8.90154;-6.96311
25;1;28.356;19.0635;28.9824;30.1626;30.1643;;;7.80566;-4.99871;8.29211
26;1;28.356;35.6936;29.318;14.4649;14.4718;;;-6.16355;-8.08048;-6.98461
27;1;28.356;20.1025;28.8791;28.9696;28.973;;;6.93291;-4.61403;6.54823
28;1;28.356;41.3061;29.444;11.4694;14.1188;;;-10.8781;-10.0531;-8.9055
29;1;28.356;19.7972;29.0246;29.562;29.576;;;7.18942;-6.45836;9.03375
30;1;28.356;34.417;29.2493;14.1814;14.1924;;;-5.09126;-9.00399;-6.14034
31;1;28.356;19.7217;28.8682;27.769;27.7817;;;7.25282;-5.37758;6.17204
32;1;28.356;39.3274;29.2704;11.8915;14.1188;;;-9.21596;-9.98557;-8.23439
33;1;28.356;19.795;28.9195;28.7999;28.8112;;;7.19128;-6.38993;8.20362
34;1;28.356;33.1917;29.0721;15.0822;15.0895;;;-4.06196;-8.42091;-5.62662
35;1;28.356;21.4735;28.81;26.6461;26.6493;;;5.78127;-5.53028;4.92161
36;1;28.356;40.1092;29.1867;11.9429;14.1188;;;-9.87265;-10.4666;-7.82696
37;1;28.356;20.1334;28.8946;28.4171;28.4289;;;6.90701;-7.0131;8.38983
38;1;28.356;32.981;29.0223;14.7444;14.7512;;;-3.88503;-8.95561;-5.39602
39;1;28.356;21.9842;28.8091;25.6757;25.6786;;;5.35228;-6.27947;4.61865
40;1;28.356;41.7629;29.1901;10.2837;14.1188;;;-11.2618;-11.9104;-8.30703
41;1;28.356;20.7026;28.9476;27.2808;27.2817;;;6.42885;-8.69594;8.84532
42;1;28.356;34.6295;29.1054;12.1797;14.1188;;;-5.2697;-11.3308;-5.84928
43;1;28.356;20.8213;28.8815;24.7837;24.7962;;;6.32918;-8.1662;5.79944
44;1;28.356;43.4671;29.2653;6.74967;14.1188;;;-12.6933;-14.5129;-9.51125
45;1;28.356;21.2775;29.0605;25.0032;25.0168;;;5.94597;-11.5399;9.31965
46;1;28.356;35.945;29.2326;8.68263;14.1188;;;-6.37475;-14.7272;-6.16036
47;1;28.356;20.8803;29.0289;21.8996;21.9136;;;6.27955;-11.5875;6.32715
48;1;28.356;42.4033;29.3473;4.07662;14.1188;;;-11.7997;-17.4873;-9.03962
49;1;28.356;20.9354;29.1517;21.8145;21.8254;;;6.2333;-14.3707;9.0165
50;1;28.356;33.6653;29.2543;7.25834;14.1188;;;-4.45983;-16.6006;-5.34657
51;1;28.356;19.9968;29.0486;19.6696;19.6781;;;7.02169;-13.0897;5.74076
52;1;28.356;37.212;29.226;5.73336;14.1188;;;-7.43901;-16.8092;-7.23035
53;1;28.356;20.4718;29.0398;20.6275;20.6341;;;6.62275;-13.4979;7.03088
54;1;28.356;31.4255;29.0895;9.45947;14.1188;;;-2.57841;-14.7871;-4.60058
55;1;28.356;20.5638;28.9155;20.1568;20.1635;;;6.54541;-11.5144;4.56191
56;1;28.356;38.3281;29.1037;6.78787;14.1188;;;-8.37659;-15.7027;-7.461
57;1;28.356;20.9064;28.943;21.9074;21.9136;;;6.25766;-12.5738;7.31712
58;1;28.356;33.6449;29.0334;9.05686;14.1188;;;-4.4427;-14.7952;-5.35018
59;1;28.356;21.3019;28.8876;20.5789;20.59;;;5.92544;-11.8325;5.18407
60;1;28.356;40.0015;29.0934;5.64187;14.1188;;;-9.78223;-16.7236;-7.85383
61;1;28.356;21.2173;28.9502;21.3778;21.3841;;;5.9965;-13.7253;7.88936
62;1;28.356;33.3947;29.0295;8.20609;14.1188;;;-4.23252;-15.8416;-5.11451
63;1;28.356;20.4339;28.8787;20.0177;20.0311;;;6.65458;-12.5143;5.44355
64;1;28.356;38.0346;29.0366;5.93297;14.1188;;;-8.13001;-16.5793;-7.3923
65;1;28.356;20.4282;28.8907;21.2326;21.2371;;;6.65937;-13.2496;7.39469
66;1;28.356;32.1714;28.9454;9.18224;14.1188;;;-3.20492;-14.8521;-4.93214
67;1;28.356;20.72;28.8105;20.2988;20.3105;;;6.4142;-11.645;4.80956
68;1;28.356;39.1621;28.9775;6.15576;14.1188;;;-9.07715;-16.1835;-7.74567
69;1;28.356;20.7797;28.8474;21.8629;21.8695;;;6.36407;-13.0015;7.72061
70;1;28.356;33.7808;28.9244;8.48362;14.1188;;;-4.55679;-15.2799;-5.46043
71;1;28.356;20.7131;28.7981;20.5516;20.5605;;;6.42002;-12.0699;5.48841
72;1;28.356;39.2279;28.9561;5.68318;14.1188;;;-9.13242;-16.6361;-7.77622
73;1;28.356;20.6517;28.8322;21.5251;21.5312;;;6.47165;-13.4003;7.80203
74;1;28.356;32.8494;28.8913;8.66439;14.1188;;;-3.77445;-15.2875;-5.12305
75;1;28.356;19.9794;28.7621;20.6518;20.6635;;;7.03631;-11.7694;5.40538
76;1;28.356;38.6758;28.9037;6.051;14.1188;;;-8.66867;-16.1037;-7.85249
77;1;28.356;20.6419;28.7874;21.8323;21.8401;;;6.47987;-12.8638;7.57427
78;1;28.356;34.2747;28.8636;8.22762;14.1188;;;-4.97168;-15.3496;-5.72578
79;1;28.356;20.4138;28.7478;20.8929;20.8988;;;6.67145;-12.0139;5.82157
80;1;28.356;39.3209;28.8907;5.5503;14.1188;;;-9.21048;-16.6191;-7.94097
81;1;28.356;20.9429;28.7847;21.3831;21.3841;;;6.22704;-13.5056;7.71876
82;1;28.356;32.7939;28.8375;8.71909;14.1188;;;-3.72787;-15.3695;-4.97746
83;1;28.356;20.5591;28.73;20.1523;20.1635;;;6.54942;-12.0948;5.13865
84;1;28.356;37.54;28.8429;6.74135;14.1188;;;-7.71456;-15.9521;-7.13199
85;1;28.356;20.5906;28.7385;21.5417;21.5459;;;6.52296;-12.6906;7.11876
86;1;28.356;31.9351;28.7784;9.97014;14.1188;;;-3.00641;-14.1938;-4.76469
87;1;28.356;19.9202;28.6691;21.4017;21.4136;;;7.08608;-10.6508;5.04625
88;1;28.356;39.3574;28.7994;6.6812;14.1188;;;-9.24121;-15.2714;-8.16365
89;1;28.356;20.2132;28.696;23.2423;23.252;;;6.83998;-11.8514;8.0406
90;1;28.356;33.793;28.7567;9.38742;14.1188;;;-4.56712;-14.135;-5.70355
91;1;28.356;19.8239;28.6516;22.3065;22.3107;;;7.16699;-10.5515;5.86706
92;1;28.356;41.2324;28.7978;5.4651;14.1188;;;-10.8162;-15.9595;-8.99158
93;1;28.356;20.2648;28.6998;23.3066;23.3108;;;6.79664;-12.5612;8.8064
94;1;28.356;34.188;28.7621;8.43069;14.1188;;;-4.89889;-15.0107;-5.84776
95;1;28.356;20.3661;28.6678;21.2279;21.2371;;;6.71151;-11.6549;5.8052
96;1;28.356;39.0286;28.7829;6.08798;14.1188;;;-8.96497;-16.1374;-7.83824
97;1;28.356;20.3583;28.6903;22.1395;22.1489;;;6.71807;-12.7784;7.84152
98;1;28.356;33.0251;28.7375;9.04364;14.1188;;;-3.92202;-14.7394;-5.32005
99;1;28.356;20.0424;28.644;21.2309;21.2371;;;6.98338;-11.2477;5.4527
100;1;28.356;38.665;28.7506;6.60653;14.1188;;;-8.65953;-15.5774;-7.82146
101;1;28.356;20.6121;28.6649;22.3742;22.3842;;;6.50489;-12.325;7.58221
102;1;28.356;33.6902;28.7172;9.1513;14.1188;;;-4.48073;-14.5654;-5.49281
103;1;28.356;20.0762;28.6282;21.6613;21.6636;;;6.95504;-11.0878;5.71789
104;1;28.356;39.8973;28.7432;5.94253;14.1188;;;-9.69472;-15.9352;-8.32488
105;1;28.356;20.5053;28.6599;22.6066;22.6195;;;6.5946;-12.6379;8.14466
106;1;28.356;34.1238;28.7146;8.4987;14.1188;;;-4.84495;-15.0604;-5.71978
107;1;28.356;20.364;28.6319;21.1527;21.1635;;;6.71331;-11.7037;5.77913
108;1;28.356;39.0844;28.7344;6.00032;14.1188;;;-9.01185;-16.2096;-7.86258
109;1;28.356;20.2564;28.6521;22.16;22.1636;;;6.80368;-12.8078;7.90776
110;1;28.356;32.849;28.6924;9.09112;14.1188;;;-3.77411;-14.6949;-5.28889
111;1;28.356;19.572;28.6056;21.5213;21.5312;;;7.3786;-11.0056;5.57635
112;1;28.356;38.579;28.6996;6.70953;14.1188;;;-8.58729;-15.2992;-7.98294
113;1;28.356;19.7198;28.6157;23.223;23.2372;;;7.25439;-11.672;7.92084
114;1;28.356;33.0874;28.6571;9.83941;14.1188;;;-3.97442;-13.6592;-5.6144
115;1;28.356;19.153;28.5699;22.942;22.9431;;;7.73053;-9.79395;5.85247
116;1;28.356;39.9363;28.6733;6.82217;14.1188;;;-9.72746;-14.6577;-8.729
117;1;28.356;19.389;28.5896;24.6596;24.6638;;;7.53228;-10.8915;8.62987
118;1;28.356;33.1562;28.6304;10.4342;14.1188;;;-4.03218;-12.9076;-5.78223
119;1;28.356;19.3219;28.548;23.6077;23.6196;;;7.58867;-9.1133;5.81042
120;1;28.356;40.5163;28.653;7.17934;14.1188;;;-10.2147;-14.2206;-8.90167
121;1;28.356;19.5642;28.574;25.2211;25.2227;;;7.38509;-10.5281;8.79988
122;1;28.356;33.1998;28.6139;10.8416;14.1188;;;-4.06881;-12.5625;-5.72695
123;1;28.356;19.3825;28.535;23.9299;23.9432;;;7.53771;-8.79365;5.80326
124;1;28.356;39.706;28.6296;8.07549;14.1188;;;-9.53401;-13.5607;-8.53586
125;1;28.356;19.5043;28.5529;25.5815;25.5904;;;7.43542;-9.84294;8.48471
126;1;28.356;32.6839;28.5874;11.8524;14.1188;;;-3.63543;-11.6607;-5.53542
127
