PS100;PS80;PS60;PS40;PS20
0;0.5375;0.4625;0;0;
0.0354167;0.108333;0.622917;0.233333;0;
0.0166667;0.572917;0.410417;0;0;
0.0125;0.00416667;0.7125;0.270833;0;
0.00833333;0.0166667;0.88125;0.09375;0;
0;0;0;1;0;
0.0270833;0.53125;0.441667;0;0;
0;0;0.0270833;0.972917;0;
0.0229167;0.502083;0.475;0;0;
0;0;0;1;0;
0.0354167;0.902083;0.0625;0;0;
0.0166667;0.01875;0.197917;0.766667;0;
0.0145833;0.535417;0.45;0;0;
0;0;0;1;0;
0.09375;0.90625;0;0;0;
0.01875;0.03125;0.185417;0.764583;0;
0.0145833;0.633333;0.352083;0;0;
0;0;0;1;0;
0.0875;0.9125;0;0;0;
0.0229167;0.0270833;0.139583;0.810417;0;
0.0104167;0.591667;0.397917;0;0;
0;0;0;1;0;
0.0229167;0.90625;0.0708333;0;0;
0.01875;0.00416667;0.104167;0.872917;0;
0.0125;0.435417;0.552083;0;0;
0;0;0;1;0;
0.0479167;0.7125;0.239583;0;0;
0;0;0;1;0;
0.0166667;0.522917;0.460417;0;0;
0;0;0;1;0;
0.0125;0.691667;0.295833;0;0;
0;0;0;1;0;
0.0229167;0.347917;0.629167;0;0;
0;0;0;1;0;
0.0583333;0.4125;0.529167;0;0;
0;0;0;1;0;
0.0208333;0.152083;0.73125;0.0958333;0;
0;0;0;1;0;
0.0458333;0.133333;0.71875;0.102083;0;
0;0;0;1;0;
0.05;0.125;0.320833;0.504167;0;
0;0;0;1;0;
0.00833333;0.133333;0.45;0.408333;0;
0;0;0;1;0;
0.01875;0.164583;0.2;0.616667;0;
0;0;0;1;0;
0.0291667;0.122917;0.579167;0.26875;0;
0;0;0;1;0;
0.0520833;0.13125;0.522917;0.29375;0;
0;0;0;1;0;
0.0291667;0.13125;0.777083;0.0625;0;
0;0;0;1;0;
0.075;0.129167;0.285417;0.510417;0;
0;0;0;1;0;
0.0229167;0.125;0.541667;0.310417;0;
0;0;0;1;0;
0.0666667;0.1625;0.152083;0.61875;0;
0;0;0;1;0;
0.0291667;0.14375;0.5625;0.264583;0;
0;0;0;1;0;
0.0333333;0.1375;0.46875;0.360417;0;
0;0;0;1;0;
0.0770833;0.135417;0.56875;0.21875;0;
0;0;0;1;0;
0.0791667;0.135417;0.322917;0.4625;0;
0;0;0;1;0;
0.04375;0.129167;0.527083;0.3;0;
0;0;0;1;0;
0.0520833;0.147917;0.285417;0.514583;0;
0;0;0;1;0;
0.0520833;0.139583;0.53125;0.277083;0;
0;0;0;1;0;
0.0770833;0.139583;0.385417;0.397917;0;
0;0;0;1;0;
0.0875;0.141667;0.508333;0.2625;0;
0;0;0;1;0;
0.05625;0.160417;0.341667;0.441667;0;
0;0;0;1;0;
0.0770833;0.120833;0.470833;0.33125;0;
0;0;0;1;0;
0.0729167;0.129167;0.364583;0.433333;0;
0;0;0;1;0;
0.0458333;0.114583;0.7375;0.102083;0;
0;0;0;1;0;
0.0229167;0.0833333;0.772917;0.120833;0;
0;0;0;1;0;
0.0291667;0.135417;0.7625;0.0729167;0;
0;0;0;1;0;
0.0375;0.13125;0.395833;0.435417;0;
0;0;0;1;0;
0.05625;0.122917;0.44375;0.377083;0;
0;0;0;1;0;
0.0729167;0.135417;0.28125;0.510417;0;
0;0;0;1;0;
0.0854167;0.102083;0.58125;0.23125;0;
0;0;0;1;0;
0.0895833;0.114583;0.452083;0.34375;0;
0;0;0;1;0;
0.05625;0.122917;0.670833;0.15;0;
0;0;0;1;0;
0.09375;0.13125;0.2625;0.5125;0;
0;0;0;1;0;
0.0583333;0.1375;0.51875;0.285417;0;
0;0;0;1;0;
0.0541667;0.122917;0.472917;0.35;0;
0;0;0;1;0;
0.04375;0.10625;0.8375;0.0125;0;
0;0;0;1;0;
0.05;0.0916667;0.804167;0.0541667;0;
0;0;0;1;0;
0.0604167;0.189583;0.75;0;0;
0;0;0;1;0;
0.0395833;0.11875;0.733333;0.108333;0;
0;0;0;1;0;
0.0729167;0.129167;0.797917;0;0;
0;0;0;1;0;
0.0333333;0.1375;0.720833;0.108333;0;
0;0;0;1;0;
0.0458333;0.14375;0.810417;0;0;
0;0;0;1;0;
