POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;9.606;10.5324;10.5324;8.97607;8.97767;;;-0.778143;-0.389072;-0.389072
8;1;9.606;13.3144;11.9234;7.08429;7.09105;;;-3.11506;-1.9466;-1.16846
9;1;9.606;9.11851;10.9884;9.54842;9.55015;;;0.409489;-1.74186;1.76227
10;1;9.606;11.0871;11.0131;6.65222;6.66169;;;-1.24417;-2.36394;-0.826827
11;1;9.606;9.1434;10.6392;8.17871;8.18399;;;0.38858;-2.16965;0.816372
12;1;9.606;13.7362;11.1553;4.43354;4.99627;;;-3.46935;-3.90433;-1.92897
13;1;9.606;6.87334;10.5436;9.29456;9.30294;;;2.29543;-2.75661;2.88239
14;1;9.606;10.3404;10.5182;5.20229;5.20444;;;-0.616888;-3.06505;-1.45616
15;1;9.606;7.06346;10.1344;8.57832;8.58733;;;2.13574;-1.99719;1.37631
16;1;9.606;13.3417;10.4551;4.00069;4.99627;;;-3.13797;-3.56617;-2.63685
17;1;9.606;6.72596;10.1161;9.56724;9.57618;;;2.41924;-2.35655;2.7786
18;1;9.606;10.5984;10.1563;5.36497;5.37359;;;-0.833651;-2.77338;-1.62644
19;1;9.606;7.05754;9.91791;8.9824;8.99068;;;2.14071;-1.70303;1.48718
20;1;9.606;13.0841;10.1441;4.46754;4.99627;;;-2.92157;-3.16381;-2.53114
21;1;9.606;6.70105;9.91453;9.87834;9.88844;;;2.44016;-1.94373;2.68086
22;1;9.606;10.2412;9.93495;6.01023;6.01113;;;-0.533597;-2.21053;-1.48688
23;1;9.606;7.79114;9.80884;8.89637;8.8996;;;1.52448;-1.44829;1.02904
24;1;9.606;13.2273;9.99876;4.93299;4.99627;;;-3.04188;-2.96923;-2.28318
25;1;9.606;6.49344;9.81427;10.2742;10.2788;;;2.61455;-1.66196;2.82821
26;1;9.606;10.8684;9.86697;5.77831;5.78994;;;-1.06045;-2.19218;-1.8375
27;1;9.606;7.93259;9.77486;9.08196;9.09477;;;1.40567;-1.48935;1.23306
28;1;9.606;13.135;9.92759;5.01411;5.02229;;;-2.96435;-2.97152;-2.18501
29;1;9.606;6.72811;9.78849;10.0736;10.0836;;;2.41743;-1.76281;2.69089
30;1;9.606;11.7221;9.86905;5.19555;5.20444;;;-1.7775;-2.65156;-2.09747
31;1;9.606;7.15337;9.76042;9.51098;9.51112;;;2.06021;-1.62145;1.91886
32;1;9.606;14.1454;9.92908;3.86768;4.99627;;;-3.81306;-3.52798;-2.93663
33;1;9.606;7.01823;9.82127;9.74423;9.74532;;;2.17372;-2.44112;2.99339
34;1;9.606;10.2663;9.83716;5.62899;5.63381;;;-0.554685;-2.71846;-1.3642
35;1;9.606;7.70503;9.76364;8.45754;8.47023;;;1.59682;-1.92005;1.07575
36;1;9.606;13.2023;9.87826;4.44205;4.99627;;;-3.02089;-3.4305;-2.30885
37;1;9.606;6.57563;9.77173;9.7466;9.75833;;;2.54551;-2.15774;2.7832
38;1;9.606;10.4848;9.79401;5.57789;5.58177;;;-0.738226;-2.52686;-1.64187
39;1;9.606;7.68675;9.73015;8.75334;8.75648;;;1.61217;-1.72077;1.1752
40;1;9.606;13.5252;9.84177;4.4141;4.99627;;;-3.29211;-3.36683;-2.45214
41;1;9.606;7.22394;9.76698;9.50503;9.51112;;;2.00093;-2.36636;2.64652
