POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;6.12;7.7988;7.7988;4.97842;4.98587;;;-1.41019;-0.705095;-0.705095
8;1;6.12;8.06482;7.93181;4.79753;4.79802;;;-1.63365;-1.52192;-0.111728
9;1;6.12;6.54867;7.47076;5.12341;5.12676;;;-0.360085;-1.70196;0.63678
10;1;6.12;7.42458;7.45922;3.71097;3.71788;;;-1.09585;-2.24989;-0.367883
11;1;6.12;4.94859;6.95709;5.2146;5.22068;;;0.983985;-1.75789;1.03992
12;1;6.12;8.7572;7.25711;2.07682;3.44393;;;-2.21525;-2.86552;-1.59962
13;1;6.12;4.37764;6.84576;5.54691;5.54942;;;1.46358;-2.13373;1.83941
14;1;6.12;7.77225;6.96157;2.13095;3.44393;;;-1.38789;-2.82767;-1.42574
15;1;6.12;4.40581;6.6776;5.15193;5.15807;;;1.43992;-2.10771;1.41391
16;1;6.12;8.53926;6.86376;1.64723;3.44393;;;-2.03218;-3.1238;-1.73605
17;1;6.12;4.36163;6.6363;5.20798;5.21285;;;1.47703;-2.38528;1.75461
18;1;6.12;7.54613;6.71212;2.02643;3.44393;;;-1.19795;-2.98426;-1.33749
19;1;6.12;4.3549;6.53079;4.93499;4.93891;;;1.48269;-2.24292;1.34032
20;1;6.12;8.25553;6.65399;1.68358;3.44393;;;-1.79385;-3.13984;-1.63827
21;1;6.12;4.3716;6.50183;5.06599;5.07197;;;1.46865;-2.40551;1.63125
22;1;6.12;7.32752;6.55343;2.15905;3.44393;;;-1.01432;-2.91267;-1.24148
23;1;6.12;4.38343;6.42579;4.89535;4.89977;;;1.45872;-2.18331;1.23652
24;1;6.12;8.17618;6.52303;1.80913;3.44393;;;-1.72719;-3.04691;-1.59295
25;1;6.12;4.35839;6.4091;5.13458;5.13458;;;1.47975;-2.30703;1.60347
26;1;6.12;7.44696;6.46099;2.17076;3.44393;;;-1.11465;-2.86435;-1.2972
27;1;6.12;4.36423;6.36115;5.00689;5.00935;;;1.47485;-2.12693;1.29475
28;1;6.12;8.464;6.45673;1.66173;3.44393;;;-1.96896;-3.11141;-1.7219
29;1;6.12;4.37392;6.36618;5.1804;5.18155;;;1.46671;-2.37806;1.71783
30;1;6.12;7.56664;6.41619;2.02487;3.44393;;;-1.21518;-2.98565;-1.34094
31;1;6.12;4.34873;6.3335;4.94641;4.94673;;;1.48787;-2.24171;1.35152
32;1;6.12;8.14892;6.40332;1.75469;3.44393;;;-1.70429;-3.09386;-1.59608
33;1;6.12;4.32687;6.32641;5.09762;5.10328;;;1.50623;-2.34074;1.60526
34;1;6.12;7.32946;6.36224;2.20371;3.44393;;;-1.01594;-2.84872;-1.26109
35;1;6.12;4.29455;6.29094;5.02056;5.025;;;1.53338;-2.08203;1.27466
36;1;6.12;8.27799;6.35717;1.80385;3.44393;;;-1.81271;-2.98838;-1.67305
37;1;6.12;4.26147;6.28957;5.30178;5.30678;;;1.56117;-2.2078;1.68694
38;1;6.12;7.43552;6.32538;2.23706;3.44393;;;-1.10504;-2.76032;-1.3331
39;1;6.12;4.2208;6.26161;5.20366;5.20503;;;1.59533;-1.96265;1.35018
40;1;6.12;8.45656;6.32616;1.77082;3.44393;;;-1.96271;-2.94401;-1.77902
41;1;6.12;4.23637;6.26645;5.43821;5.43984;;;1.58225;-2.15289;1.77248
42;1;6.12;7.56874;6.30263;2.19084;3.44393;;;-1.21694;-2.76136;-1.39959
43;1;6.12;4.26256;6.24749;5.23017;5.23634;;;1.56025;-1.98123;1.3886
44;1;6.12;8.61563;6.30981;1.66161;3.44393;;;-2.09633;-3.0294;-1.82829
45;1;6.12;4.23497;6.25661;5.42059;5.42419;;;1.58342;-2.23769;1.83988
46;1;6.12;7.65108;6.29147;2.04947;3.44393;;;-1.2861;-2.88074;-1.43476
47;1;6.12;4.34243;6.24393;5.09106;5.09545;;;1.49316;-2.13416;1.38963
48;1;6.12;8.34469;6.29395;1.72647;3.44393;;;-1.86874;-3.06853;-1.68095
49;1;6.12;4.31835;6.24801;5.21097;5.21285;;;1.51339;-2.31183;1.69107
50;1;6.12;7.70634;6.28115;1.97276;3.44393;;;-1.33253;-2.9781;-1.42296
51;1;6.12;4.42707;6.23995;4.95936;4.96239;;;1.42206;-2.26707;1.37729
52;1;6.12;8.29069;6.28453;1.66583;3.44393;;;-1.82338;-3.17876;-1.62272
53;1;6.12;4.45143;6.24553;4.98756;4.9937;;;1.4016;-2.47796;1.61249
54;1;6.12;7.41612;6.26992;2.05988;3.44393;;;-1.08874;-3.02233;-1.24517
55;1;6.12;4.4906;6.2336;4.75004;4.75106;;;1.3687;-2.33798;1.22872
56;1;6.12;7.87593;6.26645;1.90364;3.44393;;;-1.47498;-3.07546;-1.42184
57;1;6.12;4.50163;6.23185;4.88252;4.88412;;;1.35943;-2.39575;1.41721
58;1;6.12;7.28379;6.25208;2.25315;3.44393;;;-0.977588;-2.88454;-1.16851
59;1;6.12;4.53406;6.21966;4.80269;4.80585;;;1.33219;-2.21845;1.15489
60;1;6.12;8.13734;6.25517;1.86367;3.44393;;;-1.69457;-3.06573;-1.51338
61;1;6.12;4.52794;6.22377;4.98415;4.98587;;;1.33733;-2.39707;1.51595
62;1;6.12;7.36136;6.24408;2.21014;3.44393;;;-1.04274;-2.91844;-1.19004
63;1;6.12;4.50985;6.21366;4.81784;4.8215;;;1.35253;-2.24217;1.19764
64;1;6.12;8.21207;6.24811;1.77895;3.44393;;;-1.75734;-3.12084;-1.55493
65;1;6.12;4.5233;6.21888;4.96358;4.97021;;;1.34123;-2.45023;1.54929
66;1;6.12;7.33005;6.2374;2.17633;3.44393;;;-1.01644;-2.95845;-1.17883
