POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;5.67;8.19442;8.19442;3.9534;3.95782;;;-2.12051;-1.06026;-1.06026
8;1;5.67;5.78332;6.98887;5.59295;5.59415;;;-0.0951854;-1.10785;1.01266
9;1;5.67;7.6474;7.20838;3.26511;3.54672;;;-1.66102;-1.93836;-0.782915
10;1;5.67;4.4525;6.51941;5.39005;5.39263;;;1.0227;-1.427;1.34186
11;1;5.67;7.74788;6.7651;2.31868;3.54672;;;-1.74542;-2.29972;-1.38406
12;1;5.67;5.04758;6.47885;4.66624;4.66716;;;0.522829;-2.0383;1.13413
13;1;5.67;6.20412;6.4396;3.00708;3.54672;;;-0.448659;-2.26263;-0.485744
14;1;5.67;4.36193;6.17989;4.52118;4.52207;;;1.09878;-1.71324;0.773717
15;1;5.67;6.21438;6.18373;3.03719;3.54672;;;-0.457278;-1.94188;-0.778027
16;1;5.67;4.8905;6.0544;4.48682;4.48983;;;0.654781;-1.61449;0.55603
17;1;5.67;6.09107;6.05774;3.44179;3.54672;;;-0.353695;-1.79134;-0.504238
18;1;5.67;4.41747;5.92105;4.90723;4.90899;;;1.05213;-1.26527;0.702911
19;1;5.67;6.77476;5.98672;3.12743;3.54672;;;-0.927995;-1.72927;-0.990061
20;1;5.67;4.94859;5.91256;4.89529;4.90093;;;0.605987;-1.42628;0.766991
21;1;5.67;6.58343;5.95729;3.3196;3.54672;;;-0.767277;-1.80992;-0.686632
22;1;5.67;4.38863;5.85925;5.11506;5.11856;;;1.07635;-1.27174;0.921816
23;1;5.67;7.06306;5.93006;2.9128;3.54672;;;-1.17017;-1.85682;-1.12326
24;1;5.67;4.9783;5.87718;4.86862;4.86868;;;0.581031;-1.56631;0.8756
25;1;5.67;6.67423;5.91913;3.1303;3.54672;;;-0.843555;-1.98809;-0.712293
26;1;5.67;4.38175;5.84226;4.9797;4.98153;;;1.08213;-1.44702;0.962841
27;1;5.67;6.84324;5.88993;2.88411;3.54672;;;-0.985522;-1.93978;-1.03382
28;1;5.67;4.92806;5.84621;4.7275;4.73165;;;0.623229;-1.62817;0.804375
29;1;5.67;6.39739;5.87017;3.23559;3.54672;;;-0.611006;-1.93367;-0.617117
30;1;5.67;4.34524;5.80663;4.94267;4.94929;;;1.1128;-1.37727;0.861903
31;1;5.67;6.67208;5.84125;3.05491;3.54672;;;-0.841747;-1.79814;-0.977274
32;1;5.67;4.9283;5.80614;4.79709;4.8042;;;0.623029;-1.48663;0.732388
33;1;5.67;6.50486;5.83202;3.30415;3.54672;;;-0.701285;-1.83727;-0.662157
34;1;5.67;4.33642;5.7786;5.0902;5.09438;;;1.12021;-1.27717;0.910746
35;1;5.67;6.96415;5.81948;2.95271;3.54672;;;-1.08709;-1.82071;-1.10365
36;1;5.67;5.00608;5.79237;4.8443;4.8445;;;0.557694;-1.54186;0.82239
37;1;5.67;6.51639;5.81573;3.27374;3.54672;;;-0.710969;-1.89735;-0.634332
38;1;5.67;4.48709;5.77421;4.93251;4.93317;;;0.993641;-1.40053;0.852305
39;1;5.67;7.01518;5.81181;2.85793;3.54672;;;-1.12995;-1.9655;-1.06179
40;1;5.67;5.09931;5.79086;4.65754;4.6591;;;0.479376;-1.72581;0.804662
41;1;5.67;6.27674;5.80474;3.29191;3.54672;;;-0.509662;-1.98064;-0.494519
42;1;5.67;4.51948;5.76904;4.72654;4.73165;;;0.966434;-1.49743;0.738048
43;1;5.67;6.65943;5.7931;3.01654;3.54672;;;-0.831123;-1.91299;-0.898779
44;1;5.67;5.16441;5.77656;4.51637;4.52207;;;0.424692;-1.70064;0.627908
45;1;5.67;6.17175;5.78669;3.41582;3.54672;;;-0.421467;-1.91138;-0.423079
46;1;5.67;4.50805;5.75472;4.75948;4.76389;;;0.976039;-1.42336;0.698753
47;1;5.67;6.67227;5.7771;3.07708;3.54672;;;-0.841905;-1.84431;-0.908972
