PS100;PS80;PS60;PS40;PS20
0;0.535417;0.464583;0;0;
0.04375;0.204167;0.641667;0.110417;0;
0.04375;0.4125;0.54375;0;0;
0.0229167;0.0208333;0.670833;0.285417;0;
0.0229167;0.05;0.927083;0;0;
0;0;0.01875;0.98125;0;
0.0166667;0.575;0.408333;0;0;
0;0;0;1;0;
0.0625;0.527083;0.410417;0;0;
0;0;0;1;0;
0.0645833;0.689583;0.245833;0;0;
0;0;0;1;0;
0.104167;0.508333;0.3875;0;0;
0;0;0;1;0;
0.11875;0.627083;0.254167;0;0;
0;0;0;1;0;
0.0979167;0.54375;0.358333;0;0;
0;0;0;1;0;
0.116667;0.622917;0.260417;0;0;
0;0;0;1;0;
0.0270833;0.71875;0.254167;0;0;
0;0;0;1;0;
0.104167;0.670833;0.225;0;0;
0;0;0;1;0;
0.125;0.6125;0.2625;0;0;
0;0;0;1;0;
0.141667;0.6625;0.195833;0;0;
0;0;0;1;0;
0.0625;0.658333;0.279167;0;0;
0;0;0;1;0;
0.06875;0.66875;0.2625;0;0;
0;0;0;1;0;
0.135417;0.445833;0.3875;0.03125;0;
0;0;0;1;0;
0.116667;0.625;0.258333;0;0;
0;0;0;1;0;
0.110417;0.545833;0.34375;0;0;
0;0;0;1;0;
0.0354167;0.86875;0.0958333;0;0;
0;0;0;1;0;
0.0708333;0.720833;0.208333;0;0;
0;0;0;1;0;
0.0895833;0.904167;0.00625;0;0;
0;0;0;1;0;
0.0458333;0.916667;0.0375;0;0;
0;0;0;1;0;
0.114583;0.885417;0;0;0;
0;0;0.06875;0.93125;0;
0.0458333;0.833333;0.120833;0;0;
0;0;0;1;0;
0.11875;0.88125;0;0;0;
0;0;0.0895833;0.910417;0;
0.0208333;0.922917;0.05625;0;0;
0;0;0;1;0;
0.114583;0.885417;0;0;0;
0;0;0.0458333;0.954167;0;
0.0416667;0.91875;0.0395833;0;0;
0;0;0;1;0;
0.164583;0.835417;0;0;0;
0;0;0.1375;0.8625;0;
0.0604167;0.83125;0.108333;0;0;
0;0;0;1;0;
0.208333;0.791667;0;0;0;
0;0;0.114583;0.885417;0;
0.0541667;0.929167;0.0166667;0;0;
0;0;0;1;0;
0.2125;0.7875;0;0;0;
0;0;0.127083;0.872917;0;
0.0354167;0.958333;0.00625;0;0;
0;0;0;1;0;
0.239583;0.760417;0;0;0;
0;0;0.0708333;0.929167;0;
0.135417;0.864583;0;0;0;
0;0;0;1;0;
0.260417;0.739583;0;0;0;
0;0;0;1;0;
0.116667;0.883333;0;0;0;
0;0;0;1;0;
0.16875;0.83125;0;0;0;
0;0;0.0270833;0.972917;0;
0.05625;0.94375;0;0;0;
0;0;0;1;0;
0.191667;0.808333;0;0;0;
0;0;0.147917;0.852083;0;
0.0708333;0.847917;0.08125;0;0;
0;0;0;1;0;
0.208333;0.791667;0;0;0;
0;0;0.09375;0.90625;0;
0.0583333;0.941667;0;0;0;
0;0;0;1;0;
0.26875;0.73125;0;0;0;
0;0;0.1;0.9;0;
0.16875;0.83125;0;0;0;
0;0;0;1;0;
0.297917;0.702083;0;0;0;
0;0;0.0291667;0.970833;0;
0.20625;0.79375;0;0;0;
0;0;0;1;0;
0.29375;0.70625;0;0;0;
0;0;0.0208333;0.979167;0;
0.179167;0.820833;0;0;0;
0;0;0;1;0;
0.252083;0.747917;0;0;0;
0;0;0;1;0;
0.1125;0.8875;0;0;0;
0;0;0;1;0;
0.214583;0.785417;0;0;0;
0;0;0.0416667;0.958333;0;
0.102083;0.897917;0;0;0;
0;0;0;1;0;
0.272917;0.727083;0;0;0;
0;0;0.00208333;0.997917;0;
0.222917;0.777083;0;0;0;
0;0;0;1;0;
0.297917;0.702083;0;0;0;
0;0;0;1;0;
0.1875;0.8125;0;0;0;
0;0;0;1;0;
0.2875;0.7125;0;0;0;
0;0;0;1;0;
