POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;24.486;27.7348;27.7348;22.2768;22.2843;;;-2.72903;-1.36452;-1.36452
8;1;24.486;33.3447;30.5398;18.4621;18.4688;;;-7.44133;-5.08518;-2.35615
9;1;24.486;22.9143;27.9979;24.1903;24.1921;;;1.32025;-4.42505;4.38079
10;1;24.486;28.0932;28.0218;16.9479;16.9534;;;-3.03004;-5.94008;-2.17515
11;1;24.486;23.5229;27.122;20.7159;20.7283;;;0.809024;-5.53556;1.91953
12;1;24.486;35.3661;28.496;11.1475;12.989;;;-9.13927;-10.1052;-4.97415
13;1;24.486;17.7506;26.9609;23.5305;23.5426;;;5.6577;-7.27635;7.39849
14;1;24.486;29.6038;27.2913;10.9007;12.989;;;-4.29897;-9.42584;-4.97833
15;1;24.486;17.9011;26.2479;21.6874;21.689;;;5.53135;-6.66016;4.91516
16;1;24.486;36.5953;27.2827;6.82586;12.989;;;-10.1718;-11.7461;-7.85157
17;1;24.486;17.3287;26.3778;22.6928;22.7037;;;6.01215;-8.73998;8.09197
18;1;24.486;29.2183;26.6145;9.52201;12.989;;;-3.97509;-10.7275;-4.99362
19;1;24.486;17.7507;25.9326;20.3261;20.3359;;;5.65769;-7.89868;4.81639
20;1;24.486;34.3671;26.5351;7.0393;12.989;;;-8.30016;-12.0488;-6.97893
21;1;24.486;17.3943;25.9257;21.4097;21.4184;;;5.957;-9.07026;7.12858
22;1;24.486;28.6763;26.0976;9.58786;12.989;;;-3.51982;-10.8302;-4.73841
23;1;24.486;17.3582;25.5835;20.2626;20.2683;;;5.98735;-7.8365;4.75358
24;1;24.486;34.4276;26.0749;6.89551;12.989;;;-8.35098;-12.012;-7.16916
25;1;24.486;17.5638;25.6269;21.3566;21.3642;;;5.81461;-9.10468;7.08279
26;1;24.486;29.3901;25.8151;9.13925;12.989;;;-4.11942;-11.1644;-4.96701
27;1;24.486;17.5284;25.4205;20.1125;20.1195;;;5.84439;-8.24219;4.98191
28;1;24.486;34.5897;25.8373;6.45106;12.989;;;-8.48714;-12.4858;-7.16577
29;1;24.486;17.8956;25.492;20.7253;20.7283;;;5.53591;-9.71781;7.01153
30;1;24.486;29.4041;25.655;8.6559;12.989;;;-4.13123;-11.7834;-4.83357
31;1;24.486;17.6545;25.335;19.4136;19.4159;;;5.73848;-8.91418;4.93486
32;1;24.486;32.1229;25.596;7.50951;12.989;;;-6.41496;-12.1217;-6.07672
33;1;24.486;17.8659;25.3097;20.0735;20.0789;;;5.56087;-9.34123;5.98791
34;1;24.486;27.8268;25.3996;10.0926;12.989;;;-2.80625;-10.7444;-4.18356
35;1;24.486;18.1197;25.1486;19.4738;19.4835;;;5.34766;-8.07052;4.07695
36;1;24.486;34.1675;25.4492;7.1582;12.989;;;-8.13249;-12.1368;-6.74007
37;1;24.486;18.5506;25.2267;20.4515;20.4577;;;4.98573;-9.6439;6.55911
38;1;24.486;27.4822;25.2972;10.3118;12.989;;;-2.51682;-10.9023;-3.75128
39;1;24.486;18.096;25.079;19.1873;19.1994;;;5.36762;-8.2185;3.94222
40;1;24.486;32.5211;25.2979;8.11984;12.989;;;-6.74946;-11.5932;-6.05854
41;1;24.486;17.5124;25.0754;21.0096;21.0125;;;5.85787;-8.6643;6.30366
42;1;24.486;28.3881;25.1674;10.2393;12.989;;;-3.27779;-10.3032;-4.56783
43;1;24.486;17.5644;24.9619;20.5284;20.5389;;;5.81415;-7.39612;4.54597
44;1;24.486;34.5343;25.2138;7.34993;12.989;;;-8.44061;-11.6164;-7.12738
45;1;24.486;17.4381;25.0145;21.8824;21.8919;;;5.92022;-8.65632;7.18041
46;1;24.486;29.0418;25.1152;9.7716;12.989;;;-3.82691;-10.5698;-4.87356
47;1;24.486;17.6561;24.9332;20.474;20.4848;;;5.73715;-7.7012;4.78203
48;1;24.486;34.7075;25.1659;6.96561;12.989;;;-8.58606;-11.9942;-7.16161
49;1;24.486;17.4585;24.9867;21.5635;21.5672;;;5.90306;-9.04269;7.24456
50;1;24.486;29.2261;25.0831;9.26848;12.989;;;-3.98172;-11.0336;-4.94239
51;1;24.486;17.9494;24.9245;19.8882;19.8894;;;5.49071;-8.2882;4.73621
