POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;34.686;43.9548;43.9548;28.3832;28.3903;;;-7.78579;-3.89289;-3.89289
8;1;34.686;49.0157;46.4852;24.9418;24.943;;;-12.0369;-9.91137;-2.12558
9;1;34.686;31.2272;41.3992;33.1451;33.1451;;;2.90538;-8.45868;7.47116
10;1;34.686;42.5165;41.6785;19.4499;19.8118;;;-6.5776;-11.7475;-4.74149
11;1;34.686;24.6174;38.2663;33.074;33.0758;;;8.45763;-7.51867;7.51762
12;1;34.686;51.8373;40.5281;11.2757;19.8118;;;-14.4071;-14.7222;-11.4323
13;1;34.686;24.2259;38.1992;34.2802;34.2843;;;8.7865;-10.329;11.5968
14;1;34.686;42.7158;38.7638;14.5036;19.8118;;;-6.74502;-13.7015;-7.76576
15;1;34.686;23.8757;37.1096;31.7081;31.7088;;;9.08065;-9.16113;7.91283
16;1;34.686;51.8697;38.5856;9.29961;19.8118;;;-14.4343;-16.3783;-11.7575
17;1;34.686;24.6779;37.3213;32.3303;32.3328;;;8.40677;-12.1749;11.4205
18;1;34.686;42.1809;37.7262;13.2111;19.8118;;;-6.29575;-15.3228;-7.35126
19;1;34.686;23.8256;36.657;29.8962;29.9059;;;9.12278;-10.7614;7.70926
20;1;34.686;49.4847;37.5732;9.3001;19.8118;;;-12.4309;-16.9769;-10.7768
21;1;34.686;23.2819;36.6205;31.6794;31.6889;;;9.57941;-12.1871;11.0052
22;1;34.686;41.0642;36.8982;13.372;19.8118;;;-5.3577;-14.866;-7.46855
23;1;34.686;23.3955;36.1039;30.1764;30.1833;;;9.48401;-10.124;7.42085
24;1;34.686;49.116;36.8268;10.0076;19.8118;;;-12.1212;-16.1846;-10.8026
25;1;34.686;22.7051;36.0836;32.709;32.7093;;;10.0639;-11.1526;11.0926
26;1;34.686;39.1542;36.2371;15.4631;19.8118;;;-3.75326;-13.0292;-6.9086
27;1;34.686;23.163;35.6145;31.369;31.372;;;9.67933;-8.18958;6.7163
28;1;34.686;49.5205;36.2466;11.5693;19.8118;;;-12.461;-14.4201;-11.0702
29;1;34.686;23.1623;35.6777;34.3325;34.3338;;;9.67992;-9.58011;11.0704
30;1;34.686;40.2724;35.8692;16.4672;19.8118;;;-4.69256;-11.9264;-7.18624
31;1;34.686;23.2767;35.3655;32.8642;32.8677;;;9.58384;-7.13447;7.1382
32;1;34.686;51.3512;35.9803;11.4273;19.8118;;;-13.9987;-14.1338;-11.7913
33;1;34.686;23.9392;35.5343;34.8594;34.8687;;;9.02733;-9.62018;11.513
34;1;34.686;42.691;35.7899;15.1088;19.8118;;;-6.72418;-12.9823;-7.87575
35;1;34.686;23.8428;35.378;32.4392;32.4418;;;9.10831;-8.42811;7.91625
36;1;34.686;52.7169;35.9559;9.44272;19.8118;;;-15.146;-16.0011;-12.1271
37;1;34.686;24.8593;35.598;32.94;32.947;;;8.25441;-11.8739;11.7002
38;1;34.686;42.73;35.8208;13.215;19.8118;;;-6.75694;-15.2524;-7.50568
39;1;34.686;23.8658;35.4586;30.1699;30.1733;;;9.08899;-10.7079;7.92296
40;1;34.686;52.7783;35.968;7.1309;19.8118;;;-15.1975;-18.3066;-12.1432
41;1;34.686;24.5006;35.6403;30.9042;30.9064;;;8.5557;-14.0288;11.8766
42;1;34.686;43.1663;35.8494;10.6128;19.8118;;;-7.12346;-17.5905;-7.83958
43;1;34.686;25.4094;35.5672;26.9654;26.9737;;;7.79238;-13.6943;7.45792
44;1;34.686;45.9917;35.8416;9.40763;19.8118;;;-9.49679;-18.4427;-8.64458
45;1;34.686;24.9133;35.5613;27.6371;27.6374;;;8.20909;-14.3382;8.85294
46;1;34.686;37.3017;35.6049;14.4646;19.8118;;;-2.19717;-15.4367;-5.20313
47;1;34.686;24.1111;35.3245;27.5387;27.5483;;;8.88287;-10.9953;5.54002
48;1;34.686;47.0217;35.603;10.861;19.8118;;;-10.362;-16.1763;-9.62244
49;1;34.686;24.3609;35.3416;30.7118;30.7182;;;8.67308;-11.8398;9.51754
50;1;34.686;41.8155;35.4887;13.6616;19.8118;;;-5.98877;-14.8342;-7.33092
51;1;34.686;25.0859;35.2575;29.3743;29.3809;;;8.06407;-10.8021;7.02642
52;1;34.686;51.8805;35.6189;8.1596;19.8118;;;-14.4434;-18.0238;-11.2537
53;1;34.686;25.6691;35.4072;30.0154;30.0248;;;7.57417;-14.2367;11.0088
54;1;34.686;41.9853;35.5443;11.6987;19.8118;;;-6.13141;-17.3024;-6.85279
55;1;34.686;24.9052;35.3271;27.1002;27.1025;;;8.21588;-13.1945;7.17364
56;1;34.686;47.5154;35.5709;8.6596;19.8118;;;-10.7767;-18.5828;-9.49628
57;1;34.686;25.2432;35.3684;27.9126;27.9148;;;7.93194;-14.6168;9.35431
58;1;34.686;38.8261;35.4349;13.2879;19.8118;;;-3.47769;-16.3557;-5.70481
59;1;34.686;24.2691;35.2242;27.1527;27.162;;;8.75024;-11.9806;6.11396
60;1;34.686;46.6431;35.4357;10.1995;19.8118;;;-10.044;-17.0026;-9.3971
61;1;34.686;24.6217;35.2391;29.5492;29.5493;;;8.45401;-12.7755;9.24899
62;1;34.686;41.8768;35.3576;12.7937;19.8118;;;-6.04028;-15.7957;-7.24714
63;1;34.686;24.376;35.1649;28.9213;28.9252;;;8.66042;-11.4655;7.35035
64;1;34.686;49.5211;35.4124;8.80248;19.8118;;;-12.4614;-17.6962;-10.5609
65;1;34.686;25.1329;35.2382;29.7166;29.7177;;;8.02463;-13.6839;10.243
66;1;34.686;41.3974;35.3409;12.426;19.8118;;;-5.6376;-16.5027;-6.83111
