POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;7.552;3.78864;3.78864;10.1111;4.33383;;;3.16122;1.58061;1.58061
8;1;7.552;6.16962;4.97913;8.49202;4.33383;;;1.1612;2.16121;-1.00001
9;1;7.552;4.77866;4.91231;11.0185;4.33383;;;2.32961;3.32601;0.584202
10;1;7.552;5.08684;4.95594;11.3895;4.33383;;;2.07073;4.36138;-0.129437
11;1;7.552;5.05848;4.97645;12.5736;4.33383;;;2.09456;5.40866;0.0119112
12;1;7.552;6.22361;5.18431;12.8167;4.33383;;;1.11585;5.96658;-0.489355
13;1;7.552;5.07604;5.16884;14.6443;4.33383;;;2.07981;7.00649;0.481982
14;1;7.552;4.94144;5.14042;15.2938;4.33383;;;2.19287;8.10292;0.0565291
15;1;7.552;4.81814;5.10461;16.4175;4.33383;;;2.29644;9.25114;0.0517881
16;1;7.552;5.98436;5.19258;16.7209;4.33383;;;1.31682;9.90955;-0.489813
17;1;7.552;4.92011;5.16781;18.5928;4.33383;;;2.21079;11.0149;0.446987
18;1;7.552;4.87479;5.14339;19.2821;4.33383;;;2.24886;12.1394;0.0190327
19;1;7.552;4.77786;5.11528;20.4534;4.33383;;;2.33028;13.3045;0.0407119
20;1;7.552;6.02139;5.18;20.7322;4.33383;;;1.28572;13.9474;-0.522282
21;1;7.552;4.78281;5.15352;22.7396;4.33383;;;2.32612;15.1104;0.520201
22;1;7.552;5.0356;5.14615;23.2105;4.33383;;;2.11378;16.1673;-0.106171
23;1;7.552;4.98289;5.13655;24.4094;4.33383;;;2.15805;17.2463;0.0221369
24;1;7.552;6.33629;5.2032;24.546;4.33383;;;1.0212;17.7569;-0.568425
25;1;7.552;4.93742;5.18921;26.5763;4.33383;;;2.19625;18.8551;0.587523
26;1;7.552;5.05806;5.18265;27.0048;4.33383;;;2.09491;19.9025;-0.0506705
27;1;7.552;4.96617;5.17234;28.1654;4.33383;;;2.1721;20.9886;0.0385946
28;1;7.552;6.48437;5.23198;28.1805;4.33383;;;0.896807;21.437;-0.637644
29;1;7.552;5.04742;5.22396;30.2437;4.33383;;;2.10385;22.4889;0.60352
30;1;7.552;5.27782;5.2262;30.5354;4.33383;;;1.91031;23.444;-0.0967697
31;1;7.552;5.08752;5.22065;31.7167;4.33383;;;2.07017;24.4791;0.0799294
32;1;7.552;6.75487;5.27966;31.5381;4.33383;;;0.669588;24.8139;-0.70029
33;1;7.552;5.13447;5.27429;33.6751;4.33383;;;2.03072;25.8293;0.680568
34;1;7.552;5.1474;5.26975;34.0011;4.33383;;;2.01986;26.8392;-0.00542976
35;1;7.552;5.11694;5.26448;35.0371;4.33383;;;2.04545;27.8619;0.0127953
36;1;7.552;6.57864;5.30829;35.0531;4.33383;;;0.817622;28.2708;-0.613916
37;1;7.552;5.11082;5.30192;37.0739;4.33383;;;2.05059;29.2961;0.616485
38;1;7.552;5.18986;5.29842;37.429;4.33383;;;1.9842;30.2882;-0.0331981
39;1;7.552;5.03221;5.29035;38.5615;4.33383;;;2.11662;31.3465;0.0662122
40;1;7.552;6.60225;5.32894;38.486;4.33383;;;0.797787;31.7454;-0.659416
41;1;7.552;5.14585;5.32371;40.5346;4.33383;;;2.02117;32.7559;0.61169
42;1;7.552;5.27643;5.32239;40.8447;4.33383;;;1.91148;33.7117;-0.0548428
43;1;7.552;5.3229;5.32241;41.8237;4.33383;;;1.87244;34.6479;-0.0195178
44;1;7.552;6.67079;5.35789;41.8629;4.33383;;;0.740217;35.018;-0.566114
45;1;7.552;5.21498;5.35422;43.7891;4.33383;;;1.9631;35.9996;0.61144
46;1;7.552;5.24153;5.35141;44.1411;4.33383;;;1.94079;36.97;-0.0111518
47;1;7.552;5.2894;5.3499;45.0901;4.33383;;;1.90058;37.9202;-0.0201054
48;1;7.552;6.69648;5.38196;45.1037;4.33383;;;0.718636;38.2796;-0.590974
49;1;7.552;5.19581;5.37763;47.0745;4.33383;;;1.9792;39.2692;0.630283
50;1;7.552;5.3021;5.37591;47.3615;4.33383;;;1.88992;40.2141;-0.0446426
51;1;7.552;5.19908;5.37198;48.4211;4.33383;;;1.97645;41.2023;0.043268
52;1;7.552;6.48685;5.39622;48.4904;4.33383;;;0.894729;41.6497;-0.540862
53;1;7.552;5.11828;5.3903;50.4093;4.33383;;;2.04433;42.6719;0.574799
54;1;7.552;5.26538;5.3877;50.7566;4.33383;;;1.92076;43.6323;-0.0617837
55;1;7.552;5.1323;5.38249;51.8693;4.33383;;;2.03254;44.6485;0.0558928
56;1;7.552;6.49779;5.4048;51.9011;4.33383;;;0.885539;45.0913;-0.573503
57;1;7.552;5.01214;5.3971;53.9276;4.33383;;;2.13348;46.158;0.623973
58;1;7.552;5.33424;5.39589;54.1514;4.33383;;;1.86292;47.0895;-0.135282
59;1;7.552;5.19117;5.39202;55.3154;4.33383;;;1.9831;48.081;0.0600886
60;1;7.552;6.42862;5.41122;55.4054;4.33383;;;0.943643;48.5529;-0.519728
61;1;7.552;5.08095;5.40522;57.3134;4.33383;;;2.07568;49.5907;0.566021
62;1;7.552;5.22313;5.40196;57.6885;4.33383;;;1.95625;50.5688;-0.0597177
63;1;7.552;5.1837;5.39814;58.7532;4.33383;;;1.98937;51.5635;0.0165631
64;1;7.552;6.45576;5.41637;58.8663;4.33383;;;0.920839;52.0239;-0.534268
65;1;7.552;5.0515;5.41019;60.8159;4.33383;;;2.10042;53.0742;0.58979
66;1;7.552;4.99629;5.40329;61.3138;4.33383;;;2.14679;54.1476;0.0231878
67;1;7.552;4.97776;5.39631;62.3766;4.33383;;;2.16236;55.2287;0.00778344
68;1;7.552;6.5452;5.41484;62.3842;4.33383;;;0.84571;55.6516;-0.658326
69;1;7.552;5.20111;5.41145;64.3793;4.33383;;;1.97475;56.639;0.56452
70;1;7.552;5.21203;5.40833;64.7948;4.33383;;;1.96558;57.6218;-0.00458682
71;1;7.552;5.06829;5.4031;65.8799;4.33383;;;2.08632;58.6649;0.0603716
72;1;7.552;6.53161;5.4202;65.8676;4.33383;;;0.857131;59.0935;-0.614595
73;1;7.552;5.10737;5.41553;67.8793;4.33383;;;2.05349;60.1202;0.598179
74;1;7.552;4.96426;5.4089;68.4051;4.33383;;;2.1737;61.2071;0.0601079
75;1;7.552;4.89114;5.40139;69.4816;4.33383;;;2.23513;62.3246;0.0307104
76;1;7.552;6.22425;5.41315;69.6619;4.33383;;;1.11531;62.8823;-0.559909
77;1;7.552;4.84145;5.40509;71.7198;4.33383;;;2.27686;64.0207;0.580775
78;1;7.552;4.83976;5.39724;72.2786;4.33383;;;2.27828;65.1599;0.00071064
79;1;7.552;4.81609;5.38928;73.4331;4.33383;;;2.29816;66.3089;0.0099414
80;1;7.552;6.44368;5.40353;73.4655;4.33383;;;0.930989;66.7744;-0.683587
81;1;7.552;4.85978;5.39628;75.6917;4.33383;;;2.26147;67.9052;0.665239
82;1;7.552;4.9719;5.3907;76.0809;4.33383;;;2.16729;68.9888;-0.04709
83;1;7.552;5.0282;5.38599;77.1734;4.33383;;;2.11999;70.0488;-0.0236485
84;1;7.552;6.0271;5.39421;77.5777;4.33383;;;1.28092;70.6893;-0.419537
85;1;7.552;4.82218;5.38697;79.4571;4.33383;;;2.29305;71.8358;0.506067
