POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;1.528;0.737275;0.737275;2.06569;0.820708;;;0.664209;0.332104;0.332104
8;1;1.528;1.10467;0.920974;1.81586;0.820708;;;0.355596;0.509902;-0.154307
9;1;1.528;0.917637;0.919861;2.27515;0.820708;;;0.512705;0.766255;0.0785547
10;1;1.528;0.939975;0.92489;2.43776;0.820708;;;0.493941;1.01323;-0.00938196
11;1;1.528;0.91787;0.923486;2.70914;0.820708;;;0.512509;1.26948;0.0092841
12;1;1.528;1.12102;0.956408;2.81797;0.820708;;;0.341867;1.44041;-0.0853213
13;1;1.528;0.88504;0.946212;3.23469;0.820708;;;0.540086;1.71046;0.0991099
14;1;1.528;0.909816;0.941663;3.38878;0.820708;;;0.519275;1.97009;-0.0104059
15;1;1.528;0.89334;0.936293;3.67003;0.820708;;;0.533114;2.23665;0.00691992
16;1;1.528;1.11461;0.954125;3.7792;0.820708;;;0.347248;2.41027;-0.092933
17;1;1.528;0.875134;0.946944;4.2086;0.820708;;;0.548407;2.68448;0.100579
18;1;1.528;0.934773;0.94593;4.34167;0.820708;;;0.498311;2.93363;-0.0250484
19;1;1.528;0.93438;0.945041;4.61614;0.820708;;;0.498641;3.18295;0.00016506
20;1;1.528;1.08703;0.955183;4.7615;0.820708;;;0.370417;3.36816;-0.0641117
21;1;1.528;0.918561;0.952742;5.12537;0.820708;;;0.511929;3.62413;0.0707557
22;1;1.528;0.907508;0.949915;5.3181;0.820708;;;0.521213;3.88473;0.00464226
23;1;1.528;0.906928;0.947386;5.57446;0.820708;;;0.5217;4.14558;0.0002436
24;1;1.528;1.09879;0.955797;5.7046;0.820708;;;0.36054;4.32585;-0.0805804
25;1;1.528;0.892022;0.95244;6.10605;0.820708;;;0.534222;4.59297;0.0868409
26;1;1.528;0.883647;0.949001;6.29201;0.820708;;;0.541257;4.86359;0.0035175
27;1;1.528;0.886725;0.946035;6.55703;0.820708;;;0.538671;5.13293;-0.00129276
28;1;1.528;1.09264;0.952699;6.68764;0.820708;;;0.365707;5.31578;-0.0864822
29;1;1.528;0.868614;0.949043;7.10931;0.820708;;;0.553884;5.59272;0.0940888
30;1;1.528;0.871932;0.94583;7.28991;0.820708;;;0.551097;5.86827;-0.00139356
31;1;1.528;0.884423;0.943374;7.55836;0.820708;;;0.540605;6.13858;-0.00524622
32;1;1.528;1.07735;0.948527;7.70271;0.820708;;;0.378543;6.32785;-0.0810306
33;1;1.528;0.883403;0.946115;8.1049;0.820708;;;0.541461;6.59858;0.081459
34;1;1.528;0.913063;0.944934;8.274;0.820708;;;0.516547;6.85685;-0.0124572
35;1;1.528;0.917199;0.943978;8.54192;0.820708;;;0.513073;7.11339;-0.00173712
36;1;1.528;1.09493;0.94901;8.67934;0.820708;;;0.363778;7.29528;-0.0746474
37;1;1.528;0.903451;0.94754;9.06608;0.820708;;;0.524621;7.55759;0.0804216
38;1;1.528;0.958032;0.947868;9.21085;0.820708;;;0.478773;7.79697;-0.022924
39;1;1.528;0.931858;0.947383;9.49096;0.820708;;;0.500759;8.04735;0.0109931
40;1;1.528;1.13415;0.952876;9.59279;0.820708;;;0.330834;8.21277;-0.0849626
41;1;1.528;0.903964;0.951479;9.9997;0.820708;;;0.52419;8.47487;0.0966781
42;1;1.528;0.941195;0.951193;10.1398;0.820708;;;0.492916;8.72132;-0.015637
43;1;1.528;0.940293;0.950898;10.4025;0.820708;;;0.493674;8.96816;0.00037884
44;1;1.528;1.12337;0.955437;10.5245;0.820708;;;0.339893;9.13811;-0.0768907
45;1;1.528;0.929398;0.954769;10.9032;0.820708;;;0.502826;9.38952;0.0814666
46;1;1.528;0.927436;0.954086;11.0745;0.820708;;;0.504474;9.64176;0.00082404
47;1;1.528;0.97655;0.954634;11.2925;0.820707;;;0.463218;9.87337;-0.0206279
48;1;1.528;1.19137;0.960271;11.3987;0.820708;;;0.282766;10.0147;-0.0902261
49;1;1.528;1.01177;0.961468;11.7524;0.820708;;;0.433632;10.2316;0.0754328
50;1;1.528;1.02667;0.96295;11.8837;0.820708;;;0.421119;10.4421;-0.00625632
51;1;1.528;1.03068;0.964455;12.0977;0.820708;;;0.41775;10.651;-0.0016842
52;1;1.528;1.26743;0.971041;12.1473;0.820708;;;0.21888;10.7604;-0.0994354
53;1;1.528;0.998575;0.971627;12.539;0.820708;;;0.444717;10.9828;0.112919
54;1;1.528;0.986865;0.971945;12.6564;0.820708;;;0.454553;11.2101;0.0049182
55;1;1.528;0.982126;0.972153;12.882;0.820708;;;0.458534;11.4393;0.00199038
56;1;1.528;1.30988;0.978907;12.8864;0.820707;;;0.18322;11.531;-0.137657
57;1;1.528;1.09697;0.981222;13.2604;0.820708;;;0.362063;11.712;0.0894214
58;1;1.528;1.11205;0.983738;13.3418;0.820707;;;0.349397;11.8867;-0.00633276
59;1;1.528;1.07882;0.985532;13.5454;0.820708;;;0.377315;12.0753;0.0139587
60;1;1.528;1.4289;0.993743;13.4821;0.820708;;;0.0832423;12.117;-0.147036
61;1;1.528;1.09669;0.995614;13.8966;0.820708;;;0.362302;12.2981;0.13953
62;1;1.528;1.13852;0.998166;13.9098;0.820708;;;0.327164;12.4617;-0.017569
63;1;1.528;1.11861;1.00028;14.1045;0.820708;;;0.343883;12.6336;0.00835968
64;1;1.528;1.47747;1.00851;14.0241;0.820707;;;0.042446;12.6549;-0.150719
65;1;1.528;1.10598;1.01016;14.4486;0.820708;;;0.354493;12.8321;0.156023
66;1;1.528;1.18431;1.01306;14.4166;0.820708;;;0.2887;12.9765;-0.0328965
67;1;1.528;1.16205;1.0155;14.6089;0.820708;;;0.307398;13.1302;0.0093492
68;1;1.528;1.57216;1.02448;14.4744;0.820708;;;-0.0370961;13.1116;-0.172247
69;1;1.528;1.07882;1.02534;14.9636;0.820708;;;0.377312;13.3003;0.207204
70;1;1.528;1.11279;1.02671;14.9219;0.820707;;;0.348776;13.4746;-0.0142682
71;1;1.528;1.1393;1.02844;15.0926;0.820707;;;0.326509;13.6379;-0.0111334
72;1;1.528;1.58615;1.03689;14.9631;0.820708;;;-0.048846;13.6135;-0.187677
73;1;1.528;1.168;1.03885;15.4107;0.820708;;;0.302398;13.7647;0.175622
74;1;1.528;1.19019;1.04108;15.3712;0.820708;;;0.283757;13.9066;-0.00932064
75;1;1.528;1.17921;1.04308;15.5299;0.820708;;;0.292983;14.053;0.00461286
76;1;1.528;1.6653;1.05197;15.3412;0.820707;;;-0.11533;13.9954;-0.204157
77;1;1.528;1.21908;1.05432;15.7911;0.820708;;;0.259489;14.1251;0.18741
78;1;1.528;1.23184;1.05679;15.7248;0.820707;;;0.248779;14.2495;-0.00535542
79;1;1.528;1.24476;1.05936;15.8457;0.820707;;;0.237926;14.3685;-0.0054264
80;1;1.528;1.70634;1.0681;15.6562;0.820707;;;-0.149805;14.2936;-0.193865
81;1;1.528;1.21641;1.07008;16.1084;0.820707;;;0.261739;14.4244;0.205772
82;1;1.528;1.22543;1.07213;16.0273;0.820707;;;0.25416;14.5515;-0.00378924
83;1;1.528;1.22576;1.07412;16.158;0.820707;;;0.25388;14.6785;-0.00014028
84;1;1.528;1.71306;1.08231;15.9537;0.820708;;;-0.155447;14.6007;-0.204663
85;1;1.528;1.19411;1.08373;16.4335;0.820708;;;0.280471;14.741;0.217959
86;1;1.528;1.21873;1.08541;16.3391;0.820708;;;0.259791;14.8709;-0.01034
87;1;1.528;1.17389;1.08651;16.5098;0.820708;;;0.297456;15.0196;0.0188324
88;1;1.528;1.61021;1.09289;16.343;0.820708;;;-0.0690572;14.9851;-0.183257
89;1;1.528;1.20148;1.0942;16.7696;0.820708;;;0.274281;15.1222;0.171669
90;1;1.528;1.2371;1.0959;16.7109;0.820707;;;0.244352;15.2444;-0.0149646
91;1;1.528;1.18381;1.09694;16.8843;0.820708;;;0.28912;15.389;0.0223843
92;1;1.528;1.54748;1.10218;16.7591;0.820707;;;-0.016364;15.3808;-0.152742
93;1;1.528;1.19264;1.10322;17.145;0.820708;;;0.281701;15.5216;0.149032
94;1;1.528;1.18183;1.10411;17.1442;0.820708;;;0.290784;15.667;0.00454188
95;1;1.528;1.17048;1.10485;17.2927;0.820708;;;0.300313;15.8172;0.00476406
96;1;1.528;1.46269;1.10883;17.2394;0.820707;;;0.0548596;15.8446;-0.122727
97;1;1.528;1.12127;1.10897;17.6217;0.820707;;;0.341655;16.0154;0.143398
98;1;1.528;1.11402;1.10902;17.6541;0.820708;;;0.347741;16.1893;0.0030429
99;1;1.528;1.08709;1.10879;17.8432;0.820707;;;0.370369;16.3745;0.011314
100;1;1.528;1.44345;1.11235;17.7748;0.820708;;;0.0710178;16.41;-0.149675
101;1;1.528;1.14771;1.11272;18.1611;0.820707;;;0.319447;16.5697;0.124215
102;1;1.528;1.10781;1.11267;18.2237;0.820707;;;0.35296;16.7462;0.0167563
