POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;1.32;1.09491;1.09491;1.47306;1.35192;;;0.189076;0.0945382;0.0945382
8;1;1.32;2.23864;1.66678;0.695322;0.706004;;;-0.771661;-0.291292;-0.480369
9;1;1.32;0.821843;1.38513;1.75328;1.35192;;;0.418452;-0.0820663;0.595056
10;1;1.32;1.63613;1.44788;0.813741;0.826175;;;-0.265548;-0.21484;-0.342
11;1;1.32;1.05634;1.36957;1.41723;1.35192;;;0.221479;-0.104101;0.243513
12;1;1.32;2.33043;1.52972;0.418065;0.540769;;;-0.848764;-0.528483;-0.535121
13;1;1.32;0.687464;1.40939;1.64602;1.35192;;;0.53133;-0.262818;0.690047
14;1;1.32;1.68775;1.44419;0.541448;0.55579;;;-0.308909;-0.417272;-0.42012
15;1;1.32;0.723977;1.36416;1.46248;1.35192;;;0.500659;-0.166942;0.404784
16;1;1.32;2.3148;1.45923;0.226267;0.540769;;;-0.835628;-0.584756;-0.668144
17;1;1.32;0.649463;1.38561;1.60902;1.35192;;;0.563251;-0.303131;0.699439
18;1;1.32;1.62358;1.40544;0.528807;0.540769;;;-0.25501;-0.430636;-0.40913
19;1;1.32;0.676089;1.34934;1.45473;1.35192;;;0.540885;-0.160193;0.397947
20;1;1.32;2.31154;1.41807;0.215114;0.540769;;;-0.832897;-0.576642;-0.686891
21;1;1.32;0.636192;1.36594;1.6248;1.35192;;;0.574399;-0.289442;0.703648
22;1;1.32;1.59746;1.38041;0.554686;0.55579;;;-0.233066;-0.405975;-0.403732
23;1;1.32;0.780728;1.34514;1.39726;1.35192;;;0.452988;-0.179481;0.343027
24;1;1.32;2.52526;1.4107;0.0944489;0.540769;;;-1.01242;-0.685689;-0.732703
25;1;1.32;0.693374;1.37295;1.56662;1.35192;;;0.526366;-0.422507;0.769392
26;1;1.32;1.89342;1.39897;0.244382;0.540769;;;-0.481676;-0.663345;-0.504021
27;1;1.32;0.84535;1.37261;1.22026;1.23175;;;0.398706;-0.463992;0.440191
28;1;1.32;2.33168;1.4162;-0.0312898;0.540769;;;-0.849815;-0.888899;-0.62426
29;1;1.32;0.932389;1.39517;1.11958;1.1266;;;0.325593;-0.726102;0.587704
30;1;1.32;1.78438;1.41138;0.115322;0.540769;;;-0.39008;-0.921142;-0.357837
31;1;1.32;0.904302;1.3911;0.876572;0.88626;;;0.349186;-0.746549;0.369633
32;1;1.32;1.91711;1.41133;-0.00717712;0.540769;;;-0.501572;-0.997335;-0.425379
33;1;1.32;0.894724;1.3922;0.862639;0.871239;;;0.357232;-0.818719;0.429402
34;1;1.32;1.50409;1.39619;0.197481;0.540769;;;-0.154639;-0.896039;-0.255935
