PS100;PS80;PS60;PS40;PS20
0.713636;0.286364;0;0;0;
0.0727273;0.195455;0.131818;0.6;0;
1;0;0;0;0;
0.0454545;0.104545;0.204545;0.645455;0;
0.886364;0.113636;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
0.963636;0.0363636;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
0.877273;0.122727;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
0.931818;0.0681818;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
0.872727;0.127273;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.0409091;0.959091;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
0.745455;0.254545;0;0;0;
0;0;0;1;0;
0.745455;0.254545;0;0;0;
0;0;0;1;0;
0.577273;0.422727;0;0;0;
0;0;0;1;0;
0.831818;0.168182;0;0;0;
0;0;0;1;0;
0.8;0.2;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
0.977273;0.0227273;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.0227273;0.977273;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0.127273;0.872727;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0.0636364;0.213636;0.722727;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0.0318182;0.0636364;0.613636;0.290909;0;
0.931818;0.0681818;0;0;0;
0;0;0.331818;0.668182;0;
1;0;0;0;0;
0.0181818;0.0727273;0.736364;0.172727;0;
0.795455;0.204545;0;0;0;
0;0.131818;0.204545;0.663636;0;
1;0;0;0;0;
0.0363636;0.104545;0.372727;0.486364;0;
0.9;0.1;0;0;0;
0;0;0.0272727;0.972727;0;
1;0;0;0;0;
0;0;0.113636;0.886364;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
0.918182;0.0818182;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
0.768182;0.231818;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0;0;1;0;
0.859091;0.140909;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0.0272727;0.168182;0.804545;0;
0.940909;0.0590909;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0.00454545;0.0363636;0.336364;0.622727;0;
0.972727;0.0272727;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0;0.0136364;0.263636;0.722727;0;
1;0;0;0;0;
0;0;0;1;0;
1;0;0;0;0;
0.0136364;0.0818182;0.340909;0.563636;0;
1;0;0;0;0;
0;0;0.127273;0.872727;0;
1;0;0;0;0;
0.0227273;0.0454545;0.713636;0.218182;0;
0.936364;0.0636364;0;0;0;
0;0.240909;0.0954545;0.663636;0;
1;0;0;0;0;
0.0181818;0.259091;0.722727;0;0;
