POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;69.304;61.6294;61.6294;74.5227;70.6298;;;6.44663;3.22331;3.22331
8;1;69.304;101.169;81.3994;47.6355;47.6469;;;-26.7669;-10.1601;-16.6068
9;1;69.304;57.6465;73.4818;80.4544;70.6298;;;9.79231;-5.26399;18.2796
10;1;69.304;85.1272;76.3931;48.3841;48.3955;;;-13.2915;-11.9097;-11.5419
11;1;69.304;62.6886;73.6522;68.5385;68.5392;;;5.55691;-9.13126;9.42418
12;1;69.304;103.043;78.5507;34.4517;34.4532;;;-28.3408;-23.3017;-16.9489
13;1;69.304;51.7835;74.7268;72.0867;70.6298;;;14.7172;-15.943;21.529
14;1;69.304;86.9408;76.2536;34.0093;34.0153;;;-14.8149;-23.3505;-14.7661
15;1;69.304;50.6656;73.4105;66.0351;66.0389;;;15.6563;-15.5224;15.2356
16;1;69.304;102.887;76.3581;23.1171;28.2519;;;-28.2096;-29.6272;-21.9329
17;1;69.304;40.6827;73.1149;73.2441;70.6298;;;24.0419;-17.6063;26.1258
18;1;69.304;90.5745;74.5699;25.2128;28.2519;;;-17.8673;-26.5399;-20.9546
19;1;69.304;40.2833;71.9324;71.4318;70.6298;;;24.3774;-14.3512;21.1223
20;1;69.304;110.404;74.6804;14.8159;28.2519;;;-34.5243;-31.6133;-29.4508
21;1;69.304;42.6292;72.5437;73.0917;70.6298;;;22.4068;-20.4099;28.4656
22;1;69.304;87.5364;73.4807;25.2926;28.2519;;;-15.3152;-28.0675;-18.861
23;1;69.304;40.121;71.5184;68.7385;68.751;;;24.5137;-15.8107;19.9145
24;1;69.304;103.567;73.2989;17.9378;28.2519;;;-28.7808;-30.2011;-26.6472
25;1;69.304;40.1347;71.5534;73.3284;70.6298;;;24.5022;-17.95;26.6415
26;1;69.304;86.3409;72.2927;27.5178;28.2519;;;-14.311;-25.1055;-19.4066
27;1;69.304;39.7639;70.7438;71.4413;70.6298;;;24.8137;-12.6986;19.5624
28;1;69.304;107.579;72.4181;18.1716;28.2519;;;-32.1509;-28.7741;-28.4823
29;1;69.304;39.6121;70.9917;76.7959;70.6298;;;24.9412;-16.3035;28.5461
30;1;69.304;85.434;71.5935;29.5615;29.5656;;;-13.5492;-23.0781;-19.2452
31;1;69.304;41.7918;70.4014;71.7088;70.6298;;;23.1102;-11.523;18.3297
32;1;69.304;110.619;71.9483;18.1315;28.2519;;;-34.7049;-28.8754;-28.9076
33;1;69.304;41.1475;70.8075;76.9275;70.6298;;;23.6515;-17.0497;29.1782
34;1;69.304;86.5053;71.3681;28.7317;28.7322;;;-14.4491;-24.2742;-19.0503
35;1;69.304;40.3524;70.2986;71.9414;70.6298;;;24.3194;-12.1145;19.3842
36;1;69.304;107.717;71.5459;18.9089;28.2519;;;-32.267;-28.248;-28.2932
37;1;69.304;39.9139;70.5255;77.1748;70.6298;;;24.6877;-15.9042;28.4774
38;1;69.304;83.9694;70.9456;31.0835;31.0912;;;-12.3189;-22.0636;-18.5033
39;1;69.304;43.3981;70.1109;71.0158;70.6298;;;21.7609;-11.1832;17.0399
40;1;69.304;103.994;71.1074;23.6515;28.2519;;;-29.1392;-25.7528;-25.4501
41;1;69.304;39.0182;70.1906;78.7152;70.6298;;;25.4401;-13.0327;27.2896
42;1;69.304;84.2987;70.5825;33.3548;33.3655;;;-12.5955;-19.3305;-19.0178
43;1;69.304;47.4094;69.9562;71.1596;70.6298;;;18.3915;-10.1348;15.4935
44;1;69.304;104.295;70.8598;26.1795;28.2519;;;-29.3926;-24.8311;-23.892
45;1;69.304;38.9868;70.0426;79.785;70.6298;;;25.4665;-12.0978;27.4295
46;1;69.304;82.9611;70.3655;35.1861;35.1878;;;-11.472;-17.8338;-18.4692
47;1;69.304;49.4596;69.8556;70.7004;70.6298;;;16.6693;-9.49917;14.0706
48;1;69.304;102.292;70.6279;29.0384;29.043;;;-27.7099;-23.3541;-22.1896
49;1;69.304;39.2934;69.8992;80.2121;70.6298;;;25.2089;-10.7497;26.4594
50;1;69.304;84.2223;70.2247;35.8055;35.8093;;;-12.5313;-17.0153;-18.8701
51;1;69.304;52.8796;69.8393;69.7229;69.7257;;;13.7965;-10.1171;13.1639
52;1;69.304;104.096;70.584;28.6301;28.6333;;;-29.2253;-24.7297;-21.5109
53;1;69.304;40.8998;69.9524;78.5017;70.6298;;;23.8595;-12.8;26.5424
54;1;69.304;87.0224;70.3081;32.5258;32.5321;;;-14.8834;-20.2417;-19.3715
