PS100;PS80;PS60;PS40;PS20
0;0;0;0.49;0.51;
0.103;0.237;0.337;0.323;0;
0;0;0;0.095;0.905;
0.039;0.409;0.552;0;0;
0;0;0;0;1;
0.016;0.797;0.187;0;0;
0;0;0;0;1;
0.005;0.985;0.01;0;0;
0;0;0;0;1;
0.016;0.981;0.003;0;0;
0;0;0;0;1;
0.139;0.861;0;0;0;
0;0;0;0;1;
0.135;0.865;0;0;0;
0;0;0;0;1;
0.169;0.831;0;0;0;
0;0;0;0;1;
0.098;0.902;0;0;0;
0;0;0;0;1;
0.084;0.916;0;0;0;
0;0;0;0;1;
0.055;0.945;0;0;0;
0;0;0;0;1;
0.091;0.909;0;0;0;
0;0;0;0;1;
0.099;0.901;0;0;0;
0;0;0;0;1;
0.181;0.819;0;0;0;
0;0;0;0;1;
0.125;0.875;0;0;0;
0;0;0;0;1;
0.164;0.836;0;0;0;
0;0;0;0;1;
0.1;0.9;0;0;0;
0;0;0;0;1;
0.145;0.855;0;0;0;
0;0;0;0;1;
0.074;0.926;0;0;0;
0;0;0;0;1;
0.136;0.864;0;0;0;
0;0;0;0;1;
0.113;0.887;0;0;0;
0;0;0;0;1;
0.169;0.831;0;0;0;
0;0;0;0;1;
0.109;0.891;0;0;0;
0;0;0;0;1;
0.095;0.905;0;0;0;
0;0;0;0;1;
0.039;0.961;0;0;0;
0;0;0;0;1;
0.09;0.91;0;0;0;
0;0;0;0;1;
0.019;0.981;0;0;0;
0;0;0;0;1;
0.099;0.857;0.044;0;0;
0;0;0;0;1;
0.068;0.932;0;0;0;
0;0;0;0;1;
0.109;0.891;0;0;0;
0;0;0;0;1;
0.072;0.928;0;0;0;
0;0;0;0;1;
0.098;0.902;0;0;0;
0;0;0;0;1;
0.027;0.973;0;0;0;
0;0;0;0;1;
0.038;0.962;0;0;0;
0;0;0;0;1;
0.003;0.977;0.02;0;0;
0;0;0;0;1;
0.098;0.88;0.022;0;0;
0;0;0;0;1;
0.072;0.928;0;0;0;
0;0;0;0;1;
0.101;0.856;0.043;0;0;
0;0;0;0;1;
0.002;0.929;0.069;0;0;
0;0;0;0;1;
0.002;0.934;0.064;0;0;
0;0;0;0;1;
0.003;0.91;0.087;0;0;
0;0;0;0;1;
0.022;0.958;0.02;0;0;
0;0;0;0;1;
0.021;0.937;0.042;0;0;
0;0;0;0;1;
0.046;0.954;0;0;0;
0;0;0;0;1;
0.004;0.996;0;0;0;
0;0;0;0;1;
0.021;0.974;0.005;0;0;
0;0;0;0;1;
0.026;0.928;0.046;0;0;
0;0;0;0;1;
0.13;0.772;0.098;0;0;
0;0;0;0;1;
0.024;0.903;0.073;0;0;
0;0;0;0;1;
0.108;0.685;0.207;0;0;
0;0;0;0;1;
0.008;0.811;0.181;0;0;
0;0;0;0;1;
0.018;0.763;0.219;0;0;
0;0;0;0;1;
0.003;0.715;0.282;0;0;
0;0;0;0;1;
0.029;0.688;0.283;0;0;
0;0;0;0;1;
0.004;0.671;0.325;0;0;
0;0;0;0;1;
0.002;0.69;0.308;0;0;
0;0;0;0;1;
0.017;0.615;0.368;0;0;
0;0;0;0;1;
0.08;0.559;0.361;0;0;
0;0;0;0;1;
0.001;0.661;0.338;0;0;
0;0;0;0;1;
0.011;0.61;0.379;0;0;
