POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;1;3.924;6.29719;6.29719;2.31023;2.3239;;;-1.99348;-0.996738;-0.996738
8;1;3.924;3.21674;4.75696;4.40494;4.42028;;;0.594098;-0.699689;1.29379
9;1;3.924;5.01341;4.84245;2.18646;2.19389;;;-0.915104;-1.15724;-0.754601
10;1;3.924;2.47609;4.25086;4.20889;4.20901;;;1.21625;-0.549118;1.06567
11;1;3.924;5.27778;4.45624;1.84619;1.85262;;;-1.13717;-1.11771;-1.17671
12;1;3.924;2.05255;4.05563;4.64747;4.64779;;;1.57201;-0.331698;1.35459
13;1;3.924;6.42248;4.39375;1.10733;1.47884;;;-2.09872;-1.38106;-1.83537
14;1;3.924;0.905087;3.95767;5.64516;5.65535;;;2.53589;-0.113117;2.31731
15;1;3.924;6.5705;4.24798;0.743319;1.47884;;;-2.22306;-1.22465;-2.37947
16;1;3.924;1.0693;3.93011;5.75208;5.75286;;;2.39795;-0.0256725;2.3105
17;1;3.924;6.3702;4.15194;1.03594;1.47884;;;-2.05481;-1.05308;-2.22638
18;1;3.924;0.895244;3.88055;5.95788;5.96412;;;2.54416;0.219002;2.29948
19;1;3.924;6.20648;4.05947;1.31884;1.47884;;;-1.91729;-0.739641;-2.23072
20;1;3.924;1.06883;3.84585;6.08452;6.09413;;;2.39834;0.459529;2.15781
21;1;3.924;6.54882;4.02605;1.39948;1.47884;;;-2.20485;-0.642896;-2.30159
22;1;3.924;0.878858;3.82935;6.45423;6.46791;;;2.55792;0.636064;2.38138
23;1;3.924;7.18076;4.02649;1.06651;1.47884;;;-2.73568;-0.731774;-2.6468
24;1;3.924;1.06494;3.86196;6.50422;6.51666;;;2.40161;0.469031;2.56864
25;1;3.924;7.31098;4.04349;0.889082;1.47884;;;-2.84506;-0.953499;-2.62334
26;1;3.924;0.869786;3.8848;6.4699;6.48416;;;2.56554;0.329271;2.7053
27;1;3.924;7.22475;4.04385;0.725993;1.47884;;;-2.77263;-1.05704;-2.66908
28;1;3.924;1.09118;3.90963;6.17959;6.19164;;;2.37957;0.13274;2.5761
29;1;3.924;6.96178;4.04234;0.801269;1.47884;;;-2.55173;-1.14313;-2.46565
30;1;3.924;0.888031;3.91091;6.1212;6.12663;;;2.55021;0.13198;2.55097
31;1;3.924;6.84384;4.02822;0.795383;1.47884;;;-2.45266;-1.09435;-2.50144
32;1;3.924;1.10665;3.91586;5.97178;5.98037;;;2.36658;0.0889363;2.40962
33;1;3.924;6.79515;4.0225;0.877268;1.47884;;;-2.41176;-1.11695;-2.38917
34;1;3.924;0.857197;3.90945;6.09836;6.11038;;;2.57611;0.171112;2.49394
35;1;3.924;6.38208;3.99471;1.13556;1.47884;;;-2.06478;-0.861281;-2.32045
36;1;3.924;1.04853;3.89651;6.05043;6.06163;;;2.41539;0.346417;2.24009
37;1;3.924;6.40149;3.97731;1.37803;1.47884;;;-2.08109;-0.694128;-2.24824
38;1;3.924;0.787615;3.87763;6.40316;6.41915;;;2.63456;0.623154;2.35783
39;1;3.924;6.66772;3.96218;1.36415;1.47884;;;-2.30472;-0.529207;-2.46964
40;1;3.924;1.0206;3.87567;6.52146;6.53291;;;2.43885;0.69022;2.37179
41;1;3.924;6.91242;3.96243;1.36266;1.47884;;;-2.51028;-0.564918;-2.47456
42;1;3.924;0.811446;3.8749;6.73076;6.74417;;;2.61455;0.742355;2.56241
43;1;3.924;7.38706;3.96983;1.0042;1.47884;;;-2.90897;-0.712132;-2.76176
44;1;3.924;1.04771;3.89293;6.62223;6.63042;;;2.41609;0.495911;2.66253
45;1;3.924;7.24295;3.97883;0.954984;1.47884;;;-2.78792;-0.898047;-2.602
46;1;3.924;0.867293;3.90104;6.49847;6.50041;;;2.56763;0.38577;2.67778
47;1;3.924;7.03683;3.97752;0.909225;1.47884;;;-2.61478;-0.921621;-2.59121
48;1;3.924;1.07787;3.90848;6.24514;6.25664;;;2.39075;0.273754;2.50277
49;1;3.924;6.66491;3.97258;1.13856;1.47884;;;-2.30236;-0.877428;-2.34656
50;1;3.924;0.86177;3.90188;6.28007;6.28914;;;2.57227;0.408709;2.43732
51;1;3.924;6.73335;3.96481;1.13621;1.47884;;;-2.35985;-0.771219;-2.46606
52;1;3.924;1.05737;3.9016;6.28202;6.28914;;;2.40797;0.432766;2.38391
53;1;3.924;6.80304;3.96333;1.19504;1.47884;;;-2.41839;-0.77643;-2.41318
54;1;3.924;0.865109;3.89879;6.43681;6.45165;;;2.56947;0.508305;2.49393
55;1;3.924;7.39238;3.97008;0.789075;1.47884;;;-2.91344;-0.948413;-2.74145
56;1;3.924;1.22318;3.91515;6.26886;6.27289;;;2.26869;0.185931;2.59106
57;1;3.924;7.84653;3.99223;0.308266;1.47884;;;-3.29493;-1.46153;-2.78181
58;1;3.924;0.958703;3.9339;6.12633;6.12663;;;2.49085;-0.216107;2.89289
59;1;3.924;7.1121;3.99386;0.294561;1.47884;;;-2.678;-1.55511;-2.58443
60;1;3.924;1.10723;3.9404;5.6233;5.6391;;;2.36609;-0.372065;2.52204
61;1;3.924;6.76044;3.99168;0.440112;1.47884;;;-2.38261;-1.56337;-2.37435
62;1;3.924;0.900929;3.93649;5.60762;5.62285;;;2.53938;-0.29368;2.461
63;1;3.924;6.83778;3.98739;0.37926;1.47884;;;-2.44758;-1.51747;-2.49348
64;1;3.924;1.1155;3.93787;5.5401;5.5416;;;2.35914;-0.337898;2.40336
65;1;3.924;6.9196;3.98841;0.369528;1.47884;;;-2.5163;-1.59605;-2.43772
66;1;3.924;0.929332;3.93742;5.62248;5.62285;;;2.51552;-0.338288;2.51591
