PS100;PS80;PS60;PS40;PS20
0;0;0;0.472527;0.527473;
0.0989011;0.274725;0.241758;0.384615;0;
0;0;0;0.296703;0.703297;
0.10989;0.10989;0.604396;0.175824;0;
0;0;0;0;1;
0.021978;0.637363;0.340659;0;0;
0;0;0;0;1;
0.0769231;0.747253;0.175824;0;0;
0;0;0;0;1;
0.0879121;0.725275;0.186813;0;0;
0;0;0;0;1;
0.153846;0.78022;0.0659341;0;0;
0;0;0;0;1;
0.0989011;0.89011;0.010989;0;0;
0;0;0;0;1;
0.186813;0.813187;0;0;0;
0;0;0;0;1;
0.230769;0.769231;0;0;0;
0;0;0;0;1;
0.318681;0.681319;0;0;0;
0;0;0;0;1;
0.197802;0.802198;0;0;0;
0;0;0;0;1;
0.186813;0.813187;0;0;0;
0;0;0;0;1;
0.153846;0.747253;0.0989011;0;0;
0;0;0;0;1;
0.142857;0.857143;0;0;0;
0;0;0;0;1;
0.164835;0.769231;0.0659341;0;0;
0;0;0;0;1;
0.307692;0.692308;0;0;0;
0;0;0;0;1;
0.362637;0.637363;0;0;0;
0;0;0;0;1;
0.483516;0.516484;0;0;0;
0;0;0;0;1;
0.395604;0.604396;0;0;0;
0;0;0;0;1;
0.384615;0.615385;0;0;0;
0;0;0;0;1;
0.043956;0.956044;0;0;0;
0;0;0;0;1;
0.230769;0.56044;0.208791;0;0;
0;0;0;0;1;
0.153846;0.747253;0.0989011;0;0;
0;0;0;0;1;
0.120879;0.879121;0;0;0;
0;0;0;0;1;
0.0549451;0.945055;0;0;0;
0;0;0;0;1;
0.208791;0.791209;0;0;0;
0;0;0;0;1;
0.296703;0.703297;0;0;0;
0;0;0;0;1;
0.406593;0.593407;0;0;0;
0;0;0;0;1;
0.318681;0.681319;0;0;0;
0;0;0;0;1;
0.263736;0.736264;0;0;0;
0;0;0;0;1;
0.10989;0.89011;0;0;0;
0;0;0;0;1;
0.186813;0.813187;0;0;0;
0;0;0;0;1;
0.230769;0.769231;0;0;0;
0;0;0;0;1;
0.340659;0.659341;0;0;0;
0;0;0;0;1;
0.208791;0.791209;0;0;0;
0;0;0;0;1;
0.197802;0.802198;0;0;0;
0;0;0;0;1;
0.186813;0.813187;0;0;0;
0;0;0;0;1;
0.307692;0.692308;0;0;0;
0;0;0;0;1;
0.32967;0.67033;0;0;0;
0;0;0;0;1;
0.43956;0.56044;0;0;0;
0;0;0;0;1;
0.384615;0.615385;0;0;0;
0;0;0;0;1;
0.384615;0.615385;0;0;0;
0;0;0;0;1;
0.21978;0.78022;0;0;0;
0;0;0;0;1;
0.186813;0.813187;0;0;0;
0;0;0;0;1;
0.208791;0.714286;0.0769231;0;0;
0;0;0;0;1;
0.285714;0.681319;0.032967;0;0;
0;0;0;0;1;
0.197802;0.802198;0;0;0;
0;0;0;0;1;
0.274725;0.725275;0;0;0;
0;0;0;0;1;
0.252747;0.747253;0;0;0;
0;0;0;0;1;
0.32967;0.67033;0;0;0;
0;0;0;0;1;
0.252747;0.747253;0;0;0;
0;0;0;0;1;
0.32967;0.67033;0;0;0;
0;0;0;0;1;
0.252747;0.747253;0;0;0;
0;0;0;0;1;
0.340659;0.659341;0;0;0;
0;0;0;0;1;
0.307692;0.692308;0;0;0;
0;0;0;0;1;
0.505495;0.494505;0;0;0;
0;0;0;0;1;
0.43956;0.56044;0;0;0;
0;0;0;0;1;
0.472527;0.527473;0;0;0;
0;0;0;0;1;
0.43956;0.56044;0;0;0;
0;0;0;0;1;
0.527473;0.472527;0;0;0;
