
HM software: Encoder Version [16.2] (including RExt)[Mac OS X][GCC 4.2.1][64 bit] 


Input          File               : /Users/grellert/origCfP/cropped/FourPeople_1280x704_60.yuv
Bitstream      File               : str.bin
Reconstruction File               : rec.yuv
Real     Format                   : 1280x704 60Hz
Internal Format                   : 1280x704 60Hz
Sequence PSNR output              : Linear average only
Sequence MSE output               : Disabled
Frame MSE output                  : Disabled
Cabac-zero-word-padding           : Disabled
Frame/Field                       : Frame based coding
Frame index                       : 0 - 127 (128 frames)
Profile                           : main
CU size / depth                   : 64 / 4
RQT trans. size (min / max)       : 4 / 32
Max RQT depth inter               : 1
Max RQT depth intra               : 3
Min PCM size                      : 8
Motion search range               : 64
Intra period                      : -1
Decoding refresh type             : 0
QP                                : 22.00
Max dQP signaling depth           : 0
FME                               : 2
Cb QP Offset                      : 0
Cr QP Offset                      : 0
Max CU chroma QP adjustment depth : -1
QP adaptation                     : 0 (range=0)
GOP size                          : 4
Input bit depth                   : (Y:8, C:8)
MSB-extended bit depth            : (Y:8, C:8)
Internal bit depth                : (Y:8, C:8)
PCM sample bit depth              : (Y:8, C:8)
Extended precision processing     : Disabled
Intra reference smoothing         : Enabled
Implicit residual DPCM            : Disabled
Explicit residual DPCM            : Disabled
Residual rotation                 : Disabled
Single significance map context   : Disabled
Cross-component prediction        : Disabled
High-precision prediction weight  : Disabled
Golomb-Rice parameter adaptation  : Disabled
CABAC bypass bit alignment        : Disabled
Sao Luma Offset bit shifts        : 0
Sao Chroma Offset bit shifts      : 0
Cost function:                    : Lossy coding (default)
RateControl                       : 0
Max Num Merge Candidates          : 5

TOOL CFG: IBD:0 HAD:0 RDQ:1 RDQTS:1 RDpenalty:0 SQP:0 ASR:0 FEN:1 ECU:0 FDM:1 CFM:0 ESD:0 RQT:1 TransformSkip:1 TransformSkipFast:1 TransformSkipLog2MaxSize:2 Slice: M=0 SliceSegment: M=0 CIP:0 SAO:1 PCM:0 TransQuantBypassEnabled:0 WPP:0 WPB:0 PME:2  WaveFrontSynchro:0 WaveFrontSubstreams:1 ScalingList:0 TMVPMode:1 AQpS:0 SignBitHidingFlag:1 RecalQP:0

Non-environment-variable-controlled macros set as follows: 

                                RExt__DECODER_DEBUG_BIT_STATISTICS =   0
                                      RExt__HIGH_BIT_DEPTH_SUPPORT =   0
                            RExt__HIGH_PRECISION_FORWARD_TRANSFORM =   0
                                        O0043_BEST_EFFORT_DECODING =   0
                              RD_TEST_SAO_DISABLE_AT_PICTURE_LEVEL =   0

                   Input ChromaFormatIDC =   4:2:0
       Output (internal) ChromaFormatIDC =   4:2:0

POC    0 TId: 0 ( I-SLICE, nQP 22 QP 22 )     517704 bits [Y 43.9537 dB    U 47.0418 dB    V 48.1313 dB] [ET  6.53 ] [L0 ] [L1 ]
POC    1 TId: 0 ( P-SLICE, nQP 25 QP 25 )      13088 bits [Y 42.1000 dB    U 46.3206 dB    V 47.6434 dB] [ET  3.85 ] [L0 0 ] [L1 ]
POC    2 TId: 0 ( P-SLICE, nQP 24 QP 24 )      22136 bits [Y 42.6266 dB    U 46.5900 dB    V 47.7885 dB] [ET  5.61 ] [L0 1 0 ] [L1 ]
POC    3 TId: 0 ( P-SLICE, nQP 25 QP 25 )      15872 bits [Y 42.0304 dB    U 46.2779 dB    V 47.5672 dB] [ET  6.78 ] [L0 2 1 0 ] [L1 ]
POC    4 TId: 0 ( P-SLICE, nQP 23 QP 23 )      80272 bits [Y 43.0589 dB    U 46.5447 dB    V 47.8107 dB] [ET 10.95 ] [L0 3 2 1 0 ] [L1 ]
POC    5 TId: 0 ( P-SLICE, nQP 25 QP 25 )      14960 bits [Y 42.1232 dB    U 46.2659 dB    V 47.6332 dB] [ET  8.19 ] [L0 4 3 2 0 ] [L1 ]
POC    6 TId: 0 ( P-SLICE, nQP 24 QP 24 )      24904 bits [Y 42.4047 dB    U 46.3544 dB    V 47.6508 dB] [ET  8.65 ] [L0 5 4 3 0 ] [L1 ]
POC    7 TId: 0 ( P-SLICE, nQP 25 QP 25 )      15720 bits [Y 42.0447 dB    U 46.2057 dB    V 47.5418 dB] [ET  8.26 ] [L0 6 5 4 0 ] [L1 ]
POC    8 TId: 0 ( P-SLICE, nQP 23 QP 23 )      87256 bits [Y 43.0196 dB    U 46.4644 dB    V 47.7620 dB] [ET 11.11 ] [L0 7 6 4 0 ] [L1 ]
POC    9 TId: 0 ( P-SLICE, nQP 25 QP 25 )      14552 bits [Y 42.1296 dB    U 46.3041 dB    V 47.6382 dB] [ET  8.16 ] [L0 8 7 4 0 ] [L1 ]
POC   10 TId: 0 ( P-SLICE, nQP 24 QP 24 )      25096 bits [Y 42.3771 dB    U 46.2993 dB    V 47.5926 dB] [ET  8.64 ] [L0 9 8 4 0 ] [L1 ]
POC   11 TId: 0 ( P-SLICE, nQP 25 QP 25 )      16376 bits [Y 42.0268 dB    U 46.2115 dB    V 47.5240 dB] [ET  8.48 ] [L0 10 8 4 0 ] [L1 ]
POC   12 TId: 0 ( P-SLICE, nQP 23 QP 23 )      86008 bits [Y 42.9888 dB    U 46.4538 dB    V 47.7111 dB] [ET 11.31 ] [L0 11 8 4 0 ] [L1 ]
POC   13 TId: 0 ( P-SLICE, nQP 25 QP 25 )      15336 bits [Y 42.0933 dB    U 46.2883 dB    V 47.5966 dB] [ET  8.58 ] [L0 12 8 4 0 ] [L1 ]
POC   14 TId: 0 ( P-SLICE, nQP 24 QP 24 )      25720 bits [Y 42.3821 dB    U 46.2851 dB    V 47.5295 dB] [ET  8.16 ] [L0 13 12 8 4 ] [L1 ]
POC   15 TId: 0 ( P-SLICE, nQP 25 QP 25 )      16584 bits [Y 42.0611 dB    U 46.2154 dB    V 47.4608 dB] [ET  7.89 ] [L0 14 12 8 4 ] [L1 ]
POC   16 TId: 0 ( P-SLICE, nQP 23 QP 23 )      84808 bits [Y 43.0052 dB    U 46.4674 dB    V 47.6901 dB] [ET 10.39 ] [L0 15 12 8 4 ] [L1 ]
POC   17 TId: 0 ( P-SLICE, nQP 25 QP 25 )      14424 bits [Y 42.1674 dB    U 46.2669 dB    V 47.5764 dB] [ET  7.94 ] [L0 16 12 8 4 ] [L1 ]
POC   18 TId: 0 ( P-SLICE, nQP 24 QP 24 )      23992 bits [Y 42.4168 dB    U 46.3290 dB    V 47.5537 dB] [ET  8.07 ] [L0 17 16 12 8 ] [L1 ]
POC   19 TId: 0 ( P-SLICE, nQP 25 QP 25 )      16680 bits [Y 42.0877 dB    U 46.1865 dB    V 47.4762 dB] [ET  7.84 ] [L0 18 16 12 8 ] [L1 ]
POC   20 TId: 0 ( P-SLICE, nQP 23 QP 23 )      84208 bits [Y 43.0220 dB    U 46.4827 dB    V 47.7215 dB] [ET 10.38 ] [L0 19 16 12 8 ] [L1 ]
POC   21 TId: 0 ( P-SLICE, nQP 25 QP 25 )      14608 bits [Y 42.1798 dB    U 46.3250 dB    V 47.5628 dB] [ET  7.86 ] [L0 20 16 12 8 ] [L1 ]
POC   22 TId: 0 ( P-SLICE, nQP 24 QP 24 )      23040 bits [Y 42.4079 dB    U 46.3552 dB    V 47.5566 dB] [ET  7.89 ] [L0 21 20 16 12 ] [L1 ]
POC   23 TId: 0 ( P-SLICE, nQP 25 QP 25 )      16632 bits [Y 42.0411 dB    U 46.2544 dB    V 47.4876 dB] [ET  7.76 ] [L0 22 20 16 12 ] [L1 ]
POC   24 TId: 0 ( P-SLICE, nQP 23 QP 23 )     106992 bits [Y 43.0562 dB    U 46.5343 dB    V 47.7589 dB] [ET 11.00 ] [L0 23 20 16 12 ] [L1 ]
POC   25 TId: 0 ( P-SLICE, nQP 25 QP 25 )      14888 bits [Y 42.0694 dB    U 46.2907 dB    V 47.5903 dB] [ET  7.73 ] [L0 24 20 16 12 ] [L1 ]
POC   26 TId: 0 ( P-SLICE, nQP 24 QP 24 )      31304 bits [Y 42.3337 dB    U 46.3304 dB    V 47.5831 dB] [ET  8.20 ] [L0 25 24 20 16 ] [L1 ]
POC   27 TId: 0 ( P-SLICE, nQP 25 QP 25 )      17880 bits [Y 42.0722 dB    U 46.2704 dB    V 47.5322 dB] [ET  7.76 ] [L0 26 24 20 16 ] [L1 ]
POC   28 TId: 0 ( P-SLICE, nQP 23 QP 23 )     100640 bits [Y 43.0319 dB    U 46.5455 dB    V 47.7764 dB] [ET 10.77 ] [L0 27 24 20 16 ] [L1 ]
POC   29 TId: 0 ( P-SLICE, nQP 25 QP 25 )      18808 bits [Y 42.0866 dB    U 46.2593 dB    V 47.6707 dB] [ET  7.97 ] [L0 28 24 20 16 ] [L1 ]
POC   30 TId: 0 ( P-SLICE, nQP 24 QP 24 )      35360 bits [Y 42.2422 dB    U 46.2762 dB    V 47.5605 dB] [ET  8.56 ] [L0 29 28 24 20 ] [L1 ]
POC   31 TId: 0 ( P-SLICE, nQP 25 QP 25 )      18488 bits [Y 42.0133 dB    U 46.1999 dB    V 47.5262 dB] [ET  7.86 ] [L0 30 28 24 20 ] [L1 ]
POC   32 TId: 0 ( P-SLICE, nQP 23 QP 23 )      93176 bits [Y 43.0348 dB    U 46.5081 dB    V 47.7558 dB] [ET 10.51 ] [L0 31 28 24 20 ] [L1 ]
POC   33 TId: 0 ( P-SLICE, nQP 25 QP 25 )      17168 bits [Y 42.1002 dB    U 46.2543 dB    V 47.5882 dB] [ET  7.78 ] [L0 32 28 24 20 ] [L1 ]
POC   34 TId: 0 ( P-SLICE, nQP 24 QP 24 )      38336 bits [Y 42.2293 dB    U 46.2551 dB    V 47.5274 dB] [ET  8.55 ] [L0 33 32 28 24 ] [L1 ]
POC   35 TId: 0 ( P-SLICE, nQP 25 QP 25 )      18184 bits [Y 41.9459 dB    U 46.1497 dB    V 47.5175 dB] [ET  7.88 ] [L0 34 32 28 24 ] [L1 ]
POC   36 TId: 0 ( P-SLICE, nQP 23 QP 23 )      91856 bits [Y 43.0146 dB    U 46.4843 dB    V 47.7171 dB] [ET 10.33 ] [L0 35 32 28 24 ] [L1 ]
POC   37 TId: 0 ( P-SLICE, nQP 25 QP 25 )      13784 bits [Y 42.0638 dB    U 46.2010 dB    V 47.5928 dB] [ET  7.61 ] [L0 36 32 28 24 ] [L1 ]
POC   38 TId: 0 ( P-SLICE, nQP 24 QP 24 )      35440 bits [Y 42.1917 dB    U 46.2090 dB    V 47.5216 dB] [ET  8.56 ] [L0 37 36 32 28 ] [L1 ]
POC   39 TId: 0 ( P-SLICE, nQP 25 QP 25 )      14512 bits [Y 41.9078 dB    U 46.1502 dB    V 47.4627 dB] [ET  7.65 ] [L0 38 36 32 28 ] [L1 ]
POC   40 TId: 0 ( P-SLICE, nQP 23 QP 23 )      88680 bits [Y 43.0118 dB    U 46.4224 dB    V 47.6858 dB] [ET 10.33 ] [L0 39 36 32 28 ] [L1 ]
POC   41 TId: 0 ( P-SLICE, nQP 25 QP 25 )      13248 bits [Y 42.0725 dB    U 46.2338 dB    V 47.5643 dB] [ET  7.58 ] [L0 40 36 32 28 ] [L1 ]
POC   42 TId: 0 ( P-SLICE, nQP 24 QP 24 )      34296 bits [Y 42.2263 dB    U 46.1836 dB    V 47.5348 dB] [ET  8.53 ] [L0 41 40 36 32 ] [L1 ]
POC   43 TId: 0 ( P-SLICE, nQP 25 QP 25 )      14128 bits [Y 41.9035 dB    U 46.1461 dB    V 47.4753 dB] [ET  7.62 ] [L0 42 40 36 32 ] [L1 ]
POC   44 TId: 0 ( P-SLICE, nQP 23 QP 23 )      91080 bits [Y 43.0068 dB    U 46.4228 dB    V 47.6776 dB] [ET 10.44 ] [L0 43 40 36 32 ] [L1 ]
POC   45 TId: 0 ( P-SLICE, nQP 25 QP 25 )      16840 bits [Y 42.0404 dB    U 46.2418 dB    V 47.5222 dB] [ET  7.71 ] [L0 44 40 36 32 ] [L1 ]
POC   46 TId: 0 ( P-SLICE, nQP 24 QP 24 )      38704 bits [Y 42.2207 dB    U 46.2138 dB    V 47.4328 dB] [ET  8.62 ] [L0 45 44 40 36 ] [L1 ]
POC   47 TId: 0 ( P-SLICE, nQP 25 QP 25 )      16504 bits [Y 41.9291 dB    U 46.1459 dB    V 47.4582 dB] [ET  7.73 ] [L0 46 44 40 36 ] [L1 ]
