POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;0;0;0.561218;0;0;0;;;0;0;0
1;0;0;0.484668;0;0;0;;;0;0;0
2;0;0;0.721083;0;0;0;;;0;0;0
3;0;0;0.860855;0;0;0;;;0;0;0
4;0;0;1.75232;0;0;0;;;0;0;0
5;0;0;0.730041;0;0;0;;;0;0;0
6;0;0;0.790992;0;0;0;;;0;0;0
7;1;1.04143;0.817727;0.817727;1.462;1.02277;;;0.187912;0.366875;0.0894817
8;1;1.04143;1.73487;1.2763;0.0151672;0.204554;;;-0.582485;-0.770358;-0.366856
9;1;1.04143;0.056698;0.869764;2.39975;1.02277;;;0.827176;0.844605;0.671267
10;1;1.04143;1.06344;0.918183;1.45077;1.02277;;;-0.0184873;0.80851;-0.402697
11;1;1.04143;1.03128;0.940802;1.87783;1.02277;;;0.00852705;0.825158;0.012864
12;1;1.04143;1.74785;1.07531;0.534464;0.409108;;;-0.593391;-0.333367;-0.286628
13;1;1.04143;0.698525;1.02148;1.6353;1.02277;;;0.288041;0.228999;0.41973
14;1;1.04143;1.06739;1.02722;1.08448;1.02277;;;-0.0218011;0.186435;-0.147544
15;1;1.04143;1.01531;1.0259;1.28736;1.02277;;;0.0219452;0.229281;0.0208316
16;1;1.04143;1.74391;1.0977;-0.0603889;0.204554;;;-0.590078;-0.922776;-0.29144
17;1;1.04143;0.05737;1.00312;2.24968;1.02277;;;0.826611;0.691084;0.674614
18;1;1.04143;1.08947;1.01032;1.24858;1.02277;;;-0.0403517;0.612302;-0.41284
19;1;1.04143;1.07755;1.01549;1.60505;1.02277;;;-0.0303397;0.553067;0.0047676
20;1;1.04143;1.71615;1.06554;0.340469;0.204554;;;-0.566766;-0.553476;-0.255441
21;1;1.04143;0.058815;0.998423;2.60516;1.02277;;;0.825398;1.05801;0.662935
22;1;1.04143;1.08932;1.0041;1.61637;1.02277;;;-0.0402257;0.979479;-0.412202
23;1;1.04143;1.07304;1.00816;1.98064;1.02277;;;-0.0265522;0.927639;0.0065112
24;1;1.04143;1.78975;1.05158;0.574869;0.409108;;;-0.62859;-0.299609;-0.286685
25;1;1.04143;0.701893;1.03318;1.67948;1.02277;;;0.285212;0.257234;0.435144
26;1;1.04143;1.05413;1.03422;1.13897;1.02277;;;-0.0106695;0.236403;-0.140896
27;1;1.04143;1.08255;1.03652;1.20562;1.02277;;;-0.0345364;0.168975;-0.0113652
28;1;1.04143;1.78391;1.0705;-0.169014;0.204554;;;-0.623685;-1.0487;-0.280547
29;1;1.04143;0.059616;1.02655;2.13554;1.02277;;;0.824725;0.561481;0.689719
30;1;1.04143;1.1137;1.03018;1.07433;1.02277;;;-0.0607024;0.442967;-0.421632
31;1;1.04143;1.04955;1.03095;1.49804;1.02277;;;-0.00682227;0.429648;0.0256572
32;1;1.04143;1.79373;1.06029;0.0600116;0.204554;;;-0.631928;-0.804117;-0.29767
33;1;1.04143;0.063158;1.02336;2.37739;1.02277;;;0.82175;0.800251;0.692228
34;1;1.04143;1.10997;1.02645;1.32153;1.02277;;;-0.0575692;0.687854;-0.418723
35;1;1.04143;1.0871;1.02854;1.67083;1.02277;;;-0.0383659;0.612949;0.0091444
36;1;1.04143;1.76682;1.05315;0.308928;0.204554;;;-0.609322;-0.576681;-0.271884
37;1;1.04143;0.061627;1.02117;2.59694;1.02277;;;0.823036;1.0302;0.682075
38;1;1.04143;1.11146;1.02399;1.54805;1.02277;;;-0.0588267;0.915346;-0.419934
39;1;1.04143;1.10395;1.02641;1.86726;1.02277;;;-0.0525132;0.81282;0.0030064
40;1;1.04143;1.78065;1.0486;0.489519;0.409108;;;-0.620947;-0.399505;-0.270683
41;1;1.04143;0.697702;1.03857;1.58383;1.02277;;;0.288733;0.164211;0.433181
42;1;1.04143;1.11508;1.0407;0.929687;0.818215;;;-0.0618666;0.0434239;-0.166952
43;1;1.04143;0.494325;1.02593;2.14288;1.02277;;;0.459569;0.940678;0.248303
44;1;1.04143;1.81409;1.04667;0.310665;0.204554;;;-0.649035;-0.326485;-0.527907
45;1;1.04143;0.061939;1.02142;2.86546;1.02277;;;0.822773;1.27988;0.700861
46;1;1.04143;1.15405;1.02474;1.7178;1.02277;;;-0.0945981;1.09519;-0.436844
47;1;1.04143;1.11033;1.02682;2.05214;1.02277;;;-0.057875;0.982196;0.0174872
48;1;1.04143;1.7837;1.04484;0.655729;0.613661;;;-0.623502;-0.235118;-0.269346
49;1;1.04143;0.426781;1.03047;2.25876;1.02277;;;0.516306;0.772909;0.542766
50;1;1.04143;1.13395;1.03282;1.39455;1.02277;;;-0.0777149;0.62118;-0.282867
51;1;1.04143;1.12002;1.03476;1.55187;1.02277;;;-0.0660154;0.492292;0.0055712
52;1;1.04143;1.80405;1.05148;0.131442;0.204554;;;-0.640597;-0.758397;-0.27361
53;1;1.04143;0.078118;1.03077;2.39911;1.02277;;;0.809183;0.821436;0.690372
54;1;1.04143;1.19304;1.03415;1.19251;1.02277;;;-0.127353;0.572795;-0.44597
55;1;1.04143;1.16319;1.03679;1.44597;1.02277;;;-0.102276;0.373114;0.0119416
56;1;1.04143;1.8205;1.05246;-0.00139989;0.204554;;;-0.654417;-0.904558;-0.262924
57;1;1.04143;0.076678;1.03333;2.26224;1.02277;;;0.810393;0.677638;0.697528
58;1;1.04143;1.20067;1.03655;1.03381;1.02277;;;-0.133756;0.416494;-0.449595
59;1;1.04143;1.09476;1.03765;1.42135;1.02277;;;-0.0447995;0.329029;0.0423604
60;1;1.04143;1.82138;1.05216;-0.0745181;0.204554;;;-0.65516;-0.950094;-0.290648
61;1;1.04143;0.079465;1.03447;2.21182;1.02277;;;0.808052;0.627531;0.696768
62;1;1.04143;1.22356;1.03785;0.94177;0.818215;;;-0.15299;0.328836;-0.457639
63;1;1.04143;0.52205;1.0288;2.41956;1.02277;;;0.43628;1.18062;0.280605
64;1;1.04143;1.85355;1.04302;0.48751;0.409108;;;-0.682183;-0.15126;-0.532602
65;1;1.04143;0.741015;1.0379;1.7798;1.02277;;;0.25235;0.341423;0.445016
66;1;1.04143;1.18621;1.04037;0.9905;0.818215;;;-0.121616;0.103983;-0.178079
67;1;1.04143;0.526186;1.03195;2.17199;1.02277;;;0.432806;0.948985;0.26401
68;1;1.04143;1.84373;1.04504;0.276;0.204554;;;-0.673929;-0.366782;-0.527017
69;1;1.04143;0.073366;1.02962;2.81553;1.02277;;;0.813175;1.22085;0.708145
70;1;1.04143;1.20863;1.03241;1.56072;1.02277;;;-0.140445;0.946642;-0.454105
71;1;1.04143;1.08291;1.03319;1.97697;1.02277;;;-0.0348422;0.878617;0.0502872
72;1;1.04143;1.82696;1.04522;0.459838;0.409108;;;-0.659848;-0.409656;-0.297622
73;1;1.04143;0.713788;1.04027;1.56196;1.02277;;;0.27522;0.127679;0.44527
74;1;1.04143;1.20668;1.04272;0.727377;0.613661;;;-0.138812;-0.143336;-0.197158
75;1;1.04143;0.453841;1.03418;2.06887;1.02277;;;0.493576;0.820312;0.301137
76;1;1.04143;1.82154;1.04543;0.160101;0.204554;;;-0.655292;-0.459068;-0.54708
77;1;1.04143;0.066018;1.03164;2.72818;1.02277;;;0.819347;1.14061;0.702209
78;1;1.04143;1.19047;1.03384;1.51168;1.02277;;;-0.125194;0.896183;-0.449782
79;1;1.04143;1.13055;1.03517;1.82969;1.02277;;;-0.0748597;0.750028;0.0239688
80;1;1.04143;1.79918;1.04549;0.402545;0.204554;;;-0.636506;-0.492675;-0.267451
81;1;1.04143;0.068353;1.03246;2.68124;1.02277;;;0.817386;1.10317;0.69233
82;1;1.04143;1.23562;1.03514;1.39029;1.02277;;;-0.16312;0.784701;-0.466908
83;1;1.04143;1.13296;1.03641;1.73174;1.02277;;;-0.0768825;0.634597;0.0410656
84;1;1.04143;1.87659;1.04718;0.142538;0.204554;;;-0.701534;-0.735065;-0.297453
85;1;1.04143;0.067163;1.03477;2.47205;1.02277;;;0.818385;0.862735;0.723771
86;1;1.04143;1.22121;1.0371;1.17647;1.02277;;;-0.151016;0.567894;-0.46162
87;1;1.04143;1.11786;1.0381;1.53756;1.02277;;;-0.0641976;0.442556;0.041342
88;1;1.04143;1.85614;1.04808;-0.0170986;0.204554;;;-0.684357;-0.89357;-0.295314
89;1;1.04143;0.070686;1.0363;2.29875;1.02277;;;0.815426;0.698453;0.714182
90;1;1.04143;1.23616;1.03868;0.985503;0.818215;;;-0.163569;0.379104;-0.466188
91;1;1.04143;0.526738;1.03266;2.46605;1.02277;;;0.432342;1.2232;0.283767
92;1;1.04143;1.86053;1.04228;0.518851;0.409108;;;-0.688042;-0.120119;-0.533516
93;1;1.04143;0.742275;1.03883;1.81136;1.02277;;;0.251291;0.370497;0.447302
94;1;1.04143;1.16463;1.04026;1.06065;1.02277;;;-0.103488;0.168449;-0.168942
95;1;1.04143;1.12799;1.04125;1.09642;1.02277;;;-0.0727119;0.0264881;0.0146552
96;1;1.04143;1.8322;1.05004;-0.384094;0.204554;;;-0.664242;-1.27037;-0.281681
97;1;1.04143;0.071272;1.03928;1.91127;1.02277;;;0.814934;0.320695;0.70437
98;1;1.04143;1.22105;1.04126;0.636383;0.613661;;;-0.150878;0.0261236;-0.45991
99;1;1.04143;0.452172;1.03492;2.24721;1.02277;;;0.494978;0.992509;0.30755
100;1;1.04143;1.88173;1.04393;0.218475;0.204554;;;-0.705851;-0.385581;-0.571823
101;1;1.04143;0.075547;1.03374;2.80783;1.02277;;;0.811343;1.19847;0.722473
102;1;1.04143;1.23094;1.03579;1.49727;1.02277;;;-0.159189;0.887671;-0.462158
103;1;1.04143;1.1094;1.03655;1.87712;1.02277;;;-0.0570963;0.776198;0.0486156
104;1;1.04143;1.80556;1.0444;0.408265;0.204554;;;-0.641864;-0.476965;-0.278461
105;1;1.04143;0.067503;1.03453;2.7011;1.02277;;;0.8181;1.12028;0.695221
106;1;1.04143;1.23608;1.03655;1.4062;1.02277;;;-0.163502;0.801058;-0.46743
107;1;1.04143;1.10741;1.03725;1.79631;1.02277;;;-0.0554221;0.692853;0.0514668
108;1;1.04143;1.85535;1.04527;0.230518;0.204554;;;-0.683688;-0.641966;-0.299174
109;1;1.04143;0.063892;1.03574;2.5628;1.02277;;;0.821133;0.961199;0.716581
110;1;1.04143;1.22428;1.03755;1.26785;1.02277;;;-0.153595;0.661323;-0.464156
111;1;1.04143;1.11007;1.03824;1.64686;1.02277;;;-0.057654;0.548761;0.045686
112;1;1.04143;1.87137;1.0461;0.057369;0.204554;;;-0.697145;-0.812332;-0.30452
113;1;1.04143;0.073835;1.03702;2.38015;1.02277;;;0.812781;0.774526;0.719012
114;1;1.04143;1.24865;1.03898;1.03934;1.02277;;;-0.174066;0.434682;-0.469927
115;1;1.04143;1.11487;1.03967;1.42094;1.02277;;;-0.0616869;0.314246;0.053514
116;1;1.04143;1.85627;1.0471;-0.146836;0.204554;;;-0.68446;-1.02208;-0.296559
117;1;1.04143;0.072825;1.03832;2.16626;1.02277;;;0.813629;0.566433;0.713376
118;1;1.04143;1.211;1.03986;0.901638;0.818215;;;-0.142435;0.288345;-0.455269
119;1;1.04143;0.531586;1.03536;2.35611;1.02277;;;0.42827;1.12449;0.271764
120;1;1.04143;1.87471;1.04273;0.395413;0.204554;;;-0.699958;-0.242093;-0.537251
121;1;1.04143;0.071415;1.03428;2.95628;1.02277;;;0.814814;1.34873;0.72132
122;1;1.04143;1.21671;1.03585;1.67264;1.02277;;;-0.147231;1.06128;-0.458116
123;1;1.04143;1.14725;1.0368;1.97388;1.02277;;;-0.0888894;0.887737;0.0277816
124;1;1.04143;1.88642;1.044;0.382912;0.204554;;;-0.709793;-0.498049;-0.295668
125;1;1.04143;0.06302;1.03576;2.72079;1.02277;;;0.821865;1.10655;0.729361
126;1;1.04143;1.20636;1.03718;1.44655;1.02277;;;-0.138538;0.836065;-0.457335
127
