POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;0;0;4.57565;0;0;0;;;0;0;0
1;0;0;6.92035;0;0;0;;;0;0;0
2;0;0;9.73387;0;0;0;;;0;0;0
3;0;0;10.921;0;0;0;;;0;0;0
4;0;0;17.8219;0;0;0;;;0;0;0
5;0;0;10.0319;0;0;0;;;0;0;0
6;0;0;10.7522;0;0;0;;;0;0;0
7;1;1.60069;10.3068;10.3068;-14.7668;2.44564;;;-7.31311;-14.278;-3.48243
8;1;1.60069;1.54957;5.92817;-9.09876;2.44564;;;0.0429368;-14.1942;3.50288
9;1;1.60069;1.14366;4.33334;-11.7547;2.44564;;;0.383903;-13.4446;0.162365
10;1;1.60069;1.23308;3.55827;-11.3356;2.44564;;;0.30879;-12.8418;-0.035768
11;1;1.60069;1.16271;3.07916;-10.5647;2.44564;;;0.367903;-12.1235;0.0281492
12;1;1.60069;1.55098;2.82446;-10.6045;2.44564;;;0.0417558;-12.0419;-0.155308
13;1;1.60069;1.12438;2.58159;-9.56567;2.44564;;;0.400101;-11.2608;0.17064
14;1;1.60069;1.21163;2.41035;-9.1192;2.44564;;;0.326806;-10.6227;-0.034902
15;1;1.60069;1.12119;2.26711;-8.27621;2.44564;;;0.402782;-9.83636;0.0361788
16;1;1.60069;1.55473;2.19587;-8.34108;2.44564;;;0.0386008;-9.76099;-0.17342
17;1;1.60069;1.10885;2.09705;-7.25403;2.44564;;;0.413144;-8.95438;0.178354
18;1;1.60069;1.1967;2.02202;-6.79093;2.44564;;;0.339351;-8.29184;-0.0351396
19;1;1.60069;1.08207;1.94972;-5.87775;2.44564;;;0.435635;-7.44131;0.0458496
20;1;1.60069;1.53993;1.92045;-5.93384;2.44564;;;0.0510378;-7.34167;-0.183142
21;1;1.60069;1.08416;1.86469;-4.79421;2.44564;;;0.433884;-6.49456;0.182308
22;1;1.60069;1.15623;1.82042;-4.26491;2.44564;;;0.373343;-5.76565;-0.0288288
23;1;1.60069;1.12213;1.77934;-3.44305;2.44564;;;0.40199;-4.98081;0.0136412
24;1;1.60069;1.55044;1.76662;-3.47709;2.44564;;;0.0422052;-4.89841;-0.171326
25;1;1.60069;1.04813;1.72881;-2.27901;2.44564;;;0.464151;-3.99222;0.200926
26;1;1.60069;1.20601;1.70267;-1.87056;2.44564;;;0.331529;-3.34494;-0.0631532
