POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;0;0;4.2859;0;0;0;;;0;0;0
1;0;0;4.87368;0;0;0;;;0;0;0
2;0;0;6.67405;0;0;0;;;0;0;0
3;0;0;8.08626;0;0;0;;;0;0;0
4;0;0;11.4989;0;0;0;;;0;0;0
5;0;0;7.80114;0;0;0;;;0;0;0
6;0;0;7.92369;0;0;0;;;0;0;0
7;1;3.95667;7.89393;7.89393;-3.44536;1.75588;;;-3.30729;-6.4571;-1.5749
8;1;3.95667;0.854079;4.374;4.90735;3.51177;;;2.60618;-1.36884;2.81594
9;1;3.95667;7.39218;5.38006;-5.11196;1.75588;;;-2.88582;-7.00307;-2.61524
10;1;3.95667;0.573363;4.17839;4.68842;3.51177;;;2.84198;-1.45444;2.72753
11;1;3.95667;7.56759;4.85623;-5.63963;1.75588;;;-3.03317;-7.37636;-2.79769
12;1;3.95667;0.888253;4.1949;3.79331;3.51177;;;2.57747;-2.34415;2.67174
13;1;3.95667;7.59803;4.68106;-6.4606;1.75588;;;-3.05874;-8.31597;-2.68391
14;1;3.95667;0.576385;4.16798;3.45218;1.75588;;;2.83944;-2.7723;2.80866
15;1;3.95667;0.568647;3.76805;6.20174;5.26765;;;2.84594;2.78406;0.0030952
16;1;3.95667;5.09725;3.90097;3.24123;1.75588;;;-0.958085;0.913511;-1.81144
17;1;3.95667;0.525842;3.59414;11.7764;8.77942;;;2.8819;6.54007;1.82856
18;1;3.95667;9.70637;4.10349;-1.68502;1.75588;;;-4.82975;-2.88943;-3.67221
19;1;3.95667;0.546173;3.82985;9.77886;8.77942;;;2.86482;2.70378;3.66408
20;1;3.95667;11.4045;4.3709;-8.70571;1.75588;;;-6.2562;-9.51069;-4.34334
21;1;3.95667;0.518235;4.11406;3.88938;3.51177;;;2.88829;-3.87166;4.35452
22;1;3.95667;7.65446;4.33533;-8.2422;1.75588;;;-3.10614;-9.93603;-2.85449
23;1;3.95667;0.528328;4.11139;1.94504;1.75588;;;2.87981;-4.31355;2.85045
24;1;3.95667;0.899622;3.93296;4.01904;3.51177;;;2.56792;0.700016;-0.148518
25;1;3.95667;7.58605;4.12523;-3.38936;1.75588;;;-3.04868;-5.25216;-2.67457
26;1;3.95667;0.572393;3.94758;6.5187;5.26765;;;2.84279;0.298053;2.80546
27;1;3.95667;4.39989;3.96912;2.06776;1.75588;;;-0.372302;-0.428823;-1.531
28;1;3.95667;0.862547;3.82792;9.52209;8.77942;;;2.59906;4.64554;1.41494
29;1;3.95667;9.6236;4.0799;-3.28927;1.75588;;;-4.76022;-4.64823;-3.50442
30;1;3.95667;0.537569;3.9323;8.00313;7.02353;;;2.87205;0.959102;3.63441
