POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;0;0;9.62367;0;0;0;;;0;0;0
1;0;0;17.1053;0;0;0;;;0;0;0
2;0;0;25.7617;0;0;0;;;0;0;0
3;0;0;28.8393;0;0;0;;;0;0;0
4;0;0;45.1088;0;0;0;;;0;0;0
5;0;0;26.0883;0;0;0;;;0;0;0
6;0;0;28.7705;0;0;0;;;0;0;0
7;1;24.4833;27.1336;27.1336;19.5009;19.0652;;;-2.2262;-4.34639;-1.06009
8;1;24.4833;19.4717;23.3026;30.6188;25.4202;;;4.20974;3.87263;3.06473
9;1;24.4833;14.9046;20.5033;44.3593;31.7753;;;8.04613;19.5817;1.82685
10;1;24.4833;36.9864;24.6241;16.7278;12.7101;;;-10.5026;-0.92326;-8.83271
11;1;24.4833;27.1672;25.1327;23.5156;19.0652;;;-2.25444;-5.32478;3.92768
12;1;24.4833;20.7332;24.3994;27.2824;25.4202;;;3.15014;0.825489;2.57361
13;1;24.4833;15.2133;23.0871;41.2365;31.7753;;;7.78685;16.0284;2.20796
14;1;24.4833;38.3938;25.0005;10.652;6.35505;;;-11.6848;-6.78482;-9.27222
15;1;24.4833;2.76748;22.5301;64.0885;31.7753;;;18.2413;28.8292;14.2505
16;1;24.4833;48.6542;25.1425;-0.815075;6.35505;;;-20.3035;-10.8111;-18.3547
17;1;24.4833;2.4764;23.082;64.7136;31.7753;;;18.4858;25.2803;18.4711
18;1;24.4833;38.5854;24.3739;14.449;12.7101;;;-11.8457;2.15294;-14.4436
19;1;24.4833;28.3129;24.6769;25.0775;19.0652;;;-3.21683;-4.12754;4.109
20;1;24.4833;21.6503;24.4607;27.2136;25.4202;;;2.37971;0.518564;2.66502
21;1;24.4833;15.1922;23.8428;41.336;31.7753;;;7.80453;15.756;2.58325
22;1;24.4833;38.6123;24.7659;9.96045;6.35505;;;-11.8683;-7.41548;-9.36802
23;1;24.4833;2.72801;23.4696;63.6194;31.7753;;;18.2745;28.2632;14.3537
24;1;24.4833;48.9329;24.8842;-1.92069;6.35505;;;-20.5376;-11.834;-18.4819
25;1;24.4833;2.44884;23.7034;63.854;31.7753;;;18.509;24.3026;18.5936
26;1;24.4833;38.7293;24.4547;13.1896;12.7101;;;-11.9666;0.939109;-14.5122
27;1;24.4833;28.4013;24.6426;23.7551;19.0652;;;-3.29108;-5.48633;4.13122
28;1;24.4833;20.9677;24.4756;27.1736;25.4202;;;2.95315;0.279336;2.97344
