POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;0;0;10.6945;0;0;0;;;0;0;0
1;0;0;12.7249;0;0;0;;;0;0;0
2;0;0;18.7273;0;0;0;;;0;0;0
3;0;0;22.0496;0;0;0;;;0;0;0
4;0;0;35.1636;0;0;0;;;0;0;0
5;0;0;20.3512;0;0;0;;;0;0;0
6;0;0;21.9365;0;0;0;;;0;0;0
7;1;0.00078125;21.2163;21.2163;-39.8844;4.93338;;;-17.821;-34.7934;-8.48621
8;1;0.00078125;3.19556;12.2059;-32.3126;4.93338;;;-2.68361;-40.0329;7.2083
9;1;0.00078125;1.70686;8.70624;-41.9616;4.93338;;;-1.43311;-42.8309;0.595479
10;1;0.00078125;2.17252;7.07281;-46.2305;4.93338;;;-1.82426;-46.3925;-0.186263
11;1;0.00078125;1.9668;6.05161;-49.2192;4.93338;;;-1.65146;-49.6168;0.0822872
12;1;0.00078125;3.21823;5.57938;-54.8784;4.93338;;;-2.70266;-54.8934;-0.500573
13;1;0.00078125;1.70865;5.02642;-56.8164;4.93338;;;-1.43461;-57.6943;0.603835
14;1;0.00078125;2.13594;4.66511;-61.0245;4.93338;;;-1.79353;-61.196;-0.170918
15;1;0.00078125;1.94556;4.36294;-63.9973;4.93338;;;-1.63361;-64.3854;0.0761536
16;1;0.00078125;3.27765;4.25441;-69.7672;4.93338;;;-2.75257;-69.7595;-0.532836
17;1;0.00078125;1.70939;4.02304;-71.6601;4.93338;;;-1.43523;-72.5616;0.627303
18;1;0.00078125;2.10872;3.86351;-75.8403;4.93338;;;-1.77067;-76.0186;-0.159733
19;1;0.00078125;1.95348;3.71659;-78.8457;4.93338;;;-1.64027;-79.221;0.0620972
20;1;0.00078125;3.34261;3.68988;-84.7218;4.93338;;;-2.80714;-84.7016;-0.555654
21;1;0.00078125;1.72103;3.55862;-86.5982;4.93338;;;-1.44501;-87.5228;0.648631
22;1;0.00078125;2.19317;3.47328;-90.9556;4.93338;;;-1.8416;-91.1183;-0.188852
23;1;0.00078125;1.92562;3.38224;-93.8593;4.93338;;;-1.61686;-94.2751;0.10702
24;1;0.00078125;3.38905;3.38262;-99.8743;4.93338;;;-2.84615;-99.8318;-0.585376
25;1;0.00078125;1.71196;3.29469;-101.693;4.93338;;;-1.43739;-102.638;0.670838
26;1;0.00078125;2.15605;3.23776;-106.005;4.93338;;;-1.81043;-106.173;-0.177638
27;1;0.00078125;1.90539;3.17431;-108.891;4.93338;;;-1.59987;-109.296;0.100267
28;1;0.00078125;3.3539;3.18247;-114.838;4.93338;;;-2.81662;-114.795;-0.579405
29;1;0.00078125;1.71488;3.11867;-116.676;4.93338;;;-1.43984;-117.607;0.655609
30;1;0.00078125;2.10832;3.07657;-120.882;4.93338;;;-1.77034;-121.063;-0.15738
31;1;0.00078125;1.90562;3.02973;-123.8;4.93338;;;-1.60006;-124.187;0.0810824
32;1;0.00078125;3.39221;3.04367;-129.8;4.93338;;;-2.8488;-129.749;-0.594637
33;1;0.00078125;1.73622;2.99525;-131.654;4.93338;;;-1.45777;-132.595;0.662396
34;1;0.00078125;2.13469;2.96451;-135.912;4.93338;;;-1.79248;-136.095;-0.159387
35;1;0.00078125;2.03224;2.93237;-139.059;4.93338;;;-1.70643;-139.426;0.040978
36;1;0.00078125;3.46866;2.95024;-145.132;4.93338;;;-2.91302;-145.113;-0.574566
37;1;0.00078125;1.77321;2.91227;-147.058;4.93338;;;-1.48884;-148.02;0.67818
38;1;0.00078125;2.15588;2.88864;-151.362;4.93338;;;-1.81028;-151.555;-0.153069
39;1;0.00078125;2.03064;2.86264;-154.508;4.93338;;;-1.70508;-154.884;0.0500948
40;1;0.00078125;3.51192;2.88173;-160.672;4.93338;;;-2.94935;-160.642;-0.59251
41;1;0.00078125;1.78985;2.85054;-162.6;4.93338;;;-1.50282;-163.576;0.688825
42;1;0.00078125;2.17281;2.83171;-166.943;4.93338;;;-1.82451;-167.138;-0.153184
43;1;0.00078125;1.93465;2.80747;-169.904;4.93338;;;-1.62445;-170.31;0.0952656
44;1;0.00078125;3.60169;2.82837;-176.305;4.93338;;;-3.02476;-176.215;-0.666816
45;1;0.00078125;1.77838;2.80144;-178.116;4.93338;;;-1.49318;-179.13;0.729323
46;1;0.00078125;2.17843;2.78587;-182.513;4.93338;;;-1.82922;-182.702;-0.160019
47;1;0.00078125;2.09013;2.7689;-185.758;4.93338;;;-1.75505;-186.128;0.0353184
48;1;0.00078125;3.58895;2.78842;-192.037;4.93338;;;-3.01406;-192.013;-0.599526
49;1;0.00078125;1.81157;2.76571;-193.981;4.93338;;;-1.52106;-194.983;0.710952
50;1;0.00078125;2.28858;2.75486;-198.559;4.93338;;;-1.92176;-198.735;-0.190807
51;1;0.00078125;2.11436;2.74063;-201.792;4.93338;;;-1.77541;-202.201;0.069688
52;1;0.00078125;3.7285;2.76211;-208.363;4.93338;;;-3.13128;-208.314;-0.645653
53;1;0.00078125;1.89609;2.74368;-210.386;4.93338;;;-1.59206;-211.423;0.732964
54;1;0.00078125;2.28094;2.73404;-214.95;4.93338;;;-1.91533;-215.162;-0.153942
55;1;0.00078125;2.14148;2.72195;-218.274;4.93338;;;-1.79819;-218.673;0.0557844
56;1;0.00078125;3.7161;2.74183;-224.801;4.93338;;;-3.12087;-224.766;-0.629849
57;1;0.00078125;1.90697;2.72546;-226.863;4.93338;;;-1.6012;-227.892;0.723654
58;1;0.00078125;2.31414;2.71755;-231.478;4.93338;;;-1.94322;-231.686;-0.162871
59;1;0.00078125;2.14673;2.70678;-234.794;4.93338;;;-1.80259;-235.205;0.0669664
60;1;0.00078125;3.73934;2.7259;-241.375;4.93338;;;-3.14039;-241.337;-0.637044
61;1;0.00078125;1.85631;2.71009;-243.329;4.93338;;;-1.55864;-244.38;0.753211
62;1;0.00078125;2.2679;2.70219;-247.899;4.93338;;;-1.90438;-248.098;-0.164637
63;1;0.00078125;2.0207;2.69024;-250.988;4.93338;;;-1.69673;-251.41;0.0988792
64;1;0.00078125;3.6773;2.70726;-257.513;4.93338;;;-3.08827;-257.44;-0.662638
65;1;0.00078125;1.7968;2.69182;-259.345;4.93338;;;-1.50865;-260.385;0.7522
66;1;0.00078125;2.20843;2.68377;-263.817;4.93338;;;-1.85443;-264.006;-0.164654
67;1;0.00078125;1.95318;2.67179;-266.793;4.93338;;;-1.64002;-267.208;0.1021
68;1;0.00078125;3.64555;2.6875;-273.278;4.93338;;;-3.0616;-273.185;-0.676945
69;1;0.00078125;1.78075;2.6731;-275.073;4.93338;;;-1.49517;-276.104;0.745921
70;1;0.00078125;2.18165;2.66542;-279.492;4.93338;;;-1.83193;-279.681;-0.160361
71;1;0.00078125;2.05946;2.6561;-282.678;4.93338;;;-1.72929;-283.057;0.0488768
72;1;0.00078125;3.6712;2.67148;-289.133;4.93338;;;-3.08315;-289.077;-0.644698
73;1;0.00078125;1.76779;2.65799;-290.93;4.93338;;;-1.48429;-291.975;0.761363
74;1;0.00078125;2.24552;2.65193;-295.487;4.93338;;;-1.88558;-295.656;-0.19109
75;1;0.00078125;1.97374;2.6421;-298.466;4.93338;;;-1.65729;-298.892;0.108709
76;1;0.00078125;3.60969;2.65592;-304.886;4.93338;;;-3.03148;-304.81;-0.654378
77;1;0.00078125;1.78985;2.64372;-306.729;4.93338;;;-1.50282;-307.744;0.727936
78;1;0.00078125;2.14279;2.63677;-311.055;4.93338;;;-1.79929;-311.257;-0.141176
79;1;0.00078125;1.95355;2.62741;-314.071;4.93338;;;-1.64032;-314.46;0.0756976
80;1;0.00078125;3.58077;2.64029;-320.408;4.93338;;;-3.00719;-320.331;-0.650889
81;1;0.00078125;1.77874;2.6288;-322.241;4.93338;;;-1.49348;-323.247;0.720812
82;1;0.00078125;2.20075;2.62317;-326.671;4.93338;;;-1.84798;-326.855;-0.168806
83;1;0.00078125;2.00995;2.61521;-329.751;4.93338;;;-1.6877;-330.15;0.0763216
84;1;0.00078125;3.60828;2.62794;-336.127;4.93338;;;-3.0303;-336.066;-0.639331
85;1;0.00078125;1.79144;2.61735;-337.989;4.93338;;;-1.50416;-339.003;0.726734
