POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;0;0;2.37581;0;0;0;;;0;0;0
1;0;0;4.45393;0;0;0;;;0;0;0
2;0;0;6.00875;0;0;0;;;0;0;0
3;0;0;6.55018;0;0;0;;;0;0;0
4;0;0;10.8789;0;0;0;;;0;0;0
5;0;0;5.82541;0;0;0;;;0;0;0
6;0;0;6.36949;0;0;0;;;0;0;0
7;1;2.94406;6.28328;6.28328;-3.33369;1.46786;;;-2.80495;-5.47633;-1.33569
8;1;2.94406;0.917188;3.60024;2.61393;1.46786;;;1.70257;-2.15227;2.14644
9;1;2.94406;0.69948;2.63332;4.20085;2.93571;;;1.88544;1.52884;0.0870832
10;1;2.94406;6.45073;3.58767;-3.01748;1.46786;;;-2.94561;-4.22211;-2.3005
11;1;2.94406;0.731499;3.01644;4.28423;2.93571;;;1.85855;-0.593512;2.28769
12;1;2.94406;8.32039;3.90043;-8.64198;1.46786;;;-4.51612;-9.41069;-3.03555
13;1;2.94406;0.738514;3.44873;-0.169682;1.46786;;;1.85266;-5.7936;3.03275
14;1;2.94406;0.800214;3.11766;0.298663;1.46786;;;1.80083;-2.2777;-0.02468
15;1;2.94406;0.745191;2.85405;3.94269;2.93571;;;1.84705;1.32844;0.0220092
16;1;2.94406;8.3315;3.4018;-6.73545;1.46786;;;-4.52546;-7.50697;-3.03453
17;1;2.94406;0.70182;3.15635;1.80747;1.46786;;;1.88348;-3.8297;3.05187
18;1;2.94406;0.790603;2.9592;2.26595;1.46786;;;1.8089;-0.29804;-0.0355132
19;1;2.94406;0.748866;2.78918;5.91159;5.87142;;;1.84396;3.30207;0.0166948
20;1;2.94406;6.45645;3.05112;-1.23524;1.46786;;;-2.95041;-2.45825;-2.28303
21;1;2.94406;0.681481;2.89315;6.14441;5.87142;;;1.90056;1.25238;2.30999
22;1;2.94406;4.37899;2.98601;0.59372;1.46786;;;-1.20535;-1.10092;-1.47901
23;1;2.94406;0.720811;2.85277;6.59681;5.87142;;;1.86753;2.5452;1.46327
24;1;2.94406;6.5195;3.05647;-2.12188;1.46786;;;-3.00338;-3.31853;-2.31948
25;1;2.94406;0.693253;2.93209;5.28722;4.40357;;;1.89068;0.372788;2.3305
26;1;2.94406;4.205;2.99574;0.045956;1.46786;;;-1.05919;-1.69515;-1.4047
27;1;2.94406;0.715708;2.88717;5.94258;5.87142;;;1.87181;1.95934;1.39572
28;1;2.94406;6.6565;3.0585;-2.96733;1.46786;;;-3.11845;-4.12907;-2.37632
29;1;2.94406;0.722229;2.95692;4.477;4.40357;;;1.86634;-0.485268;2.37371
30;1;2.94406;4.28534;3.01227;-0.951558;1.46786;;;-1.12668;-2.68498;-1.42525
31;1;2.94406;0.727332;2.92088;4.96304;4.40357;;;1.86205;0.950453;1.4232
32;1;2.94406;5.34419;3.01408;-1.50444;1.46786;;;-2.01612;-2.98577;-1.84674
33;1;2.94406;0.714764;2.92892;5.10941;4.40357;;;1.87261;0.670269;1.85177
34;1;2.94406;4.23681;2.97563;0.292232;1.46786;;;-1.08591;-1.44985;-1.40882
35;1;2.94406;0.697676;2.89708;6.23451;5.87142;;;1.88696;2.23422;1.41565
36;1;2.94406;6.52086;3.01787;-2.44466;1.46786;;;-3.00451;-3.63173;-2.32927
37;1;2.94406;0.63916;2.94114;5.07625;4.40357;;;1.93611;0.148299;2.35268
38;1;2.94406;3.92478;2.97188;0.32663;1.46786;;;-0.823811;-1.46009;-1.31425
39;1;2.94406;0.641242;2.90125;6.20555;5.87142;;;1.93436;2.31652;1.31342
40;1;2.94406;6.2246;2.999;-1.82797;1.46786;;;-2.75566;-3.06357;-2.23334
41;1;2.94406;0.639184;2.93158;5.52587;4.40357;;;1.93609;0.716423;2.23417
42;1;2.94406;4.03869;2.96233;0.680613;1.46786;;;-0.919495;-1.07878;-1.3598
43;1;2.94406;0.66569;2.90026;6.58646;5.87142;;;1.91383;2.65774;1.3492
44;1;2.94406;6.45086;2.99369;-1.90233;1.46786;;;-2.94571;-3.09341;-2.31407
45;1;2.94406;0.641578;2.93338;5.58203;4.40357;;;1.93408;0.682655;2.32371
46;1;2.94406;4.09566;2.96244;0.540711;1.46786;;;-0.967345;-1.20597;-1.38163
47;1;2.94406;0.677254;2.9067;6.46032;5.87142;;;1.90411;2.51159;1.36736
48;1;2.94406;6.53346;2.99306;-2.19916;1.46786;;;-3.0151;-3.37504;-2.34248
49;1;2.94406;0.677088;2.9392;5.26668;4.40357;;;1.90425;0.342792;2.34255
50;1;2.94406;4.11146;2.96584;0.185351;1.46786;;;-0.980615;-1.57174;-1.37375
51;1;2.94406;0.688997;2.91524;6.07879;5.87142;;;1.89425;2.12656;1.36898
52;1;2.94406;6.49616;2.99309;-2.50937;1.46786;;;-2.98377;-3.6989;-2.32287
53;1;2.94406;0.691342;2.94411;4.90111;4.40357;;;1.89228;-0.00444527;2.32193
54;1;2.94406;4.18082;2.96988;-0.286581;1.46786;;;-1.03888;-2.03273;-1.39579
55;1;2.94406;0.729358;2.92415;5.56966;4.40357;;;1.86035;1.59938;1.38058
56;1;2.94406;5.29844;2.97164;-0.768692;1.46786;;;-1.97768;-2.26182;-1.82763
57;1;2.94406;0.686734;2.92684;5.86776;4.40357;;;1.89615;1.44019;1.84468
58;1;2.94406;4.24737;2.95223;1.0311;1.46786;;;-1.09478;-0.697232;-1.42425
59;1;2.94406;0.729915;2.9103;6.93074;5.87142;;;1.85988;2.93396;1.40698
60;1;2.94406;6.48085;2.97642;-1.65681;1.46786;;;-2.97091;-2.86638;-2.30037
61;1;2.94406;0.688643;2.93483;5.73257;4.40357;;;1.89455;0.832498;2.31688
62;1;2.94406;4.28525;2.95894;0.352939;1.46786;;;-1.12661;-1.36707;-1.43864
63;1;2.94406;0.762606;2.92041;6.2146;5.87142;;;1.83242;2.21051;1.40906
64;1;2.94406;6.61068;2.98404;-2.61126;1.46786;;;-3.07996;-3.80275;-2.33923
65;1;2.94406;0.734506;2.94591;4.76191;4.40357;;;1.85602;-0.179085;2.35047
66;1;2.94406;4.37651;2.96975;-0.811856;1.46786;;;-1.20326;-2.5283;-1.4568
67;1;2.94406;0.716871;2.93282;5.17584;4.40357;;;1.87084;1.12428;1.46385
68;1;2.94406;5.34391;2.97171;-1.33425;1.46786;;;-2.01587;-2.81147;-1.85081
69;1;2.94406;0.663395;2.93507;5.38017;4.40357;;;1.91576;0.928816;1.8722
70;1;2.94406;4.15398;2.95411;0.685945;1.46786;;;-1.01634;-1.05546;-1.39624
71;1;2.94406;0.689111;2.91927;6.61186;5.87142;;;1.89415;2.64265;1.38595
72;1;2.94406;6.59868;2.97502;-2.18598;1.46786;;;-3.06989;-3.35094;-2.36383
73;1;2.94406;0.654533;2.94038;5.35927;4.40357;;;1.9232;0.403876;2.37766
74;1;2.94406;4.17746;2.95857;0.113324;1.46786;;;-1.03606;-1.61891;-1.40917
75;1;2.94406;0.705314;2.92592;6.02735;5.87142;;;1.88054;2.05263;1.38886
76;1;2.94406;6.4675;2.97651;-2.52287;1.46786;;;-2.95969;-3.72581;-2.30487
77;1;2.94406;0.682339;2.9442;4.87966;4.40357;;;1.89984;-0.0165899;2.31406
78;1;2.94406;4.30643;2.96312;-0.538479;1.46786;;;-1.14439;-2.25088;-1.44964
79;1;2.94406;0.715576;2.93233;5.42767;4.40357;;;1.87192;1.40383;1.43634
80;1;2.94406;5.22676;2.96334;-0.834996;1.46786;;;-1.91747;-2.33981;-1.80448
81;1;2.94406;0.641984;2.93239;5.84523;4.40357;;;1.93374;1.43559;1.83391
82;1;2.94406;4.16399;2.94859;1.16534;1.46786;;;-1.02474;-0.565102;-1.4088
83;1;2.94406;0.650527;2.91875;7.17876;5.87142;;;1.92657;3.19629;1.40539
84;1;2.94406;6.19759;2.96078;-0.893706;1.46786;;;-2.73297;-2.1395;-2.21882
85;1;2.94406;0.627302;2.93124;6.46146;5.87142;;;1.94607;1.65997;2.22811
86;1;2.94406;4.10066;2.94586;1.50292;1.46786;;;-0.971545;-0.236851;-1.38934
87;1;2.94406;0.655516;2.91759;7.4723;7.33928;;;1.92237;3.51636;1.37806
88;1;2.94406;11.54;3.02274;-10.6153;1.46786;;;-7.22055;-10.5809;-4.35377
89;1;2.94406;0.651612;2.99417;0.111299;1.46786;;;1.92565;-6.8213;4.35534
90;1;2.94406;0.751859;2.96748;-0.672892;1.46786;;;1.84145;-3.2261;-0.0400988
91;1;2.94406;0.717639;2.94101;3.02674;2.93571;;;1.87019;0.425227;0.013688
92;1;2.94406;8.36043;3.00402;-7.70407;1.46786;;;-4.54976;-8.45763;-3.05712
93;1;2.94406;0.67111;2.97721;0.926118;1.46786;;;1.90928;-4.73;3.07573
94;1;2.94406;0.754527;2.95195;1.4212;1.46786;;;1.83921;-1.13917;-0.0333668
95;1;2.94406;0.722845;2.9269;5.10496;4.40357;;;1.86582;2.50362;0.0126728
96;1;2.94406;5.30787;2.95336;0.115232;1.46786;;;-1.9856;-1.37303;-1.83401
97;1;2.94406;0.681418;2.92839;6.77032;5.87142;;;1.90062;2.3377;1.85058
98;1;2.94406;4.28323;2.94312;1.85905;1.46786;;;-1.12491;0.141455;-1.44073
99;1;2.94406;0.688506;2.91888;7.86162;7.33928;;;1.89466;3.84056;1.43789
100;1;2.94406;12.2488;3.01813;-11.6105;1.46786;;;-7.81596;-11.4192;-4.6241
101;1;2.94406;0.652778;2.99323;-0.44562;1.46786;;;1.92467;-7.66147;4.6384
102;1;2.94406;0.813253;2.97052;-1.62801;1.46786;;;1.78988;-4.16695;-0.06419
103;1;2.94406;0.713841;2.94726;2.11759;1.46786;;;1.87338;-0.509395;0.0397648
104;1;2.94406;1.00309;2.92742;5.19159;4.40357;;;1.63041;2.67379;-0.115701
105;1;2.94406;4.25681;2.94085;2.37348;1.46786;;;-1.10271;0.520871;-1.30149
106;1;2.94406;0.74897;2.91893;8.11679;7.33928;;;1.84387;4.12081;1.40314
107;1;2.94406;8.7402;2.97657;-4.70991;1.46786;;;-4.86876;-5.38486;-3.19649
108;1;2.94406;1.00667;2.95725;3.51994;2.93571;;;1.62741;-2.20754;3.09341
109;1;2.94406;6.50454;2.99169;-6.73215;1.46786;;;-2.99081;-8.04674;-2.19915
110;1;2.94406;0.712557;2.96978;0.516732;1.46786;;;1.87446;-4.38708;2.31679
111;1;2.94406;0.663687;2.94782;1.95147;1.46786;;;1.91551;-0.647271;0.019548
112;1;2.94406;1.03936;2.92981;4.96548;4.40357;;;1.59995;2.47644;-0.150267
113;1;2.94406;3.92996;2.93916;2.80511;1.46786;;;-0.828161;0.859554;-1.15624
114;1;2.94406;0.74191;2.91881;8.33801;7.33928;;;1.8498;4.47108;1.27522
115;1;2.94406;8.28956;2.96809;-3.51527;1.46786;;;-4.49022;-4.29555;-3.01906
116;1;2.94406;1.08725;2.95099;4.27752;2.93571;;;1.55972;-1.25038;2.88092
117;1;2.94406;6.22847;2.98052;-5.22374;1.46786;;;-2.75891;-6.63682;-2.05649
118;1;2.94406;0.68002;2.95997;1.8774;1.46786;;;1.90179;-2.9238;2.21938
119;1;2.94406;0.645638;2.93949;3.43567;2.93571;;;1.93067;0.845611;0.0137528
120;1;2.94406;9.47283;2.9968;-9.40379;1.46786;;;-5.48417;-9.86157;-3.53088
121;1;2.94406;0.622639;2.97616;0.058258;1.46786;;;1.94999;-6.05445;3.54008
122;1;2.94406;0.664364;2.95623;0.246865;1.46786;;;1.91494;-2.31575;-0.01669
123;1;2.94406;0.615873;2.93623;4.09341;2.93571;;;1.95567;1.50247;0.0193964
124;1;2.94406;9.06441;2.98816;-7.99102;1.46786;;;-5.1411;-8.53491;-3.37942
125;1;2.94406;0.611235;2.96819;1.24299;1.46786;;;1.95957;-4.70908;3.38127
126;1;2.94406;0.658449;2.94894;1.59879;1.46786;;;1.91991;-0.960688;-0.0188856
127
