POC;Control ON/OFF;SP;PV;PVavg;PID;EST;;;e;Se;de
;0;0;22.8479;0;0;0;;;0;0;0
1;0;0;26.7204;0;0;0;;;0;0;0
2;0;0;36.9619;0;0;0;;;0;0;0
3;0;0;43.2751;0;0;0;;;0;0;0
4;0;0;67.6631;0;0;0;;;0;0;0
5;0;0;40.6296;0;0;0;;;0;0;0
6;0;0;42.4479;0;0;0;;;0;0;0
7;1;23.123;42.9932;42.9932;-14.2329;9.68669;;;-16.6909;-32.587;-7.94806
8;1;23.123;6.06727;24.5302;30.5488;29.0601;;;14.3268;-4.61563;14.7704
9;1;23.123;23.4094;24.1566;11.1468;9.68669;;;-0.240528;-5.08523;-6.93683
10;1;23.123;3.93382;19.1009;54.228;48.4334;;;16.1189;26.3851;7.79022
11;1;23.123;54.5598;26.1927;-17.2688;9.68669;;;-26.4069;-25.1713;-20.2504
12;1;23.123;5.953;22.8194;42.8061;38.7467;;;14.4228;2.98755;19.4427
13;1;23.123;25.4683;23.1978;14.8334;9.68669;;;-1.97003;-0.8587;-7.80611
14;1;23.123;3.91042;20.7869;59.3221;48.4334;;;16.1386;30.65;8.62315
15;1;23.123;53.8925;24.4653;-11.7588;9.68669;;;-25.8464;-19.8121;-19.9928
16;1;23.123;6.12289;22.6311;47.579;38.7467;;;14.2801;8.06814;19.1079
17;1;23.123;25.7223;22.9121;19.5045;19.3734;;;-2.18339;3.80533;-7.83976
18;1;23.123;41.132;24.4304;-5.88877;9.68669;;;-15.1275;-25.7293;-6.16387
19;1;23.123;3.55692;22.8247;41.3815;38.7467;;;16.4355;6.35904;15.03
20;1;23.123;38.1394;23.9187;-6.57522;9.68669;;;-12.6138;-18.2679;-13.833
21;1;23.123;3.26693;22.5419;48.1912;38.7467;;;16.6791;14.2961;13.949
22;1;23.123;26.414;22.7839;23.2897;19.3734;;;-2.76439;8.89897;-9.25881
23;1;23.123;38.7419;23.7226;3.97486;9.68669;;;-13.1199;-16.716;-4.93118
24;1;23.123;5.78191;22.7259;45.2558;38.7467;;;14.5665;11.7234;13.184
25;1;23.123;24.2929;22.8084;25.7105;19.3734;;;-0.982736;9.80473;-7.40441
26;1;23.123;37.9975;23.5678;5.43166;9.68669;;;-12.4946;-14.5894;-5.48183
27;1;23.123;3.49604;22.612;51.3821;48.4334;;;16.4867;17.5988;13.8006
28;1;23.123;69.0927;24.7248;-53.552;9.68669;;;-38.6146;-57.7915;-26.2387
29;1;23.123;3.27417;23.7921;21.0352;19.3734;;;16.673;-25.2394;26.3274
30;1;23.123;39.2233;24.4351;-40.3246;9.68669;;;-13.5243;-51.644;-14.3797
31;1;23.123;3.46435;23.5963;14.8775;9.68669;;;16.5133;-19.4038;14.3036
32;1;23.123;5.84066;22.9134;28.3466;19.3734;;;14.5172;8.93929;-0.950524
33;1;23.123;40.3608;23.5596;-7.25767;9.68669;;;-14.4797;-19.3307;-13.8081
34;1;23.123;3.89246;22.8572;46.8409;38.7467;;;16.1537;12.2074;14.5873
35;1;23.123;26.1545;22.9709;21.939;19.3734;;;-2.54644;7.2358;-8.90481
36;1;23.123;50.9975;23.9051;-20.8327;9.68669;;;-23.4146;-38.4784;-9.93722
37;1;23.123;3.48488;23.2464;32.7141;29.0601;;;16.496;-6.27191;19.0051
38;1;23.123;25.1089;23.3046;5.26236;9.68669;;;-1.66816;-9.52878;-8.64961
39;1;23.123;3.597;22.7074;51.0975;48.4334;;;16.4018;22.4939;8.60476
40;1;23.123;73.9024;24.2131;-57.6588;9.68669;;;-42.6547;-60.7844;-28.1222
41;1;23.123;3.35983;23.6173;19.8052;19.3734;;;16.6011;-28.3728;28.217
42;1;23.123;42.0517;24.1294;-48.7409;9.68669;;;-15.9001;-59.4157;-15.4767
43;1;23.123;3.71995;23.5778;7.75649;9.68669;;;16.2986;-27.5947;15.3327
44;1;23.123;6.15358;23.1192;19.6696;19.3734;;;14.2543;0.235148;-0.973452
45;1;23.123;42.0275;23.6041;-18.97;9.68669;;;-15.8798;-30.7682;-14.3496
